Scenario,Setpoint_g,TrialNo,FinalMass_g,FinalError_g,AbsError_pct,MaxOvershoot_pct,Duration_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,WithinTolerance,StopReason,LogPath
Fixed PID,30.0,1,29.78,-0.21999999999999886,0.7333333333333295,0.0,80.692,13.685,76.649,1,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial01.txt
Fixed PID,30.0,2,29.96,-0.03999999999999915,0.1333333333333305,0.0,39.113,30.721,35.844,4,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial02.txt
Fixed PID,30.0,3,29.63,-0.370000000000001,1.2333333333333367,0.0,24.92,22.206,23.199,2,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial03.txt
Fixed PID,30.0,4,30.14,0.14000000000000057,0.4666666666666685,0.0,33.183,18.591,29.655,1,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial04.txt
Fixed PID,30.0,5,30.06,0.05999999999999872,0.19999999999999576,0.0,20.53,16.268,17.26,1,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial05.txt
Fixed PID,30.0,6,30.21,0.21000000000000085,0.7000000000000028,0.0,24.661,17.559,20.359,1,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial06.txt
Fixed PID,30.0,7,29.04,-0.9600000000000009,3.200000000000003,0.0,24.918,19.107,19.841,1,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial07.txt
Fixed PID,30.0,8,30.71,0.7100000000000009,2.3666666666666694,0.0,33.18,26.852,31.46,1,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial08.txt
Fixed PID,30.0,9,30.47,0.46999999999999886,1.5666666666666627,0.0,41.447,25.306,26.298,1,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial09.txt
Fixed PID,30.0,10,30.48,0.4800000000000004,1.6000000000000014,0.0,22.596,14.718,19.068,0,True,TARGET,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial10.txt
GS PID,15.0,1,14.63,-0.3699999999999992,2.4666666666666615,0.0,12.008,,,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial01.txt
GS PID,15.0,2,14.76,-0.2400000000000002,1.6000000000000014,0.0,16.654,14.2,,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial02.txt
GS PID,15.0,3,15.16,0.16000000000000014,1.0666666666666678,0.0,13.556,10.069,10.803,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial03.txt
GS PID,15.0,4,14.93,-0.07000000000000028,0.4666666666666685,0.0,12.524,8.263,,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial04.txt
GS PID,15.0,5,16.03,1.0300000000000011,6.866666666666673,0.0,12.524,10.069,,1,False,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial05.txt
GS PID,15.0,6,14.72,-0.27999999999999936,1.8666666666666623,0.0,8.134,2.581,,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial06.txt
GS PID,15.0,7,15.04,0.03999999999999915,0.266666666666661,0.0,37.318,28.924,33.79,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial07.txt
GS PID,15.0,8,15.35,0.34999999999999964,2.333333333333331,0.0,14.592,12.395,12.871,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial08.txt
GS PID,15.0,9,14.82,-0.17999999999999972,1.1999999999999982,0.0,10.459,,,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial09.txt
GS PID,15.0,10,14.9,-0.09999999999999964,0.6666666666666643,0.0,16.657,12.653,14.679,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial10.txt
GS PID,20.0,1,20.55,0.5500000000000007,2.7500000000000036,0.0,20.536,12.397,14.94,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP20/GS_PID_SP20_trial01.txt
GS PID,20.0,2,20.93,0.9299999999999997,4.649999999999999,0.0,9.167,6.712,,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP20/GS_PID_SP20_trial02.txt
GS PID,20.0,3,22.1,2.1000000000000014,10.500000000000007,0.0,21.301,,,1,False,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP20/GS_PID_SP20_trial03.txt
GS PID,20.0,4,20.44,0.4400000000000013,2.2000000000000064,0.0,20.525,16.522,18.547,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP20/GS_PID_SP20_trial04.txt
