Scenario,Setpoint_g,TrialNo,LogPath,Column,LogValue,DatasetValue,AbsoluteDifference,Tolerance,Status,Notes
Fixed PID,15.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial04.txt,AbsError_pct,1.0666666666666678,1.06,0.006666666666667709,0.01,MATCH,Within tolerance
Fixed PID,15.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial04.txt,MaxOvershoot_pct,0.0,0.0,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial04.txt,Duration_s,18.719,18.72,0.0009999999999976694,0.01,MATCH,Within tolerance
Fixed PID,15.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial04.txt,RiseTime_10_90_s,12.392,12.392,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial04.txt,SettlingTime_s,16.999,16.999,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial04.txt,BridgingCount,2,2,,EXACT,MATCH,Exact match
Fixed PID,15.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial04.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,4,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial04.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial05.txt,FinalMass_g,14.44,14.44,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial05.txt,FinalError_g,-0.5600000000000005,-0.56,4.440892098500626e-16,0.01,MATCH,Within tolerance
Fixed PID,15.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial05.txt,AbsError_pct,3.7333333333333365,3.73,0.003333333333336519,0.01,MATCH,Within tolerance
Fixed PID,15.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial05.txt,MaxOvershoot_pct,0.0,0.0,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial05.txt,Duration_s,15.105,15.11,0.004999999999999005,0.01,MATCH,Within tolerance
Fixed PID,15.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial05.txt,RiseTime_10_90_s,10.328,10.328,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial05.txt,SettlingTime_s,13.127,13.127,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial05.txt,BridgingCount,0,0,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial05.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial05.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial06.txt,FinalMass_g,16.82,16.82,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial06.txt,FinalError_g,1.8200000000000003,1.82,2.220446049250313e-16,0.01,MATCH,Within tolerance
Fixed PID,15.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial06.txt,AbsError_pct,12.133333333333335,12.1,0.03333333333333499,0.01,MISMATCH,Outside tolerance
Fixed PID,15.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial06.txt,MaxOvershoot_pct,0.0,12.88,12.88,0.01,MISMATCH,Outside tolerance
Fixed PID,15.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial06.txt,Duration_s,15.88,15.88,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial06.txt,RiseTime_10_90_s,11.617,11.617,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial06.txt,SettlingTime_s,14.159,,,0.01,MISMATCH,One is NaN
Fixed PID,15.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial06.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial06.txt,WithinTolerance,False,0,,EXACT,MATCH,Exact match
Fixed PID,15.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial06.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial07.txt,FinalMass_g,15.34,15.34,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial07.txt,FinalError_g,0.33999999999999986,0.34,1.6653345369377348e-16,0.01,MATCH,Within tolerance
Fixed PID,15.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial07.txt,AbsError_pct,2.2666666666666657,2.27,0.0033333333333342985,0.01,MATCH,Within tolerance
Fixed PID,15.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial07.txt,MaxOvershoot_pct,0.0,3.03,3.03,0.01,MISMATCH,Outside tolerance
Fixed PID,15.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial07.txt,Duration_s,27.242,27.24,0.0020000000000024443,0.01,MATCH,Within tolerance
Fixed PID,15.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial07.txt,RiseTime_10_90_s,20.914,20.914,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial07.txt,SettlingTime_s,25.522,25.522,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial07.txt,BridgingCount,0,0,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial07.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial07.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial08.txt,FinalMass_g,14.95,14.95,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial08.txt,FinalError_g,-0.05000000000000071,-0.05,7.077671781985373e-16,0.01,MATCH,Within tolerance
Fixed PID,15.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial08.txt,AbsError_pct,0.3333333333333381,0.36,0.026666666666661898,0.01,MISMATCH,Outside tolerance
Fixed PID,15.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial08.txt,MaxOvershoot_pct,0.0,0.0,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial08.txt,Duration_s,24.66,24.66,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial08.txt,RiseTime_10_90_s,11.102,11.102,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial08.txt,SettlingTime_s,,23.198,,0.01,MISMATCH,One is NaN
Fixed PID,15.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial08.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial08.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial08.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial09.txt,FinalMass_g,16.04,16.04,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial09.txt,FinalError_g,1.0399999999999991,1.04,8.881784197001252e-16,0.01,MATCH,Within tolerance
Fixed PID,15.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial09.txt,AbsError_pct,6.933333333333327,6.96,0.02666666666667261,0.01,MISMATCH,Outside tolerance
Fixed PID,15.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial09.txt,MaxOvershoot_pct,0.0,6.96,6.96,0.01,MISMATCH,Outside tolerance
Fixed PID,15.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial09.txt,Duration_s,16.656,16.66,0.004000000000001336,0.01,MATCH,Within tolerance
Fixed PID,15.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial09.txt,RiseTime_10_90_s,8.52,8.52,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial09.txt,SettlingTime_s,14.935,,,0.01,MISMATCH,One is NaN
Fixed PID,15.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial09.txt,BridgingCount,0,0,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial09.txt,WithinTolerance,False,0,,EXACT,MATCH,Exact match
Fixed PID,15.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial09.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial10.txt,FinalMass_g,19.28,19.28,0.0,0.01,MATCH,Within tolerance
Fixed PID,15.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial10.txt,FinalError_g,4.280000000000001,4.28,8.881784197001252e-16,0.01,MATCH,Within tolerance
Fixed PID,15.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial10.txt,AbsError_pct,28.53333333333334,28.51,0.02333333333333698,0.01,MISMATCH,Outside tolerance
Fixed PID,15.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial10.txt,MaxOvershoot_pct,0.0,28.51,28.51,0.01,MISMATCH,Outside tolerance
Fixed PID,15.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial10.txt,Duration_s,15.106,15.11,0.0039999999999995595,0.01,MATCH,Within tolerance
Fixed PID,15.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial10.txt,RiseTime_10_90_s,,11.102,,0.01,MISMATCH,One is NaN
Fixed PID,15.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial10.txt,SettlingTime_s,,,0.0,0.01,MATCH,Both NaN
Fixed PID,15.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial10.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial10.txt,WithinTolerance,False,0,,EXACT,MATCH,Exact match
Fixed PID,15.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP15/Fixed PID_SP15_trial10.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial01.txt,FinalMass_g,19.03,20.72,1.6899999999999977,0.01,MISMATCH,Outside tolerance
Fixed PID,20.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial01.txt,FinalError_g,-0.9699999999999989,0.72,1.6899999999999988,0.01,MISMATCH,Outside tolerance
Fixed PID,20.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial01.txt,AbsError_pct,4.849999999999994,3.58,1.2699999999999942,0.01,MISMATCH,Outside tolerance
Fixed PID,20.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial01.txt,MaxOvershoot_pct,0.0,3.58,3.58,0.01,MISMATCH,Outside tolerance
