Scenario,Setpoint_g,TrialNo,LogPath,Column,LogValue,DatasetValue,AbsoluteDifference,Tolerance,Status,Notes
Fixed PID,30.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial05.txt,MaxOvershoot_pct,0.0,0.21,0.21,0.01,MISMATCH,Outside tolerance
Fixed PID,30.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial05.txt,Duration_s,20.53,20.53,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial05.txt,RiseTime_10_90_s,16.268,16.268,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial05.txt,SettlingTime_s,17.26,17.26,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial05.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,30.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial05.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,30.0,5,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial05.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,30.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial06.txt,FinalMass_g,30.21,30.21,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial06.txt,FinalError_g,0.21000000000000085,0.21,8.604228440844963e-16,0.01,MATCH,Within tolerance
Fixed PID,30.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial06.txt,AbsError_pct,0.7000000000000028,0.7,2.886579864025407e-15,0.01,MATCH,Within tolerance
Fixed PID,30.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial06.txt,MaxOvershoot_pct,0.0,0.7,0.7,0.01,MISMATCH,Outside tolerance
Fixed PID,30.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial06.txt,Duration_s,24.661,24.66,0.0010000000000012221,0.01,MATCH,Within tolerance
Fixed PID,30.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial06.txt,RiseTime_10_90_s,17.559,17.559,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial06.txt,SettlingTime_s,20.359,20.359,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial06.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,30.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial06.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,30.0,6,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial06.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,30.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial07.txt,FinalMass_g,29.04,29.04,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial07.txt,FinalError_g,-0.9600000000000009,-0.96,8.881784197001252e-16,0.01,MATCH,Within tolerance
Fixed PID,30.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial07.txt,AbsError_pct,3.200000000000003,3.19,0.010000000000002895,0.01,MISMATCH,Outside tolerance
Fixed PID,30.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial07.txt,MaxOvershoot_pct,0.0,0.0,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial07.txt,Duration_s,24.918,24.92,0.0020000000000024443,0.01,MATCH,Within tolerance
Fixed PID,30.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial07.txt,RiseTime_10_90_s,19.107,19.107,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial07.txt,SettlingTime_s,19.841,19.841,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial07.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,30.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial07.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,30.0,7,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial07.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,30.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial08.txt,FinalMass_g,30.71,30.71,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial08.txt,FinalError_g,0.7100000000000009,0.71,8.881784197001252e-16,0.01,MATCH,Within tolerance
Fixed PID,30.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial08.txt,AbsError_pct,2.3666666666666694,2.35,0.016666666666669272,0.01,MISMATCH,Outside tolerance
Fixed PID,30.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial08.txt,MaxOvershoot_pct,0.0,2.4,2.4,0.01,MISMATCH,Outside tolerance
Fixed PID,30.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial08.txt,Duration_s,33.18,33.18,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial08.txt,RiseTime_10_90_s,26.852,26.852,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial08.txt,SettlingTime_s,31.46,31.46,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial08.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,30.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial08.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,30.0,8,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial08.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,30.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial09.txt,FinalMass_g,30.47,30.47,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial09.txt,FinalError_g,0.46999999999999886,0.47,1.1102230246251565e-15,0.01,MATCH,Within tolerance
Fixed PID,30.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial09.txt,AbsError_pct,1.5666666666666627,1.56,0.006666666666662602,0.01,MATCH,Within tolerance
Fixed PID,30.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial09.txt,MaxOvershoot_pct,0.0,1.56,1.56,0.01,MISMATCH,Outside tolerance
Fixed PID,30.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial09.txt,Duration_s,41.447,41.45,0.0030000000000001137,0.01,MATCH,Within tolerance
Fixed PID,30.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial09.txt,RiseTime_10_90_s,25.306,25.306,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial09.txt,SettlingTime_s,26.298,26.298,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial09.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,30.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial09.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,30.0,9,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial09.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,30.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial10.txt,FinalMass_g,30.48,30.48,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial10.txt,FinalError_g,0.4800000000000004,0.48,4.440892098500626e-16,0.01,MATCH,Within tolerance
Fixed PID,30.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial10.txt,AbsError_pct,1.6000000000000014,1.59,0.010000000000001341,0.01,MISMATCH,Outside tolerance
Fixed PID,30.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial10.txt,MaxOvershoot_pct,0.0,1.59,1.59,0.01,MISMATCH,Outside tolerance
Fixed PID,30.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial10.txt,Duration_s,22.596,22.6,0.004000000000001336,0.01,MATCH,Within tolerance
Fixed PID,30.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial10.txt,RiseTime_10_90_s,14.718,14.718,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial10.txt,SettlingTime_s,19.068,19.068,0.0,0.01,MATCH,Within tolerance
Fixed PID,30.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial10.txt,BridgingCount,0,0,,EXACT,MATCH,Exact match
Fixed PID,30.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial10.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,30.0,10,data/pengujian_final/log_160_trial/fixed_pid/SP30/Fixed_PID_SP30_trial10.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
GS PID,15.0,1,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial01.txt,FinalMass_g,14.63,14.63,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,1,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial01.txt,FinalError_g,-0.3699999999999992,-0.37,7.771561172376096e-16,0.01,MATCH,Within tolerance
GS PID,15.0,1,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial01.txt,AbsError_pct,2.4666666666666615,2.45,0.01666666666666128,0.01,MISMATCH,Outside tolerance
GS PID,15.0,1,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial01.txt,MaxOvershoot_pct,0.0,0.0,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,1,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial01.txt,Duration_s,12.008,12.01,0.002000000000000668,0.01,MATCH,Within tolerance
GS PID,15.0,1,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial01.txt,RiseTime_10_90_s,,9.812,,0.01,MISMATCH,One is NaN
GS PID,15.0,1,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial01.txt,SettlingTime_s,,10.546,,0.01,MISMATCH,One is NaN
GS PID,15.0,1,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial01.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
GS PID,15.0,1,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial01.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
GS PID,15.0,1,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial01.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
GS PID,15.0,2,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial02.txt,FinalMass_g,14.76,14.76,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,2,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial02.txt,FinalError_g,-0.2400000000000002,-0.24,2.220446049250313e-16,0.01,MATCH,Within tolerance
GS PID,15.0,2,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial02.txt,AbsError_pct,1.6000000000000014,1.6,1.3322676295501878e-15,0.01,MATCH,Within tolerance
GS PID,15.0,2,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial02.txt,MaxOvershoot_pct,0.0,0.0,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,2,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial02.txt,Duration_s,16.654,16.65,0.004000000000001336,0.01,MATCH,Within tolerance
GS PID,15.0,2,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial02.txt,RiseTime_10_90_s,14.2,14.2,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,2,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial02.txt,SettlingTime_s,,15.192,,0.01,MISMATCH,One is NaN
GS PID,15.0,2,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial02.txt,BridgingCount,0,0,,EXACT,MATCH,Exact match
GS PID,15.0,2,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial02.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
GS PID,15.0,2,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial02.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
GS PID,15.0,3,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial03.txt,FinalMass_g,15.16,15.16,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,3,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial03.txt,FinalError_g,0.16000000000000014,0.16,1.3877787807814457e-16,0.01,MATCH,Within tolerance
GS PID,15.0,3,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial03.txt,AbsError_pct,1.0666666666666678,1.07,0.0033333333333323,0.01,MATCH,Within tolerance
GS PID,15.0,3,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial03.txt,MaxOvershoot_pct,0.0,1.25,1.25,0.01,MISMATCH,Outside tolerance
GS PID,15.0,3,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial03.txt,Duration_s,13.556,13.56,0.004000000000001336,0.01,MATCH,Within tolerance
GS PID,15.0,3,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial03.txt,RiseTime_10_90_s,10.069,10.069,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,3,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial03.txt,SettlingTime_s,10.803,10.803,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,3,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial03.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
GS PID,15.0,3,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial03.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
GS PID,15.0,3,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial03.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
GS PID,15.0,4,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial04.txt,FinalMass_g,14.93,14.93,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,4,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial04.txt,FinalError_g,-0.07000000000000028,-0.07,2.7755575615628914e-16,0.01,MATCH,Within tolerance
GS PID,15.0,4,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial04.txt,AbsError_pct,0.4666666666666685,0.5,0.033333333333331494,0.01,MISMATCH,Outside tolerance
GS PID,15.0,4,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial04.txt,MaxOvershoot_pct,0.0,0.0,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,4,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial04.txt,Duration_s,12.524,12.52,0.0039999999999995595,0.01,MATCH,Within tolerance
GS PID,15.0,4,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial04.txt,RiseTime_10_90_s,8.263,8.263,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,4,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial04.txt,SettlingTime_s,,11.062,,0.01,MISMATCH,One is NaN
GS PID,15.0,4,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial04.txt,BridgingCount,0,0,,EXACT,MATCH,Exact match
GS PID,15.0,4,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial04.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
GS PID,15.0,4,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial04.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
GS PID,15.0,5,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial05.txt,FinalMass_g,16.03,16.03,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,5,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial05.txt,FinalError_g,1.0300000000000011,1.03,1.1102230246251565e-15,0.01,MATCH,Within tolerance
GS PID,15.0,5,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial05.txt,AbsError_pct,6.866666666666673,6.88,0.013333333333326536,0.01,MISMATCH,Outside tolerance
GS PID,15.0,5,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial05.txt,MaxOvershoot_pct,0.0,7.43,7.43,0.01,MISMATCH,Outside tolerance
GS PID,15.0,5,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial05.txt,Duration_s,12.524,12.52,0.0039999999999995595,0.01,MATCH,Within tolerance
GS PID,15.0,5,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial05.txt,RiseTime_10_90_s,10.069,10.069,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,5,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial05.txt,SettlingTime_s,,,0.0,0.01,MATCH,Both NaN
GS PID,15.0,5,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial05.txt,BridgingCount,1,1,,EXACT,MATCH,Exact match
GS PID,15.0,5,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial05.txt,WithinTolerance,False,0,,EXACT,MATCH,Exact match
GS PID,15.0,5,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial05.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
GS PID,15.0,6,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial06.txt,FinalMass_g,14.72,14.72,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,6,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial06.txt,FinalError_g,-0.27999999999999936,-0.28,6.661338147750939e-16,0.01,MATCH,Within tolerance
GS PID,15.0,6,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial06.txt,AbsError_pct,1.8666666666666623,1.84,0.026666666666662175,0.01,MISMATCH,Outside tolerance
GS PID,15.0,6,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial06.txt,MaxOvershoot_pct,0.0,0.0,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,6,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial06.txt,Duration_s,8.134,8.13,0.0039999999999995595,0.01,MATCH,Within tolerance
GS PID,15.0,6,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial06.txt,RiseTime_10_90_s,2.581,2.581,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,6,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial06.txt,SettlingTime_s,,6.672,,0.01,MISMATCH,One is NaN
GS PID,15.0,6,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial06.txt,BridgingCount,0,0,,EXACT,MATCH,Exact match
GS PID,15.0,6,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial06.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
GS PID,15.0,6,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial06.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
GS PID,15.0,7,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial07.txt,FinalMass_g,15.04,15.04,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,7,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial07.txt,FinalError_g,0.03999999999999915,0.04,8.534839501805891e-16,0.01,MATCH,Within tolerance
GS PID,15.0,7,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial07.txt,AbsError_pct,0.266666666666661,0.24,0.02666666666666101,0.01,MISMATCH,Outside tolerance
GS PID,15.0,7,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial07.txt,MaxOvershoot_pct,0.0,0.24,0.24,0.01,MISMATCH,Outside tolerance
GS PID,15.0,7,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial07.txt,Duration_s,37.318,37.32,0.0020000000000024443,0.01,MATCH,Within tolerance
GS PID,15.0,7,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial07.txt,RiseTime_10_90_s,28.924,28.924,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,7,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial07.txt,SettlingTime_s,33.79,33.79,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,7,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial07.txt,BridgingCount,0,0,,EXACT,MATCH,Exact match
GS PID,15.0,7,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial07.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
GS PID,15.0,7,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial07.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
GS PID,15.0,8,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial08.txt,FinalMass_g,15.35,15.35,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,8,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial08.txt,FinalError_g,0.34999999999999964,0.35,3.3306690738754696e-16,0.01,MATCH,Within tolerance
GS PID,15.0,8,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial08.txt,AbsError_pct,2.333333333333331,2.36,0.02666666666666906,0.01,MISMATCH,Outside tolerance
GS PID,15.0,8,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial08.txt,MaxOvershoot_pct,0.0,2.76,2.76,0.01,MISMATCH,Outside tolerance
GS PID,15.0,8,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial08.txt,Duration_s,14.592,14.59,0.002000000000000668,0.01,MATCH,Within tolerance
GS PID,15.0,8,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial08.txt,RiseTime_10_90_s,12.395,12.395,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,8,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial08.txt,SettlingTime_s,12.871,12.871,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,8,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial08.txt,BridgingCount,0,0,,EXACT,MATCH,Exact match
GS PID,15.0,8,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial08.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
GS PID,15.0,8,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial08.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
GS PID,15.0,9,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial09.txt,FinalMass_g,14.82,14.82,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,9,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial09.txt,FinalError_g,-0.17999999999999972,-0.18,2.7755575615628914e-16,0.01,MATCH,Within tolerance
GS PID,15.0,9,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial09.txt,AbsError_pct,1.1999999999999982,1.17,0.02999999999999825,0.01,MISMATCH,Outside tolerance
GS PID,15.0,9,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial09.txt,MaxOvershoot_pct,0.0,0.0,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,9,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial09.txt,Duration_s,10.459,10.46,0.0010000000000012221,0.01,MATCH,Within tolerance
GS PID,15.0,9,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial09.txt,RiseTime_10_90_s,,6.455,,0.01,MISMATCH,One is NaN
GS PID,15.0,9,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial09.txt,SettlingTime_s,,8.996,,0.01,MISMATCH,One is NaN
GS PID,15.0,9,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial09.txt,BridgingCount,0,0,,EXACT,MATCH,Exact match
GS PID,15.0,9,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial09.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
GS PID,15.0,9,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial09.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
GS PID,15.0,10,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial10.txt,FinalMass_g,14.9,14.9,0.0,0.01,MATCH,Within tolerance
GS PID,15.0,10,data/pengujian_final/log_160_trial/gs_pid/SP15/GSPID_SSP15_trial10.txt,FinalError_g,-0.09999999999999964,-0.1,3.608224830031759e-16,0.01,MATCH,Within tolerance
