======== PARAMETER AKTIF ========
Setpoint    : 25.0g
- Zona 1 Besar (eNorm >50%) -
  Kp1=1.65  Ki1=3.088  Kd1=0.279
- Zona 2 Sedang (15-50%) -
  Kp2=2.30  Ki2=0.753  Kd2=0.563
- Zona 3 Kecil (<=15%) -
  Kp3=2.50  Ki3=0.181  Kd3=0.030
- Sistem -
  SUDUT_MIN : 20deg
  SUDUT_BUKA: 40deg
  EARLY_STOP: SP - 0.40g
  STOP saat : 24.60g
  HAMMER_TH : error > 3.0g
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Gain Scheduling PID
TrialNo: 8
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Z1_Rule: eNorm_gt_50
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Rule: 15_lt_eNorm_le_50
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Rule: eNorm_le_15_or_abs_error_le_2g
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,flow_gps,bridging_count
=== DATA START ===
>> GANTI ZONA: 0 -> 1 @0.00g
DATA,100,0.00,25.00,100.0,100.0,40,Z1,2.500,250.000,0.00,0
DATA,218,0.27,24.73,98.9,55.4,30,Z1,4.973,-2.712,2.71,0
DATA,476,2.02,22.98,91.9,55.5,30,Z1,7.270,-17.532,17.53,0
DATA,734,3.19,21.81,87.3,61.9,32,Z1,9.452,-11.620,11.62,0
DATA,993,3.36,21.64,86.5,71.1,34,Z1,11.615,-1.772,1.77,0
DATA,1251,3.16,21.84,87.4,79.2,35,Z1,13.800,2.087,0.00,0
DATA,1509,2.99,22.01,88.0,83.1,36,Z1,15.000,1.624,0.00,0
DATA,1767,3.25,21.75,87.0,81.5,36,Z1,15.000,-2.531,2.53,0
DATA,2026,2.90,22.10,88.4,83.7,36,Z1,15.000,3.456,0.00,0
DATA,2284,3.09,21.91,87.6,81.9,36,Z1,15.000,-1.905,1.91,0
DATA,2542,4.16,20.84,83.4,77.7,35,Z1,15.000,-10.677,10.68,0
DATA,2800,4.86,20.14,80.5,77.6,35,Z1,15.000,-7.059,7.06,0
DATA,3059,5.17,19.83,79.3,78.2,35,Z1,15.000,-3.023,3.02,0
DATA,3317,5.30,19.70,78.8,78.5,35,Z1,15.000,-1.295,1.29,0
DATA,3575,5.17,19.83,79.3,79.4,35,Z1,15.000,1.261,0.00,0
DATA,3834,5.15,19.85,79.4,79.1,35,Z1,15.000,0.170,0.00,0
DATA,4092,5.16,19.84,79.4,79.0,35,Z1,15.000,-0.085,0.09,0
DATA,4350,5.18,19.82,79.3,79.0,35,Z1,15.000,-0.211,0.21,0
DATA,4608,6.50,18.50,74.0,73.2,34,Z1,15.000,-13.167,13.17,0
DATA,4867,8.12,16.88,67.5,69.6,33,Z1,15.000,-16.219,16.22,0
DATA,5125,8.70,16.30,65.2,71.6,34,Z1,15.000,-5.823,5.82,0
DATA,5383,8.65,16.35,65.4,73.4,34,Z1,15.000,0.518,0.00,0
DATA,5641,8.63,16.37,65.5,73.4,34,Z1,15.000,0.215,0.00,0
DATA,5900,8.58,16.42,65.7,73.5,34,Z1,15.000,0.459,0.00,0
DATA,6158,8.62,16.38,65.5,73.3,34,Z1,15.000,-0.340,0.34,0
DATA,6416,8.64,16.36,65.4,73.2,34,Z1,15.000,-0.259,0.26,0
DATA,6675,8.98,16.02,64.1,71.8,34,Z1,15.000,-3.348,3.35,0
DATA,6933,10.04,14.96,59.8,68.0,33,Z1,15.000,-10.614,10.61,0
DATA,7191,10.44,14.56,58.2,69.2,33,Z1,15.000,-4.043,4.04,0
DATA,7449,10.67,14.33,57.3,69.4,33,Z1,15.000,-2.205,2.21,0
DATA,7708,10.63,14.37,57.5,70.1,33,Z1,15.000,0.341,0.00,0
DATA,7966,10.63,14.37,57.5,70.0,33,Z1,15.000,-0.033,0.03,0
DATA,8224,10.58,14.42,57.7,70.3,33,Z1,15.000,0.525,0.00,0
DATA,8483,10.57,14.43,57.7,70.1,33,Z1,15.000,0.074,0.00,0
DATA,8741,10.65,14.35,57.4,69.8,33,Z1,15.000,-0.796,0.80,0
DATA,8999,10.77,14.23,56.9,69.5,33,Z1,15.000,-1.173,1.17,0
DATA,9257,10.73,14.27,57.1,70.0,33,Z1,15.000,0.396,0.00,0
DATA,9516,10.81,14.19,56.8,69.5,33,Z1,15.000,-0.766,0.77,0
DATA,9774,10.77,14.23,56.9,69.9,33,Z1,15.000,0.363,0.00,0
DATA,10032,10.24,14.76,59.0,72.1,34,Z1,15.000,5.290,0.00,0
DATA,10291,10.43,14.57,58.3,69.8,33,Z1,15.000,-1.902,1.90,0
DATA,10549,10.57,14.43,57.7,69.7,33,Z1,15.000,-1.413,1.41,0
DATA,10807,12.20,12.80,51.2,62.9,32,Z1,15.000,-16.264,16.26,0
>> GANTI ZONA: 1 -> 2 @14.04g
DATA,11065,14.04,10.96,43.9,15.7,22,Z2,1.096,-18.342,18.34,0
DATA,11324,13.91,11.09,44.3,27.8,25,Z2,2.205,1.202,0.00,0
DATA,11582,14.43,10.57,42.3,23.9,24,Z2,3.262,-5.168,5.17,0
DATA,11840,14.29,10.71,42.8,28.7,25,Z2,4.333,1.439,0.00,0
DATA,12099,14.08,10.92,43.7,30.4,25,Z2,5.425,2.075,0.00,0
DATA,12357,14.16,10.84,43.4,29.4,25,Z2,6.509,-0.799,0.80,0
DATA,12615,14.17,10.83,43.3,30.5,25,Z2,7.592,-0.129,0.13,0
DATA,12873,14.44,10.56,42.2,29.3,25,Z2,8.648,-2.649,2.65,0
DATA,13132,14.06,10.94,43.7,34.6,26,Z2,9.741,3.740,0.00,0
DATA,13390,14.32,10.68,42.7,31.3,26,Z2,10.810,-2.542,2.54,0
DATA,13648,14.51,10.49,41.9,32.0,26,Z2,11.858,-1.950,1.95,0
DATA,13907,14.38,10.62,42.5,34.9,26,Z2,12.920,1.287,0.00,0
DATA,14165,13.86,11.14,44.5,39.1,27,Z2,14.033,5.198,0.00,0
DATA,14423,14.50,10.50,42.0,31.9,26,Z2,15.083,-6.371,6.37,0
DATA,14682,14.43,10.57,42.3,36.9,27,Z2,16.140,0.733,0.00,0
DATA,14940,14.29,10.71,42.9,38.4,27,Z2,17.212,1.410,0.00,0
DATA,15198,14.67,10.33,41.3,35.3,26,Z2,18.245,-3.825,3.83,0
DATA,15456,14.79,10.21,40.8,37.3,27,Z2,19.266,-1.214,1.21,0
DATA,15715,14.47,10.53,42.1,41.4,28,Z2,20.319,3.248,0.00,0
DATA,15973,14.41,10.59,42.4,40.8,27,Z2,21.378,0.548,0.00,0
DATA,16231,14.35,10.65,42.6,41.7,28,Z2,22.443,0.607,0.00,0
DATA,16489,14.54,10.46,41.8,40.7,27,Z2,23.488,-1.927,1.93,0
DATA,16748,14.76,10.24,41.0,40.8,27,Z2,24.512,-2.186,2.19,0
DATA,17006,16.93,8.07,32.3,25.4,24,Z2,25.319,-21.672,21.67,0
DATA,17264,19.09,5.91,23.7,21.0,23,Z2,25.910,-21.569,21.57,0
DATA,17522,18.97,6.03,24.1,34.5,26,Z2,26.514,1.188,0.00,0
DATA,17781,18.95,6.05,24.2,34.5,26,Z2,27.119,0.200,0.00,0
DATA,18039,18.91,6.09,24.3,35.1,26,Z2,27.727,0.340,0.00,0
DATA,18297,18.93,6.07,24.3,35.2,26,Z2,28.335,-0.114,0.11,0
DATA,18556,18.79,6.21,24.9,36.9,27,Z2,28.956,1.384,0.00,0
DATA,18814,18.83,6.17,24.7,36.2,27,Z2,29.573,-0.403,0.40,0
DATA,19072,20.33,4.67,18.7,24.9,24,Z2,30.000,-15.031,15.03,0
DATA,19330,20.81,4.19,16.8,29.6,25,Z2,30.000,-4.765,4.77,0
DATA,19589,21.24,3.76,15.0,28.8,25,Z2,30.000,-4.314,4.31,0
DATA,19847,21.21,3.79,15.2,31.5,26,Z2,30.000,0.289,0.00,0
DATA,20105,21.20,3.80,15.2,31.4,26,Z2,30.000,0.092,0.00,0
DATA,20364,21.16,3.84,15.4,31.7,26,Z2,30.000,0.448,0.00,0
DATA,20622,21.14,3.86,15.4,31.6,26,Z2,30.000,0.166,0.00,0
DATA,20880,21.21,3.79,15.2,30.9,25,Z2,30.000,-0.688,0.69,0
>> GANTI ZONA: 2 -> 3 @21.81g
DATA,21138,21.81,3.19,12.8,7.9,21,Z3,0.319,-5.997,6.00,0
DATA,21397,22.17,2.83,11.3,7.1,21,Z3,0.602,-3.659,3.66,0
DATA,21655,22.11,2.89,11.6,7.4,21,Z3,0.891,0.607,0.00,0
DATA,21913,22.10,2.90,11.6,7.5,21,Z3,1.181,0.119,0.00,0
DATA,22172,22.11,2.89,11.6,7.5,21,Z3,1.470,-0.059,0.06,0
DATA,22430,22.15,2.85,11.4,7.4,21,Z3,1.755,-0.455,0.46,0
DATA,22688,22.16,2.84,11.3,7.5,21,Z3,2.038,-0.129,0.13,0
DATA,22947,22.13,2.87,11.5,7.6,21,Z3,2.325,0.340,0.00,0
DATA,23205,22.60,2.40,9.6,6.3,21,Z3,2.565,-4.728,4.73,0
DATA,23463,23.52,1.48,5.9,3.9,20,Z3,2.713,-9.168,9.17,0
DATA,23721,24.44,0.56,2.2,1.6,20,Z3,2.768,-9.227,9.23,0
DATA,23980,24.39,0.61,2.4,2.1,20,Z3,2.830,0.540,0.00,0
DATA,24238,24.39,0.61,2.4,2.0,20,Z3,2.890,-0.055,0.06,0
DATA,24496,24.41,0.59,2.4,2.0,20,Z3,2.949,-0.130,0.13,0
DATA,24755,24.38,0.62,2.5,2.1,20,Z3,3.011,0.244,0.00,0
DATA,25013,24.39,0.61,2.4,2.1,20,Z3,3.072,-0.081,0.08,0
--------------------------------------------
STOP       : TARGET
Setpoint   : 25.0g
Massa akhir: 25.45g
Error akhir: 0.45g
Error%     : 1.8%
Durasi     : 26734ms
Bridging   : 0x
Zona hits  : Z1=43 Z2=39 Z3=16
STATUS     : AKURAT
=== SUMMARY TRIAL ===
Controller: Gain Scheduling PID
TrialNo: 8
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
