======== PARAMETER AKTIF ========
Setpoint    : 25.0g
- Zona 1 Besar (eNorm >50%) -
  Kp1=1.65  Ki1=3.088  Kd1=0.279
- Zona 2 Sedang (15-50%) -
  Kp2=2.30  Ki2=0.753  Kd2=0.563
- Zona 3 Kecil (<=15%) -
  Kp3=2.50  Ki3=0.181  Kd3=0.030
- Sistem -
  SUDUT_MIN : 20deg
  SUDUT_BUKA: 40deg
  EARLY_STOP: SP - 0.40g
  STOP saat : 24.60g
  HAMMER_TH : error > 3.0g
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Gain Scheduling PID
TrialNo: 4
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Z1_Rule: eNorm_gt_50
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Rule: 15_lt_eNorm_le_50
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Rule: eNorm_le_15_or_abs_error_le_2g
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,flow_gps,bridging_count
=== DATA START ===
DATA,14423,18.65,6.35,25.4,37.3,27,Z2,30.000,0.155,0.00,0
DATA,14681,18.65,6.35,25.4,37.2,27,Z2,30.000,-0.011,0.01,0
DATA,14939,18.62,6.38,25.5,37.4,27,Z2,30.000,0.263,0.00,0
DATA,15197,18.69,6.31,25.2,36.7,27,Z2,30.000,-0.662,0.66,0
DATA,15456,18.67,6.33,25.3,37.2,27,Z2,30.000,0.178,0.00,0
DATA,15714,18.70,6.30,25.2,36.9,27,Z2,30.000,-0.263,0.26,0
DATA,15972,18.67,6.33,25.3,37.3,27,Z2,30.000,0.233,0.00,0
DATA,16231,18.63,6.37,25.5,37.5,27,Z2,30.000,0.444,0.00,0
DATA,16489,18.62,6.38,25.5,37.3,27,Z2,30.000,0.107,0.00,0
DATA,16747,18.63,6.37,25.5,37.2,27,Z2,30.000,-0.074,0.07,0
DATA,17006,18.81,6.19,24.8,35.8,26,Z2,30.000,-1.816,1.82,0
DATA,17264,18.98,6.02,24.1,35.5,26,Z2,30.000,-1.720,1.72,0
DATA,17522,19.00,6.00,24.0,36.2,27,Z2,30.000,-0.237,0.24,0
DATA,17780,19.02,5.98,23.9,36.2,27,Z2,30.000,-0.189,0.19,0
DATA,18039,19.04,5.96,23.8,36.2,27,Z2,30.000,-0.222,0.22,0
DATA,18297,19.03,5.97,23.9,36.4,27,Z2,30.000,0.118,0.00,0
BRIDGING #1 @19.03g Z2 hammer
DATA,18555,19.03,5.97,23.9,36.3,27,Z2,30.000,0.011,0.00,1
DATA,18814,19.04,5.96,23.8,36.2,27,Z2,30.000,-0.114,0.11,1
