RESET. Servo tutup. Tare selesai. Siap.
======== PARAMETER AKTIF ========
Setpoint    : 25.0g
- Zona 1 Besar (eNorm >50%) -
  Kp1=1.65  Ki1=3.088  Kd1=0.279
- Zona 2 Sedang (15-50%) -
  Kp2=2.30  Ki2=0.753  Kd2=0.563
- Zona 3 Kecil (<=15%) -
  Kp3=2.50  Ki3=0.181  Kd3=0.030
- Sistem -
  SUDUT_MIN : 20deg
  SUDUT_BUKA: 40deg
  EARLY_STOP: SP - 0.40g
  STOP saat : 24.60g
  HAMMER_TH : error > 3.0g
=================================
=== TRIAL START ===
Controller: Gain Scheduling PID
TrialNo: 7
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Z1_Rule: eNorm_gt_50
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Rule: 15_lt_eNorm_le_50
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Rule: eNorm_le_15_or_abs_error_le_2g
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,flow_gps,bridging_count
=== DATA START ===
DATA,14422,16.06,8.94,35.8,43.2,28,Z2,30.000,0.118,0.00,0
DATA,14681,15.87,9.13,36.5,44.6,28,Z2,30.000,1.883,0.00,0
DATA,14939,15.91,9.09,36.4,43.3,28,Z2,30.000,-0.359,0.36,0
DATA,15197,16.19,8.81,35.2,41.3,28,Z2,30.000,-2.808,2.81,0
DATA,15456,16.07,8.93,35.7,43.8,28,Z2,30.000,1.195,0.00,0
DATA,15714,15.99,9.01,36.1,43.8,28,Z2,30.000,0.858,0.00,0
DATA,15972,16.13,8.87,35.5,42.2,28,Z2,30.000,-1.410,1.41,0
DATA,16231,16.00,9.00,36.0,44.0,28,Z2,30.000,1.254,0.00,0
DATA,16489,15.98,9.02,36.1,43.5,28,Z2,30.000,0.255,0.00,0
DATA,16747,15.94,9.06,36.2,43.6,28,Z2,30.000,0.325,0.00,0
DATA,17005,17.99,7.01,28.0,27.2,25,Z2,30.000,-20.511,20.51,0
DATA,17264,19.90,5.10,20.4,23.6,24,Z2,30.000,-19.031,19.03,0
DATA,17522,19.79,5.21,20.8,35.2,26,Z2,30.000,1.043,0.00,0
DATA,17780,19.77,5.23,20.9,34.8,26,Z2,30.000,0.233,0.00,0
DATA,18039,19.72,5.28,21.1,35.0,26,Z2,30.000,0.537,0.00,0
DATA,18297,19.67,5.33,21.3,35.1,26,Z2,30.000,0.485,0.00,0
DATA,18555,19.71,5.29,21.1,34.5,26,Z2,30.000,-0.459,0.46,0
DATA,18813,19.74,5.26,21.1,34.6,26,Z2,30.000,-0.233,0.23,0
>> GANTI ZONA: 2 -> 3 @21.30g
DATA,19072,21.30,3.70,14.8,8.8,21,Z3,0.370,-15.634,15.63,0
DATA,19330,21.72,3.28,13.1,8.2,21,Z3,0.698,-4.195,4.20,0
DATA,19588,21.94,3.06,12.2,7.8,21,Z3,1.004,-2.186,2.19,0
DATA,19846,21.97,3.03,12.1,7.8,21,Z3,1.307,-0.359,0.36,0
DATA,20105,21.94,3.06,12.2,8.0,21,Z3,1.613,0.352,0.00,0
DATA,20363,21.95,3.05,12.2,8.0,21,Z3,1.918,-0.108,0.11,0
DATA,20621,21.92,3.08,12.3,8.1,21,Z3,2.226,0.300,0.00,0
DATA,20880,22.02,2.98,11.9,7.9,21,Z3,2.524,-1.047,1.05,0
DATA,21138,22.98,2.02,8.1,5.3,20,Z3,2.726,-9.549,9.55,0
DATA,21396,22.93,2.07,8.3,5.7,20,Z3,2.933,0.455,0.00,0
DATA,21654,22.95,2.05,8.2,5.7,20,Z3,3.138,-0.118,0.12,0
DATA,21913,22.94,2.06,8.2,5.7,20,Z3,3.344,0.026,0.00,0
DATA,22171,22.93,2.07,8.3,5.8,20,Z3,3.551,0.119,0.00,0
DATA,22429,22.90,2.10,8.4,5.9,20,Z3,3.761,0.336,0.00,0
DATA,22687,22.99,2.01,8.1,5.7,20,Z3,3.962,-0.902,0.90,0
DATA,22946,22.93,2.07,8.3,5.9,20,Z3,4.169,0.570,0.00,0
DATA,23204,23.10,1.90,7.6,5.5,20,Z3,4.359,-1.679,1.68,0
DATA,23462,23.24,1.76,7.1,5.2,20,Z3,4.536,-1.373,1.37,0
DATA,23721,23.16,1.84,7.3,5.5,20,Z3,4.719,0.721,0.00,0
DATA,23979,23.31,1.69,6.8,5.1,20,Z3,4.889,-1.424,1.42,0
DATA,24237,23.32,1.68,6.7,5.1,20,Z3,5.056,-0.181,0.18,0
DATA,24495,23.20,1.80,7.2,5.5,20,Z3,5.237,1.265,0.00,0
DATA,24754,23.41,1.59,6.4,4.9,20,Z3,5.396,-2.083,2.08,0
DATA,25012,23.29,1.71,6.8,5.3,20,Z3,5.567,1.124,0.00,0
DATA,25270,23.55,1.45,5.8,4.6,20,Z3,5.711,-2.604,2.60,0
DATA,25528,23.29,1.71,6.8,5.4,20,Z3,5.882,2.634,0.00,0
DATA,25787,23.11,1.89,7.6,5.9,20,Z3,6.072,1.850,0.00,0
DATA,26045,23.58,1.42,5.7,4.5,20,Z3,6.214,-4.769,4.77,0
DATA,26303,23.31,1.69,6.7,5.5,20,Z3,6.382,2.697,0.00,0
DATA,26562,23.35,1.65,6.6,5.3,20,Z3,6.547,-0.414,0.41,0
DATA,26820,23.38,1.62,6.5,5.2,20,Z3,6.709,-0.300,0.30,0
DATA,27078,23.35,1.65,6.6,5.4,20,Z3,6.873,0.337,0.00,0
DATA,27336,23.51,1.49,6.0,4.9,20,Z3,7.022,-1.620,1.62,0
DATA,27595,23.60,1.40,5.6,4.8,20,Z3,7.162,-0.866,0.87,0
DATA,27853,23.79,1.21,4.8,4.3,20,Z3,7.283,-1.906,1.91,0
DATA,28111,23.62,1.38,5.5,4.8,20,Z3,7.421,1.658,0.00,0
DATA,28370,24.03,0.97,3.9,3.7,20,Z3,7.518,-4.029,4.03,0
DATA,28628,23.98,1.02,4.1,3.9,20,Z3,7.621,0.488,0.00,0
DATA,28886,23.60,1.40,5.6,5.0,20,Z3,7.761,3.800,0.00,0
DATA,29144,23.59,1.41,5.6,5.0,20,Z3,7.902,0.100,0.00,0
DATA,29403,23.89,1.11,4.5,4.1,20,Z3,8.013,-2.982,2.98,0
DATA,29661,24.44,0.56,2.2,2.7,20,Z3,8.069,-5.568,5.57,0
DATA,29919,24.46,0.54,2.1,2.8,20,Z3,8.123,-0.207,0.21,0
DATA,30177,24.35,0.65,2.6,3.1,20,Z3,8.187,1.095,0.00,0
DATA,30436,24.14,0.86,3.4,3.7,20,Z3,8.273,2.131,0.00,0
DATA,30694,24.28,0.72,2.9,3.3,20,Z3,8.345,-1.406,1.41,0
DATA,30952,24.25,0.75,3.0,3.4,20,Z3,8.420,0.340,0.00,0
DATA,31211,24.26,0.74,3.0,3.4,20,Z3,8.494,-0.140,0.14,0
--------------------------------------------
STOP       : TARGET
Setpoint   : 25.0g
Massa akhir: 25.88g
Error akhir: 0.88g
Error%     : 3.5%
Durasi     : 32931ms
Bridging   : 0x
Zona hits  : Z1=19 Z2=55 Z3=48
STATUS     : AKURAT
=== SUMMARY TRIAL ===
Controller: Gain Scheduling PID
TrialNo: 7
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
FinalMass_g: 25.88
FinalError_g: 0.88
FinalError_pct: 3.52
Duration_ms: 32931
Duration_s: 32.93
TimeTo90_ms: 21138
RiseTime_10_90_ms: 20404
TimeToTolerance_ms: 27853
SettlingTime_ms: 29403
SettlingTol_pct: 5.00
SettlingTol_g: 1.25
MaxMass_g: 25.88
MaxOvershoot_g: 0.88
MaxOvershoot_pct: 3.52
BridgingCount: 0
ZonaHit_Z1: 19
ZonaHit_Z2: 55
ZonaHit_Z3: 48
Status: AKURAT
Valid: TRUE
StopReason: TARGET
=== TRIAL END ===
--------------------------------------------
r=reset | g=ulangi | c=parameter
