======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 25.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 24.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 6
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.02,24.98,99.9%,OPEN_SLOW,20,Z1
DATA,218,0.23,24.77,99.1%,OPEN_SLOW,20,Z1
DATA,476,0.34,24.66,98.6%,OPEN_SLOW,20,Z1
DATA,734,0.33,24.67,98.7%,OPEN_SLOW,20,Z1
DATA,993,0.32,24.68,98.7%,OPEN_SLOW,20,Z1
DATA,1251,0.31,24.69,98.8%,OPEN_SLOW,20,Z1
DATA,1509,0.29,24.71,98.8%,OPEN_SLOW,20,Z1
DATA,1768,0.29,24.71,98.8%,OPEN_SLOW,20,Z1
DATA,2026,0.31,24.69,98.8%,OPEN_SLOW,20,Z1
DATA,2285,0.29,24.71,98.9%,OPEN_SLOW,20,Z1
DATA,2543,0.49,24.51,98.0%,OPEN_SLOW,20,Z1
DATA,2801,0.49,24.51,98.0%,OPEN_SLOW,20,Z1
BRIDGING #1 @0.49g hammer
DATA,3060,0.49,24.51,98.0%,OPEN_SLOW,20,Z1
DATA,3318,0.52,24.48,97.9%,OPEN_SLOW,20,Z1
DATA,3576,0.52,24.48,97.9%,OPEN_SLOW,20,Z1
DATA,3834,0.49,24.51,98.0%,OPEN_SLOW,20,Z1
DATA,4093,1.88,23.12,92.5%,OPEN_SLOW,20,Z1
DATA,4351,2.91,22.09,88.4%,OPEN_SLOW,20,Z1
DATA,4609,2.84,22.16,88.6%,OPEN_SLOW,20,Z1
DATA,4868,2.78,22.22,88.9%,OPEN_SLOW,20,Z1
DATA,5126,2.79,22.21,88.8%,OPEN_SLOW,20,Z1
DATA,5384,2.80,22.20,88.8%,OPEN_SLOW,20,Z1
DATA,5642,2.76,22.24,88.9%,OPEN_SLOW,20,Z1
DATA,5901,2.80,22.20,88.8%,OPEN_SLOW,20,Z1
DATA,6159,2.84,22.16,88.6%,OPEN_SLOW,20,Z1
DATA,6417,2.77,22.23,88.9%,OPEN_SLOW,20,Z1
DATA,6676,2.78,22.22,88.9%,OPEN_SLOW,20,Z1
DATA,6934,2.77,22.23,88.9%,OPEN_SLOW,20,Z1
DATA,7192,2.75,22.25,89.0%,OPEN_SLOW,20,Z1
DATA,7451,2.81,22.19,88.8%,OPEN_SLOW,20,Z1
DATA,7709,2.81,22.19,88.8%,OPEN_SLOW,20,Z1
DATA,7967,2.78,22.22,88.9%,OPEN_SLOW,20,Z1
DATA,8226,2.85,22.15,88.6%,OPEN_SLOW,20,Z1
DATA,8484,2.85,22.15,88.6%,OPEN_SLOW,20,Z1
DATA,8742,2.80,22.20,88.8%,OPEN_SLOW,20,Z1
DATA,9001,2.71,22.29,89.2%,OPEN_SLOW,20,Z1
BRIDGING #2 @2.73g hammer
DATA,9259,2.73,22.27,89.1%,OPEN_SLOW,20,Z1
DATA,9518,2.75,22.25,89.0%,OPEN_SLOW,20,Z1
DATA,9776,2.78,22.22,88.9%,OPEN_SLOW,20,Z1
DATA,10034,2.88,22.12,88.5%,OPEN_SLOW,20,Z1
DATA,10292,3.18,21.82,87.3%,OPEN_SLOW,20,Z1
DATA,10550,4.42,20.58,82.3%,OPEN_SLOW,20,Z1
DATA,10809,4.30,20.70,82.8%,OPEN_SLOW,20,Z1
DATA,11067,4.17,20.83,83.3%,OPEN_SLOW,20,Z1
DATA,11325,3.98,21.02,84.1%,OPEN_SLOW,20,Z1
