======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 25.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 24.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 7
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,218,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,476,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,734,0.05,24.95,99.8%,OPEN_SLOW,20,Z1
DATA,993,0.03,24.97,99.9%,OPEN_SLOW,20,Z1
DATA,1251,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,1509,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,1767,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,2026,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,2284,0.00,25.00,100.0%,OPEN_SLOW,20,Z1
DATA,2542,0.27,24.73,98.9%,OPEN_SLOW,20,Z1
DATA,2801,0.37,24.63,98.5%,OPEN_SLOW,20,Z1
BRIDGING #1 @0.39g hammer
DATA,3059,0.39,24.61,98.4%,OPEN_SLOW,20,Z1
DATA,3317,0.29,24.71,98.8%,OPEN_SLOW,20,Z1
DATA,3575,0.31,24.69,98.8%,OPEN_SLOW,20,Z1
DATA,3834,0.45,24.55,98.2%,OPEN_SLOW,20,Z1
DATA,4092,1.84,23.16,92.7%,OPEN_SLOW,20,Z1
DATA,4350,3.04,21.96,87.8%,OPEN_SLOW,20,Z1
DATA,4608,2.85,22.15,88.6%,OPEN_SLOW,20,Z1
DATA,4867,2.83,22.17,88.7%,OPEN_SLOW,20,Z1
DATA,5125,2.80,22.20,88.8%,OPEN_SLOW,20,Z1
DATA,5383,2.86,22.14,88.6%,OPEN_SLOW,20,Z1
DATA,5642,2.83,22.17,88.7%,OPEN_SLOW,20,Z1
DATA,5900,2.84,22.16,88.7%,OPEN_SLOW,20,Z1
DATA,6158,2.82,22.18,88.7%,OPEN_SLOW,20,Z1
DATA,6416,2.76,22.24,89.0%,OPEN_SLOW,20,Z1
DATA,6675,2.78,22.22,88.9%,OPEN_SLOW,20,Z1
DATA,6933,2.83,22.17,88.7%,OPEN_SLOW,20,Z1
DATA,7191,2.74,22.26,89.0%,OPEN_SLOW,20,Z1
DATA,7450,2.83,22.17,88.7%,OPEN_SLOW,20,Z1
DATA,7708,2.77,22.23,88.9%,OPEN_SLOW,20,Z1
DATA,7966,2.75,22.25,89.0%,OPEN_SLOW,20,Z1
DATA,8225,2.77,22.23,88.9%,OPEN_SLOW,20,Z1
DATA,8483,2.77,22.23,88.9%,OPEN_SLOW,20,Z1
DATA,8741,2.78,22.22,88.9%,OPEN_SLOW,20,Z1
DATA,8999,2.80,22.20,88.8%,OPEN_SLOW,20,Z1
BRIDGING #2 @2.75g hammer
DATA,9258,2.75,22.25,89.0%,OPEN_SLOW,20,Z1
DATA,9516,2.77,22.23,88.9%,OPEN_SLOW,20,Z1
DATA,9774,2.80,22.20,88.8%,OPEN_SLOW,20,Z1
DATA,10033,2.79,22.21,88.8%,OPEN_SLOW,20,Z1
DATA,10291,3.21,21.79,87.2%,OPEN_SLOW,20,Z1
DATA,10549,6.94,18.06,72.2%,OPEN_SLOW,20,Z1
DATA,10807,11.55,13.45,53.8%,OPEN_SLOW,20,Z1
DATA,11066,11.52,13.48,53.9%,OPEN_SLOW,20,Z1
DATA,11324,11.42,13.58,54.3%,OPEN_SLOW,20,Z1
DATA,11582,11.45,13.55,54.2%,OPEN_SLOW,20,Z1
DATA,11840,11.45,13.55,54.2%,OPEN_SLOW,20,Z1
DATA,12099,11.41,13.59,54.3%,OPEN_SLOW,20,Z1
DATA,12357,11.40,13.60,54.4%,OPEN_SLOW,20,Z1
DATA,12615,11.41,13.59,54.4%,OPEN_SLOW,20,Z1
DATA,12874,11.43,13.57,54.3%,OPEN_SLOW,20,Z1
DATA,13132,11.45,13.55,54.2%,OPEN_SLOW,20,Z1
DATA,13390,11.45,13.55,54.2%,OPEN_SLOW,20,Z1
