======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 25.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 24.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 3
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.01,24.99,100.0%,OPEN_SLOW,20,Z1
DATA,218,0.10,24.90,99.6%,OPEN_SLOW,20,Z1
DATA,476,0.22,24.78,99.1%,OPEN_SLOW,20,Z1
DATA,734,0.15,24.85,99.4%,OPEN_SLOW,20,Z1
DATA,993,0.15,24.85,99.4%,OPEN_SLOW,20,Z1
DATA,1251,0.17,24.83,99.3%,OPEN_SLOW,20,Z1
DATA,1509,0.18,24.82,99.3%,OPEN_SLOW,20,Z1
DATA,1768,0.17,24.83,99.3%,OPEN_SLOW,20,Z1
DATA,2026,0.18,24.82,99.3%,OPEN_SLOW,20,Z1
DATA,2284,0.19,24.81,99.2%,OPEN_SLOW,20,Z1
DATA,2543,0.84,24.16,96.6%,OPEN_SLOW,20,Z1
DATA,2801,0.83,24.17,96.7%,OPEN_SLOW,20,Z1
DATA,3059,0.84,24.16,96.7%,OPEN_SLOW,20,Z1
DATA,3318,0.83,24.17,96.7%,OPEN_SLOW,20,Z1
DATA,3576,0.84,24.16,96.6%,OPEN_SLOW,20,Z1
DATA,3834,0.86,24.14,96.6%,OPEN_SLOW,20,Z1
DATA,4093,0.86,24.14,96.6%,OPEN_SLOW,20,Z1
DATA,4351,0.83,24.17,96.7%,OPEN_SLOW,20,Z1
DATA,4609,1.04,23.96,95.8%,OPEN_SLOW,20,Z1
DATA,4868,1.03,23.97,95.9%,OPEN_SLOW,20,Z1
DATA,5126,1.04,23.96,95.8%,OPEN_SLOW,20,Z1
DATA,5384,1.05,23.95,95.8%,OPEN_SLOW,20,Z1
DATA,5643,1.00,24.00,96.0%,OPEN_SLOW,20,Z1
DATA,5901,0.99,24.01,96.0%,OPEN_SLOW,20,Z1
BRIDGING #1 @0.98g hammer
DATA,6159,0.98,24.02,96.1%,OPEN_SLOW,20,Z1
DATA,6418,0.99,24.01,96.1%,OPEN_SLOW,20,Z1
DATA,6676,0.97,24.03,96.1%,OPEN_SLOW,20,Z1
DATA,6934,1.13,23.87,95.5%,OPEN_SLOW,20,Z1
DATA,7192,2.25,22.75,91.0%,OPEN_SLOW,20,Z1
DATA,7450,3.05,21.95,87.8%,OPEN_SLOW,20,Z1
DATA,7709,2.77,22.23,88.9%,OPEN_SLOW,20,Z1
DATA,7967,2.78,22.22,88.9%,OPEN_SLOW,20,Z1
DATA,8225,2.74,22.26,89.0%,OPEN_SLOW,20,Z1
DATA,8484,2.82,22.18,88.7%,OPEN_SLOW,20,Z1
DATA,8742,2.70,22.30,89.2%,OPEN_SLOW,20,Z1
DATA,9000,2.85,22.15,88.6%,OPEN_SLOW,20,Z1
DATA,9259,2.80,22.20,88.8%,OPEN_SLOW,20,Z1
DATA,9517,2.71,22.29,89.2%,OPEN_SLOW,20,Z1
DATA,9775,2.72,22.28,89.1%,OPEN_SLOW,20,Z1
DATA,10034,2.72,22.28,89.1%,OPEN_SLOW,20,Z1
DATA,10292,2.81,22.19,88.8%,OPEN_SLOW,20,Z1
DATA,10550,2.74,22.26,89.0%,OPEN_SLOW,20,Z1
DATA,10808,2.76,22.24,89.0%,OPEN_SLOW,20,Z1
DATA,11067,2.86,22.14,88.6%,OPEN_SLOW,20,Z1
DATA,11325,3.04,21.96,87.8%,OPEN_SLOW,20,Z1
DATA,11583,2.95,22.05,88.2%,OPEN_SLOW,20,Z1
DATA,11842,2.90,22.10,88.4%,OPEN_SLOW,20,Z1
DATA,12100,2.84,22.16,88.7%,OPEN_SLOW,20,Z1
BRIDGING #2 @2.79g hammer
DATA,12358,2.79,22.21,88.8%,OPEN_SLOW,20,Z1
DATA,12617,2.91,22.09,88.3%,OPEN_SLOW,20,Z1
DATA,12875,2.79,22.21,88.8%,OPEN_SLOW,20,Z1
DATA,13133,2.69,22.31,89.2%,OPEN_SLOW,20,Z1
DATA,13391,2.98,22.02,88.1%,OPEN_SLOW,20,Z1
DATA,13650,3.87,21.13,84.5%,OPEN_SLOW,20,Z1
DATA,13908,3.83,21.17,84.7%,OPEN_SLOW,20,Z1
DATA,14166,3.77,21.23,84.9%,OPEN_SLOW,20,Z1
DATA,14425,3.75,21.25,85.0%,OPEN_SLOW,20,Z1
DATA,14683,3.78,21.22,84.9%,OPEN_SLOW,20,Z1
DATA,14941,3.70,21.30,85.2%,OPEN_SLOW,20,Z1
DATA,15199,3.75,21.25,85.0%,OPEN_SLOW,20,Z1
DATA,15458,3.76,21.24,85.0%,OPEN_SLOW,20,Z1
DATA,15716,3.84,21.16,84.6%,OPEN_SLOW,20,Z1
DATA,15974,3.82,21.18,84.7%,OPEN_SLOW,20,Z1
DATA,16233,3.85,21.15,84.6%,OPEN_SLOW,20,Z1
DATA,16491,3.79,21.21,84.8%,OPEN_SLOW,20,Z1
DATA,16749,3.79,21.21,84.9%,OPEN_SLOW,20,Z1
DATA,17008,3.75,21.25,85.0%,OPEN_SLOW,20,Z1
DATA,17266,3.77,21.23,84.9%,OPEN_SLOW,20,Z1
DATA,17524,3.77,21.23,84.9%,OPEN_SLOW,20,Z1
DATA,17783,3.79,21.21,84.8%,OPEN_SLOW,20,Z1
DATA,18041,3.79,21.21,84.8%,OPEN_SLOW,20,Z1
DATA,18299,3.76,21.24,85.0%,OPEN_SLOW,20,Z1
BRIDGING #3 @3.79g hammer
DATA,18558,3.79,21.21,84.8%,OPEN_SLOW,20,Z1
DATA,18816,3.73,21.27,85.1%,OPEN_SLOW,20,Z1
DATA,19074,3.75,21.25,85.0%,OPEN_SLOW,20,Z1
DATA,19333,3.78,21.22,84.9%,OPEN_SLOW,20,Z1
DATA,19591,3.94,21.06,84.2%,OPEN_SLOW,20,Z1
DATA,19849,5.27,19.73,78.9%,OPEN_SLOW,20,Z1
DATA,20107,7.87,17.13,68.5%,OPEN_SLOW,20,Z1
DATA,20366,10.14,14.86,59.4%,OPEN_SLOW,20,Z1
DATA,20624,12.21,12.79,51.2%,OPEN_SLOW,20,Z1
DATA,20882,12.39,12.61,50.5%,OPEN_SLOW,20,Z1
DATA,21141,13.70,11.30,45.2%,OPEN_SLOW,20,Z2
DATA,21399,13.69,11.31,45.2%,OPEN_SLOW,20,Z2
DATA,21657,13.69,11.31,45.2%,OPEN_SLOW,20,Z2
DATA,21915,13.64,11.36,45.4%,OPEN_SLOW,20,Z2
DATA,22174,13.70,11.30,45.2%,OPEN_SLOW,20,Z2
DATA,22432,13.63,11.37,45.5%,OPEN_SLOW,20,Z2
DATA,22690,13.65,11.35,45.4%,OPEN_SLOW,20,Z2
DATA,22949,13.66,11.34,45.3%,OPEN_SLOW,20,Z2
DATA,23207,13.67,11.33,45.3%,OPEN_SLOW,20,Z2
DATA,23465,13.68,11.32,45.3%,OPEN_SLOW,20,Z2
DATA,23724,13.66,11.34,45.4%,OPEN_SLOW,20,Z2
DATA,23982,13.72,11.28,45.1%,OPEN_SLOW,20,Z2
DATA,24240,13.70,11.30,45.2%,OPEN_SLOW,20,Z2
DATA,24499,13.65,11.35,45.4%,OPEN_SLOW,20,Z2
BRIDGING #4 @13.67g hammer
DATA,24757,13.67,11.33,45.3%,OPEN_SLOW,20,Z2
DATA,25016,13.71,11.29,45.2%,OPEN_SLOW,20,Z2
DATA,25274,13.70,11.30,45.2%,OPEN_SLOW,20,Z2
DATA,25532,13.66,11.34,45.3%,OPEN_SLOW,20,Z2
DATA,25790,13.96,11.04,44.2%,OPEN_SLOW,20,Z2
DATA,26048,14.23,10.77,43.1%,OPEN_SLOW,20,Z2
DATA,26307,14.26,10.74,43.0%,OPEN_SLOW,20,Z2
DATA,26565,14.29,10.71,42.8%,OPEN_SLOW,20,Z2
DATA,26823,14.35,10.65,42.6%,OPEN_SLOW,20,Z2
DATA,27082,14.41,10.59,42.4%,OPEN_SLOW,20,Z2
DATA,27340,14.30,10.70,42.8%,OPEN_SLOW,20,Z2
DATA,27598,14.79,10.21,40.9%,OPEN_SLOW,20,Z2
DATA,27857,14.77,10.23,40.9%,OPEN_SLOW,20,Z2
