======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 25.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 24.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 1
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.02,24.98,99.9%,OPEN_SLOW,20,Z1
DATA,218,0.08,24.92,99.7%,OPEN_SLOW,20,Z1
DATA,476,0.10,24.90,99.6%,OPEN_SLOW,20,Z1
DATA,734,0.10,24.90,99.6%,OPEN_SLOW,20,Z1
DATA,993,0.12,24.88,99.5%,OPEN_SLOW,20,Z1
DATA,1251,0.10,24.90,99.6%,OPEN_SLOW,20,Z1
DATA,1509,0.10,24.90,99.6%,OPEN_SLOW,20,Z1
DATA,1767,0.11,24.89,99.5%,OPEN_SLOW,20,Z1
DATA,2026,0.10,24.90,99.6%,OPEN_SLOW,20,Z1
DATA,2284,0.11,24.89,99.5%,OPEN_SLOW,20,Z1
DATA,2542,0.95,24.05,96.2%,OPEN_SLOW,20,Z1
DATA,2801,1.20,23.80,95.2%,OPEN_SLOW,20,Z1
DATA,3059,1.18,23.82,95.3%,OPEN_SLOW,20,Z1
DATA,3317,1.18,23.82,95.3%,OPEN_SLOW,20,Z1
DATA,3576,1.17,23.83,95.3%,OPEN_SLOW,20,Z1
DATA,3834,1.20,23.80,95.2%,OPEN_SLOW,20,Z1
DATA,4092,1.24,23.76,95.1%,OPEN_SLOW,20,Z1
DATA,4351,1.23,23.77,95.1%,OPEN_SLOW,20,Z1
DATA,4609,1.85,23.15,92.6%,OPEN_SLOW,20,Z1
DATA,4867,2.53,22.47,89.9%,OPEN_SLOW,20,Z1
DATA,5125,2.43,22.57,90.3%,OPEN_SLOW,20,Z1
DATA,5384,2.45,22.55,90.2%,OPEN_SLOW,20,Z1
DATA,5642,2.45,22.55,90.2%,OPEN_SLOW,20,Z1
DATA,5900,2.47,22.53,90.1%,OPEN_SLOW,20,Z1
DATA,6159,2.47,22.53,90.1%,OPEN_SLOW,20,Z1
DATA,6417,2.48,22.52,90.1%,OPEN_SLOW,20,Z1
DATA,6675,3.24,21.76,87.0%,OPEN_SLOW,20,Z1
DATA,6934,3.87,21.13,84.5%,OPEN_SLOW,20,Z1
DATA,7192,3.82,21.18,84.7%,OPEN_SLOW,20,Z1
DATA,7450,3.81,21.19,84.8%,OPEN_SLOW,20,Z1
DATA,7708,3.76,21.24,85.0%,OPEN_SLOW,20,Z1
DATA,7967,3.73,21.27,85.1%,OPEN_SLOW,20,Z1
DATA,8225,3.72,21.28,85.1%,OPEN_SLOW,20,Z1
DATA,8483,3.73,21.27,85.1%,OPEN_SLOW,20,Z1
DATA,8742,4.22,20.78,83.1%,OPEN_SLOW,20,Z1
DATA,9000,4.19,20.81,83.2%,OPEN_SLOW,20,Z1
DATA,9258,4.27,20.73,82.9%,OPEN_SLOW,20,Z1
DATA,9517,4.25,20.75,83.0%,OPEN_SLOW,20,Z1
DATA,9775,4.20,20.80,83.2%,OPEN_SLOW,20,Z1
DATA,10033,4.40,20.60,82.4%,OPEN_SLOW,20,Z1
DATA,10291,4.49,20.51,82.0%,OPEN_SLOW,20,Z1
DATA,10550,4.47,20.53,82.1%,OPEN_SLOW,20,Z1
DATA,10808,4.56,20.44,81.8%,OPEN_SLOW,20,Z1
DATA,11066,4.50,20.50,82.0%,OPEN_SLOW,20,Z1
DATA,11325,4.47,20.53,82.1%,OPEN_SLOW,20,Z1
DATA,11583,4.46,20.54,82.2%,OPEN_SLOW,20,Z1
