======== PARAMETER AKTIF ========
Setpoint    : 15.0g
- Zona 1 Besar (eNorm >50%) -
  Kp1=1.65  Ki1=3.088  Kd1=0.279
- Zona 2 Sedang (15-50%) -
  Kp2=2.30  Ki2=0.753  Kd2=0.563
- Zona 3 Kecil (<=15%) -
  Kp3=2.50  Ki3=0.181  Kd3=0.030
- Sistem -
  SUDUT_MIN : 20deg
  SUDUT_BUKA: 40deg
  EARLY_STOP: SP - 0.40g
  STOP saat : 14.60g
  HAMMER_TH : error > 3.0g
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Gain Scheduling PID
TrialNo: 7
Setpoint_g: 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
Z1_Rule: eNorm_gt_50
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Rule: 15_lt_eNorm_le_50
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Rule: eNorm_le_15_or_abs_error_le_2g
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,flow_gps,bridging_count
=== DATA START ===
DATA,14163,12.41,2.59,17.3,5.5,20,Z2,0.534,-1.476,1.48,0
DATA,14421,12.43,2.57,17.1,6.4,21,Z2,0.791,-0.259,0.26,0
DATA,14679,12.49,2.51,16.7,6.2,21,Z2,1.042,-0.577,0.58,0
DATA,14937,12.36,2.64,17.6,7.8,21,Z2,1.306,1.302,0.00,0
DATA,15196,12.43,2.57,17.1,6.7,21,Z2,1.563,-0.718,0.72,0
DATA,15454,12.46,2.54,17.0,7.1,21,Z2,1.817,-0.255,0.26,0
DATA,15712,12.43,2.57,17.1,7.6,21,Z2,2.074,0.248,0.00,0
DATA,15970,12.32,2.68,17.9,8.6,21,Z2,2.342,1.114,0.00,0
DATA,16229,12.38,2.62,17.5,7.7,21,Z2,2.605,-0.573,0.57,0
DATA,16487,12.35,2.65,17.7,8.4,21,Z2,2.870,0.274,0.00,0
DATA,16745,12.38,2.62,17.5,8.2,21,Z2,3.132,-0.277,0.28,0
DATA,17003,12.32,2.68,17.9,9.1,21,Z2,3.400,0.599,0.00,0
DATA,17262,12.45,2.55,17.0,7.9,21,Z2,3.655,-1.313,1.31,0
DATA,17520,12.45,2.55,17.0,8.8,21,Z2,3.910,-0.044,0.04,0
DATA,17778,12.45,2.55,17.0,9.0,21,Z2,4.165,0.063,0.00,0
DATA,18036,12.51,2.49,16.6,8.7,21,Z2,4.414,-0.681,0.68,0
DATA,18295,12.51,2.49,16.6,9.3,21,Z2,4.663,0.063,0.00,0
DATA,18553,12.42,2.58,17.2,10.1,21,Z2,4.921,0.858,0.00,0
DATA,18811,12.46,2.54,16.9,9.5,21,Z2,5.175,-0.370,0.37,0
DATA,19069,12.14,2.86,19.1,12.5,22,Z2,5.461,3.237,0.00,0
DATA,19328,12.61,2.39,15.9,7.1,21,Z2,5.700,-4.717,4.72,0
DATA,19586,12.57,2.43,16.2,10.2,21,Z2,5.943,0.344,0.00,0
DATA,19844,12.39,2.61,17.4,11.7,22,Z2,6.204,1.820,0.00,0
DATA,20102,12.55,2.45,16.3,9.6,21,Z2,6.448,-1.624,1.62,0
DATA,20361,12.61,2.39,16.0,10.2,21,Z2,6.688,-0.522,0.52,0
DATA,20619,12.73,2.27,15.2,9.8,21,Z2,6.915,-1.210,1.21,0
DATA,20877,12.70,2.30,15.3,10.8,21,Z2,7.145,0.226,0.00,0
DATA,21135,12.61,2.39,15.9,11.6,22,Z2,7.383,0.906,0.00,0
DATA,21394,12.48,2.52,16.8,12.3,22,Z2,7.636,1.376,0.00,0
DATA,21652,12.29,2.71,18.0,13.2,22,Z2,7.906,1.831,0.00,0
DATA,21910,12.44,2.56,17.1,11.2,22,Z2,8.163,-1.428,1.43,0
DATA,22168,12.67,2.33,15.6,10.4,21,Z2,8.396,-2.312,2.31,0
DATA,22427,12.64,2.36,15.8,12.1,22,Z2,8.632,0.303,0.00,0
DATA,22685,12.47,2.53,16.9,13.5,22,Z2,8.886,1.716,0.00,0
DATA,22943,12.42,2.58,17.2,13.1,22,Z2,9.144,0.440,0.00,0
DATA,23201,12.48,2.52,16.8,12.5,22,Z2,9.396,-0.588,0.59,0
DATA,23460,12.44,2.56,17.1,13.4,22,Z2,9.652,0.396,0.00,0
DATA,23718,12.41,2.59,17.3,13.6,22,Z2,9.911,0.281,0.00,0
DATA,23976,12.35,2.65,17.7,14.1,22,Z2,10.175,0.607,0.00,0
DATA,24234,12.38,2.62,17.4,13.7,22,Z2,10.437,-0.329,0.33,0
DATA,24493,12.37,2.63,17.5,14.2,22,Z2,10.700,0.141,0.00,0
DATA,24751,12.34,2.66,17.7,14.6,22,Z2,10.966,0.311,0.00,0
DATA,25009,12.35,2.65,17.7,14.5,22,Z2,11.231,-0.108,0.11,0
DATA,25267,12.40,2.60,17.4,14.4,22,Z2,11.491,-0.466,0.47,0
DATA,25526,12.41,2.59,17.3,14.8,22,Z2,11.751,-0.100,0.10,0
DATA,25784,12.38,2.62,17.5,15.2,22,Z2,12.013,0.300,0.00,0
DATA,26042,12.45,2.55,17.0,14.7,22,Z2,12.268,-0.751,0.75,0
DATA,26300,12.43,2.57,17.2,15.5,22,Z2,12.525,0.266,0.00,0
DATA,26559,12.41,2.59,17.3,15.7,22,Z2,12.785,0.185,0.00,0
DATA,26817,12.36,2.64,17.6,16.2,23,Z2,13.049,0.466,0.00,0
DATA,27075,12.39,2.61,17.4,15.9,22,Z2,13.310,-0.263,0.26,0
DATA,27333,12.34,2.66,17.8,16.6,23,Z2,13.576,0.503,0.00,0
DATA,27592,12.37,2.63,17.5,16.2,23,Z2,13.839,-0.377,0.38,0
DATA,27850,12.33,2.67,17.8,17.0,23,Z2,14.106,0.470,0.00,0
DATA,28108,12.29,2.71,18.0,17.2,23,Z2,14.377,0.329,0.00,0
DATA,28366,12.37,2.63,17.5,16.6,23,Z2,14.640,-0.773,0.77,0
DATA,28625,12.55,2.45,16.3,15.8,22,Z2,14.884,-1.839,1.84,0
DATA,28883,12.48,2.52,16.8,17.6,23,Z2,15.137,0.773,0.00,0
DATA,29141,12.54,2.46,16.4,16.9,23,Z2,15.382,-0.666,0.67,0
>> GANTI ZONA: 2 -> 3 @13.12g
DATA,29399,13.12,1.88,12.5,4.6,20,Z3,0.188,-5.753,5.75,0
DATA,29658,13.57,1.43,9.5,3.5,20,Z3,0.331,-4.499,4.50,0
DATA,29916,13.12,1.88,12.5,4.9,20,Z3,0.519,4.484,0.00,0
DATA,30174,13.30,1.70,11.4,4.3,20,Z3,0.689,-1.761,1.76,0
DATA,30432,13.24,1.76,11.7,4.6,20,Z3,0.865,0.581,0.00,0
DATA,30691,13.58,1.42,9.5,3.6,20,Z3,1.008,-3.374,3.37,0
DATA,30949,13.38,1.62,10.8,4.3,20,Z3,1.170,1.998,0.00,0
DATA,31207,13.36,1.64,10.9,4.3,20,Z3,1.334,0.178,0.00,0
DATA,31465,13.27,1.73,11.5,4.6,20,Z3,1.507,0.866,0.00,0
DATA,31724,13.42,1.58,10.5,4.2,20,Z3,1.665,-1.465,1.47,0
DATA,31982,13.58,1.42,9.5,3.8,20,Z3,1.807,-1.587,1.59,0
DATA,32240,13.57,1.43,9.5,3.9,20,Z3,1.950,0.052,0.00,0
DATA,32499,13.43,1.57,10.5,4.4,20,Z3,2.107,1.454,0.00,0
DATA,32757,13.52,1.48,9.9,4.1,20,Z3,2.255,-0.943,0.94,0
DATA,33015,13.50,1.50,10.0,4.2,20,Z3,2.406,0.233,0.00,0
DATA,33273,13.59,1.41,9.4,4.0,20,Z3,2.546,-0.936,0.94,0
DATA,33532,14.14,0.86,5.7,2.5,20,Z3,2.632,-5.505,5.50,0
DATA,33790,14.30,0.70,4.6,2.2,20,Z3,2.702,-1.609,1.61,0
DATA,34048,14.52,0.48,3.2,1.6,20,Z3,2.750,-2.149,2.15,0
DATA,34306,14.43,0.57,3.8,1.9,20,Z3,2.807,0.844,0.00,0
DATA,34565,14.47,0.53,3.5,1.8,20,Z3,2.860,-0.348,0.35,0
DATA,34823,14.51,0.49,3.3,1.7,20,Z3,2.909,-0.396,0.40,0
DATA,35081,14.52,0.48,3.2,1.7,20,Z3,2.957,-0.133,0.13,0
DATA,35339,14.41,0.59,3.9,2.1,20,Z3,3.016,1.124,0.00,0
DATA,35598,14.59,0.41,2.7,1.5,20,Z3,3.057,-1.827,1.83,0
--------------------------------------------
STOP       : TARGET
Setpoint   : 15.0g
Massa akhir: 15.04g
Error akhir: 0.04g
Error%     : 0.2%
Durasi     : 37318ms
Bridging   : 0x
Zona hits  : Z1=18 Z2=94 Z3=27
STATUS     : AKURAT
=== SUMMARY TRIAL ===
Controller: Gain Scheduling PID
TrialNo: 7
Setpoint_g: 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
FinalMass_g: 15.04
FinalError_g: 0.04
FinalError_pct: 0.24
Duration_ms: 37318
Duration_s: 37.32
TimeTo90_ms: 29658
RiseTime_10_90_ms: 28924
TimeToTolerance_ms: 33790
SettlingTime_ms: 33790
SettlingTol_pct: 5.00
SettlingTol_g: 0.75
MaxMass_g: 15.04
MaxOvershoot_g: 0.04
MaxOvershoot_pct: 0.24
BridgingCount: 0
ZonaHit_Z1: 18
ZonaHit_Z2: 94
ZonaHit_Z3: 27
Status: AKURAT
Valid: TRUE
StopReason: TARGET
=== TRIAL END ===
--------------------------------------------
r=reset | g=ulangi | c=parameter
