======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 20.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 19.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
                                                                 Manual Presisi
TrialNo: 10
Setpoint_g: 20.00
EarlyStop_g: 0.40
StopTarget_g: 19.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.00,20.00,100.0%,OPEN_SLOW,20,Z1
DATA,218,0.16,19.84,99.2%,OPEN_SLOW,20,Z1
DATA,476,0.29,19.71,98.6%,OPEN_SLOW,20,Z1
DATA,734,0.40,19.60,98.0%,OPEN_SLOW,20,Z1
DATA,992,0.16,19.84,99.2%,OPEN_SLOW,20,Z1
DATA,1251,0.21,19.79,98.9%,OPEN_SLOW,20,Z1
DATA,1509,0.35,19.65,98.2%,OPEN_SLOW,20,Z1
DATA,1767,0.44,19.56,97.8%,OPEN_SLOW,20,Z1
DATA,2026,0.23,19.77,98.8%,OPEN_SLOW,20,Z1
DATA,2284,0.23,19.77,98.9%,OPEN_SLOW,20,Z1
DATA,2542,1.37,18.63,93.2%,OPEN_SLOW,20,Z1
DATA,2800,1.66,18.34,91.7%,OPEN_SLOW,20,Z1
DATA,3058,1.78,18.22,91.1%,OPEN_SLOW,20,Z1
DATA,3317,1.80,18.20,91.0%,OPEN_SLOW,20,Z1
DATA,3575,1.42,18.58,92.9%,OPEN_SLOW,20,Z1
DATA,3833,1.51,18.49,92.4%,OPEN_SLOW,20,Z1
DATA,4092,1.36,18.64,93.2%,OPEN_SLOW,20,Z1
DATA,4350,1.39,18.61,93.1%,OPEN_SLOW,20,Z1
DATA,4608,1.55,18.45,92.2%,OPEN_SLOW,20,Z1
DATA,4866,1.45,18.55,92.8%,OPEN_SLOW,20,Z1
DATA,5125,1.46,18.54,92.7%,OPEN_SLOW,20,Z1
DATA,5383,1.53,18.47,92.4%,OPEN_SLOW,20,Z1
DATA,5641,1.64,18.36,91.8%,OPEN_SLOW,20,Z1
DATA,5899,1.57,18.43,92.2%,OPEN_SLOW,20,Z1
BRIDGING #1 @1.46g hammer
DATA,6158,1.46,18.54,92.7%,OPEN_SLOW,20,Z1
DATA,6416,1.77,18.23,91.1%,OPEN_SLOW,20,Z1
DATA,6674,1.61,18.39,92.0%,OPEN_SLOW,20,Z1
DATA,6932,1.37,18.63,93.1%,OPEN_SLOW,20,Z1
DATA,7190,2.74,17.26,86.3%,OPEN_SLOW,20,Z1
DATA,7449,6.66,13.34,66.7%,OPEN_SLOW,20,Z1
DATA,7707,10.89,9.11,45.6%,OPEN_SLOW,20,Z2
DATA,7965,13.17,6.83,34.1%,OPEN_SLOW,20,Z2
DATA,8223,12.82,7.18,35.9%,OPEN_SLOW,20,Z2
DATA,8482,12.81,7.19,36.0%,OPEN_SLOW,20,Z2
DATA,8740,12.83,7.17,35.8%,OPEN_SLOW,20,Z2
DATA,8998,12.94,7.06,35.3%,OPEN_SLOW,20,Z2
DATA,9256,12.92,7.08,35.4%,OPEN_SLOW,20,Z2
DATA,9514,12.92,7.08,35.4%,OPEN_SLOW,20,Z2
DATA,9773,12.85,7.15,35.7%,OPEN_SLOW,20,Z2
DATA,10031,12.88,7.12,35.6%,OPEN_SLOW,20,Z2
DATA,10289,12.87,7.13,35.6%,OPEN_SLOW,20,Z2
DATA,10547,12.95,7.05,35.3%,OPEN_SLOW,20,Z2
DATA,10806,14.38,5.62,28.1%,OPEN_SLOW,20,Z2
DATA,11064,15.33,4.67,23.4%,OPEN_SLOW,20,Z2
DATA,11322,15.40,4.60,23.0%,OPEN_SLOW,20,Z2
DATA,11580,15.35,4.65,23.2%,OPEN_SLOW,20,Z2
DATA,11839,15.37,4.63,23.2%,OPEN_SLOW,20,Z2
DATA,12097,15.30,4.70,23.5%,OPEN_SLOW,20,Z2
DATA,12355,15.30,4.70,23.5%,OPEN_SLOW,20,Z2
DATA,12614,15.33,4.67,23.4%,OPEN_SLOW,20,Z2
DATA,12872,16.28,3.72,18.6%,OPEN_SLOW,20,Z2
DATA,13130,16.60,3.40,17.0%,OPEN_SLOW,20,Z2
DATA,13388,16.58,3.42,17.1%,OPEN_SLOW,20,Z2
DATA,13646,16.61,3.39,17.0%,OPEN_SLOW,20,Z2
DATA,13905,16.57,3.43,17.1%,OPEN_SLOW,20,Z2
DATA,14163,16.58,3.42,17.1%,OPEN_SLOW,20,Z2
DATA,14421,16.54,3.46,17.3%,OPEN_SLOW,20,Z2
DATA,14680,16.60,3.40,17.0%,OPEN_SLOW,20,Z2
DATA,14938,17.15,2.85,14.3%,OPEN_SLOW,20,Z3
DATA,15196,17.39,2.61,13.1%,OPEN_SLOW,20,Z3
DATA,15454,17.37,2.63,13.1%,OPEN_SLOW,20,Z3
DATA,15712,17.41,2.59,13.0%,OPEN_SLOW,20,Z3
DATA,15971,17.37,2.63,13.1%,OPEN_SLOW,20,Z3
DATA,16229,17.39,2.61,13.0%,OPEN_SLOW,20,Z3
DATA,16487,17.34,2.66,13.3%,OPEN_SLOW,20,Z3
DATA,16746,17.37,2.63,13.1%,OPEN_SLOW,20,Z3
                                                                _SLOW,20,Z3
DATA,17262,17.92,2.08,10.4%,OPEN_SLOW,20,Z3
DATA,17520,17.94,2.06,10.3%,OPEN_SLOW,20,Z3
DATA,17779,17.89,2.11,10.5%,OPEN_SLOW,20,Z3
DATA,18037,17.88,2.12,10.6%,OPEN_SLOW,20,Z3
DATA,18295,17.94,2.06,10.3%,OPEN_SLOW,20,Z3
DATA,18553,17.92,2.08,10.4%,OPEN_SLOW,20,Z3
DATA,18812,17.89,2.11,10.5%,OPEN_SLOW,20,Z3
DATA,19070,17.97,2.03,10.2%,OPEN_SLOW,20,Z3
DATA,19328,17.94,2.06,10.3%,OPEN_SLOW,20,Z3
DATA,19586,18.00,2.00,10.0%,OPEN_SLOW,20,Z3
DATA,19845,17.97,2.03,10.2%,OPEN_SLOW,20,Z3
DATA,20103,17.98,2.02,10.1%,OPEN_SLOW,20,Z3
DATA,20361,18.00,2.00,10.0%,OPEN_SLOW,20,Z3
DATA,20619,17.95,2.05,10.3%,OPEN_SLOW,20,Z3
DATA,20878,17.81,2.19,11.0%,OPEN_SLOW,20,Z3
DATA,21136,17.83,2.17,10.9%,OPEN_SLOW,20,Z3
DATA,21394,17.99,2.01,10.0%,OPEN_SLOW,20,Z3
DATA,21652,17.71,2.29,11.4%,OPEN_SLOW,20,Z3
DATA,21911,18.03,1.97,9.9%,OPEN_SLOW,20,Z3
DATA,22169,18.05,1.95,9.7%,OPEN_SLOW,20,Z3
DATA,22427,18.05,1.95,9.8%,OPEN_SLOW,20,Z3
DATA,22685,18.06,1.94,9.7%,OPEN_SLOW,20,Z3
DATA,22944,18.05,1.95,9.7%,OPEN_SLOW,20,Z3
DATA,23202,17.98,2.02,10.1%,OPEN_SLOW,20,Z3
DATA,23460,18.19,1.81,9.1%,OPEN_SLOW,20,Z3
DATA,23718,18.03,1.97,9.9%,OPEN_SLOW,20,Z3
DATA,23977,18.11,1.89,9.5%,OPEN_SLOW,20,Z3
DATA,24235,18.05,1.95,9.7%,OPEN_SLOW,20,Z3
DATA,24493,18.12,1.88,9.4%,OPEN_SLOW,20,Z3
DATA,24751,18.26,1.74,8.7%,OPEN_SLOW,20,Z3
DATA,25010,18.03,1.97,9.9%,OPEN_SLOW,20,Z3
DATA,25268,18.01,1.99,10.0%,OPEN_SLOW,20,Z3
DATA,25526,18.19,1.81,9.1%,OPEN_SLOW,20,Z3
DATA,25784,18.40,1.60,8.0%,OPEN_SLOW,20,Z3
DATA,26043,18.09,1.91,9.6%,OPEN_SLOW,20,Z3
DATA,26301,18.02,1.98,9.9%,OPEN_SLOW,20,Z3
DATA,26559,18.28,1.72,8.6%,OPEN_SLOW,20,Z3
DATA,26817,18.29,1.71,8.6%,OPEN_SLOW,20,Z3
DATA,27076,18.26,1.74,8.7%,OPEN_SLOW,20,Z3
DATA,27334,18.15,1.85,9.2%,OPEN_SLOW,20,Z3
DATA,27592,18.18,1.82,9.1%,OPEN_SLOW,20,Z3
DATA,27850,18.11,1.89,9.4%,OPEN_SLOW,20,Z3
DATA,28109,18.01,1.99,10.0%,OPEN_SLOW,20,Z3
DATA,28367,18.09,1.91,9.6%,OPEN_SLOW,20,Z3
DATA,28625,18.16,1.84,9.2%,OPEN_SLOW,20,Z3
DATA,28883,18.15,1.85,9.3%,OPEN_SLOW,20,Z3
DATA,29142,18.12,1.88,9.4%,OPEN_SLOW,20,Z3
DATA,29400,18.08,1.92,9.6%,OPEN_SLOW,20,Z3
DATA,29658,18.05,1.95,9.8%,OPEN_SLOW,20,Z3
DATA,29916,18.14,1.86,9.3%,OPEN_SLOW,20,Z3
DATA,30175,18.20,1.80,9.0%,OPEN_SLOW,20,Z3
DATA,30433,18.18,1.82,9.1%,OPEN_SLOW,20,Z3
DATA,30691,18.13,1.87,9.4%,OPEN_SLOW,20,Z3
DATA,30950,18.11,1.89,9.5%,OPEN_SLOW,20,Z3
DATA,31208,18.16,1.84,9.2%,OPEN_SLOW,20,Z3
DATA,31466,18.38,1.62,8.1%,OPEN_SLOW,20,Z3
DATA,31724,18.56,1.44,7.2%,OPEN_SLOW,20,Z3
DATA,31982,18.57,1.43,7.1%,OPEN_SLOW,20,Z3
DATA,32241,18.55,1.45,7.2%,OPEN_SLOW,20,Z3
DATA,32499,18.51,1.49,7.4%,OPEN_SLOW,20,Z3
DATA,32757,18.55,1.45,7.3%,OPEN_SLOW,20,Z3
DATA,33016,18.53,1.47,7.3%,OPEN_SLOW,20,Z3
DATA,33274,18.59,1.41,7.1%,OPEN_SLOW,20,Z3
DATA,33532,18.64,1.36,6.8%,OPEN_SLOW,20,Z3
DATA,33790,18.70,1.30,6.5%,OPEN_SLOW,20,Z3
DATA,34049,18.69,1.31,6.5%,OPEN_SLOW,20,Z3
DATA,34307,18.71,1.29,6.5%,OPEN_SLOW,20,Z3
DATA,34565,18.69,1.31,6.6%,OPEN_SLOW,20,Z3
DATA,34823,18.68,1.32,6.6%,OPEN_SLOW,20,Z3
