======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 20.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 19.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 4
Setpoint_g: 20.00
EarlyStop_g: 0.40
StopTarget_g: 19.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.07,19.93,99.6%,OPEN_SLOW,20,Z1
DATA,217,0.04,19.96,99.8%,OPEN_SLOW,20,Z1
DATA,476,0.00,20.00,100.0%,OPEN_SLOW,20,Z1
DATA,734,0.00,20.00,100.0%,OPEN_SLOW,20,Z1
DATA,992,0.00,20.00,100.0%,OPEN_SLOW,20,Z1
DATA,1251,0.00,20.00,100.0%,OPEN_SLOW,20,Z1
DATA,1509,0.00,20.00,100.0%,OPEN_SLOW,20,Z1
DATA,1767,0.00,20.00,100.0%,OPEN_SLOW,20,Z1
DATA,2025,0.05,19.95,99.8%,OPEN_SLOW,20,Z1
DATA,2284,0.09,19.91,99.5%,OPEN_SLOW,20,Z1
DATA,2542,1.15,18.85,94.3%,OPEN_SLOW,20,Z1
DATA,2800,1.18,18.82,94.1%,OPEN_SLOW,20,Z1
DATA,3059,1.30,18.70,93.5%,OPEN_SLOW,20,Z1
DATA,3317,1.32,18.68,93.4%,OPEN_SLOW,20,Z1
DATA,3575,1.17,18.83,94.2%,OPEN_SLOW,20,Z1
DATA,3833,1.22,18.78,93.9%,OPEN_SLOW,20,Z1
DATA,4092,1.17,18.83,94.2%,OPEN_SLOW,20,Z1
DATA,4350,1.07,18.93,94.7%,OPEN_SLOW,20,Z1
DATA,4608,1.20,18.80,94.0%,OPEN_SLOW,20,Z1
DATA,4866,1.25,18.75,93.7%,OPEN_SLOW,20,Z1
DATA,5125,1.29,18.71,93.6%,OPEN_SLOW,20,Z1
DATA,5383,1.35,18.65,93.2%,OPEN_SLOW,20,Z1
DATA,5641,1.28,18.72,93.6%,OPEN_SLOW,20,Z1
DATA,5900,1.23,18.77,93.8%,OPEN_SLOW,20,Z1
BRIDGING #1 @1.29g hammer
DATA,6158,1.29,18.71,93.6%,OPEN_SLOW,20,Z1
DATA,6416,1.28,18.72,93.6%,OPEN_SLOW,20,Z1
DATA,6674,1.29,18.71,93.6%,OPEN_SLOW,20,Z1
DATA,6933,1.30,18.70,93.5%,OPEN_SLOW,20,Z1
DATA,7191,2.15,17.85,89.3%,OPEN_SLOW,20,Z1
DATA,7449,5.98,14.02,70.1%,OPEN_SLOW,20,Z1
DATA,7707,7.56,12.44,62.2%,OPEN_SLOW,20,Z1
DATA,7966,7.25,12.75,63.7%,OPEN_SLOW,20,Z1
DATA,8224,7.30,12.70,63.5%,OPEN_SLOW,20,Z1
DATA,8482,7.30,12.70,63.5%,OPEN_SLOW,20,Z1
DATA,8740,7.27,12.73,63.6%,OPEN_SLOW,20,Z1
DATA,8998,7.54,12.46,62.3%,OPEN_SLOW,20,Z1
DATA,9257,7.81,12.19,61.0%,OPEN_SLOW,20,Z1
DATA,9515,7.84,12.16,60.8%,OPEN_SLOW,20,Z1
DATA,9773,7.80,12.20,61.0%,OPEN_SLOW,20,Z1
DATA,10032,7.83,12.17,60.8%,OPEN_SLOW,20,Z1
DATA,10290,7.84,12.16,60.8%,OPEN_SLOW,20,Z1
DATA,10548,7.84,12.16,60.8%,OPEN_SLOW,20,Z1
DATA,10806,7.94,12.06,60.3%,OPEN_SLOW,20,Z1
DATA,11065,8.28,11.72,58.6%,OPEN_SLOW,20,Z1
DATA,11323,8.21,11.79,59.0%,OPEN_SLOW,20,Z1
DATA,11581,8.23,11.77,58.9%,OPEN_SLOW,20,Z1
DATA,11839,8.22,11.78,58.9%,OPEN_SLOW,20,Z1
DATA,12098,8.24,11.76,58.8%,OPEN_SLOW,20,Z1
BRIDGING #2 @8.24g hammer
DATA,12356,8.24,11.76,58.8%,OPEN_SLOW,20,Z1
DATA,12615,8.25,11.75,58.7%,OPEN_SLOW,20,Z1
DATA,12872,8.44,11.56,57.8%,OPEN_SLOW,20,Z1
DATA,13131,8.47,11.53,57.7%,OPEN_SLOW,20,Z1
DATA,13389,10.53,9.47,47.4%,OPEN_SLOW,20,Z2
DATA,13647,12.16,7.84,39.2%,OPEN_SLOW,20,Z2
DATA,13905,12.06,7.94,39.7%,OPEN_SLOW,20,Z2
DATA,14164,12.08,7.92,39.6%,OPEN_SLOW,20,Z2
DATA,14422,12.07,7.93,39.7%,OPEN_SLOW,20,Z2
DATA,14680,12.05,7.95,39.7%,OPEN_SLOW,20,Z2
DATA,14938,12.04,7.96,39.8%,OPEN_SLOW,20,Z2
DATA,15196,12.06,7.94,39.7%,OPEN_SLOW,20,Z2
DATA,15455,12.07,7.93,39.7%,OPEN_SLOW,20,Z2
DATA,15713,12.06,7.94,39.7%,OPEN_SLOW,20,Z2
DATA,15971,12.05,7.95,39.8%,OPEN_SLOW,20,Z2
DATA,16230,12.04,7.96,39.8%,OPEN_SLOW,20,Z2
DATA,16488,12.05,7.95,39.8%,OPEN_SLOW,20,Z2
DATA,16746,12.05,7.95,39.7%,OPEN_SLOW,20,Z2
DATA,17004,12.06,7.94,39.7%,OPEN_SLOW,20,Z2
DATA,17263,12.06,7.94,39.7%,OPEN_SLOW,20,Z2
DATA,17521,12.11,7.89,39.4%,OPEN_SLOW,20,Z2
DATA,17779,12.16,7.84,39.2%,OPEN_SLOW,20,Z2
DATA,18037,12.16,7.84,39.2%,OPEN_SLOW,20,Z2
DATA,18296,12.16,7.84,39.2%,OPEN_SLOW,20,Z2
BRIDGING #3 @12.15g hammer
DATA,18554,12.15,7.85,39.2%,OPEN_SLOW,20,Z2
DATA,18812,12.15,7.85,39.2%,OPEN_SLOW,20,Z2
DATA,19070,12.11,7.89,39.5%,OPEN_SLOW,20,Z2
DATA,19329,12.13,7.87,39.3%,OPEN_SLOW,20,Z2
DATA,19587,12.26,7.74,38.7%,OPEN_SLOW,20,Z2
DATA,19845,12.73,7.27,36.3%,OPEN_SLOW,20,Z2
DATA,20103,12.75,7.25,36.3%,OPEN_SLOW,20,Z2
DATA,20361,12.85,7.15,35.7%,OPEN_SLOW,20,Z2
DATA,20620,12.99,7.01,35.1%,OPEN_SLOW,20,Z2
DATA,20878,13.07,6.93,34.6%,OPEN_SLOW,20,Z2
DATA,21136,13.01,6.99,35.0%,OPEN_SLOW,20,Z2
DATA,21394,13.01,6.99,35.0%,OPEN_SLOW,20,Z2
DATA,21653,12.98,7.02,35.1%,OPEN_SLOW,20,Z2
DATA,21911,13.14,6.86,34.3%,OPEN_SLOW,20,Z2
DATA,22169,13.00,7.00,35.0%,OPEN_SLOW,20,Z2
DATA,22427,13.03,6.97,34.9%,OPEN_SLOW,20,Z2
DATA,22686,12.97,7.03,35.2%,OPEN_SLOW,20,Z2
DATA,22944,12.95,7.05,35.3%,OPEN_SLOW,20,Z2
DATA,23202,13.43,6.57,32.8%,OPEN_SLOW,20,Z2
DATA,23461,13.80,6.20,31.0%,OPEN_SLOW,20,Z2
DATA,23719,14.01,5.99,30.0%,OPEN_SLOW,20,Z2
DATA,23977,13.95,6.05,30.3%,OPEN_SLOW,20,Z2
DATA,24235,13.94,6.06,30.3%,OPEN_SLOW,20,Z2
DATA,24494,13.86,6.14,30.7%,OPEN_SLOW,20,Z2
DATA,24752,13.77,6.23,31.2%,OPEN_SLOW,20,Z2
DATA,25010,13.82,6.18,30.9%,OPEN_SLOW,20,Z2
DATA,25268,14.49,5.51,27.5%,OPEN_SLOW,20,Z2
DATA,25527,14.81,5.19,25.9%,OPEN_SLOW,20,Z2
DATA,25785,14.83,5.17,25.9%,OPEN_SLOW,20,Z2
DATA,26043,14.89,5.11,25.5%,OPEN_SLOW,20,Z2
DATA,26301,14.79,5.21,26.1%,OPEN_SLOW,20,Z2
DATA,26560,14.79,5.21,26.1%,OPEN_SLOW,20,Z2
DATA,26818,14.76,5.24,26.2%,OPEN_SLOW,20,Z2
DATA,27076,14.79,5.21,26.1%,OPEN_SLOW,20,Z2
DATA,27335,15.32,4.68,23.4%,OPEN_SLOW,20,Z2
DATA,27593,15.36,4.64,23.2%,OPEN_SLOW,20,Z2
DATA,27851,15.39,4.61,23.0%,OPEN_SLOW,20,Z2
DATA,28109,15.37,4.63,23.1%,OPEN_SLOW,20,Z2
DATA,28368,15.32,4.68,23.4%,OPEN_SLOW,20,Z2
DATA,28626,15.33,4.67,23.3%,OPEN_SLOW,20,Z2
DATA,28884,15.30,4.70,23.5%,OPEN_SLOW,20,Z2
DATA,29143,15.34,4.66,23.3%,OPEN_SLOW,20,Z2
DATA,29401,15.75,4.25,21.3%,OPEN_SLOW,20,Z2
DATA,29659,16.54,3.46,17.3%,OPEN_SLOW,20,Z2
DATA,29917,16.56,3.44,17.2%,OPEN_SLOW,20,Z2
DATA,30176,16.57,3.43,17.1%,OPEN_SLOW,20,Z2
DATA,30434,16.57,3.43,17.1%,OPEN_SLOW,20,Z2
DATA,30692,16.50,3.50,17.5%,OPEN_SLOW,20,Z2
DATA,30950,16.56,3.44,17.2%,OPEN_SLOW,20,Z2
DATA,31209,16.60,3.40,17.0%,OPEN_SLOW,20,Z2
DATA,31467,16.65,3.35,16.7%,OPEN_SLOW,20,Z2
DATA,31725,16.63,3.37,16.9%,OPEN_SLOW,20,Z2
DATA,31983,16.67,3.33,16.7%,OPEN_SLOW,20,Z2
DATA,32242,16.67,3.33,16.7%,OPEN_SLOW,20,Z2
DATA,32500,16.64,3.36,16.8%,OPEN_SLOW,20,Z2
DATA,32758,16.63,3.37,16.8%,OPEN_SLOW,20,Z2
DATA,33017,16.67,3.33,16.7%,OPEN_SLOW,20,Z2
DATA,33275,16.66,3.34,16.7%,OPEN_SLOW,20,Z2
DATA,33533,16.67,3.33,16.7%,OPEN_SLOW,20,Z2
DATA,33791,16.70,3.30,16.5%,OPEN_SLOW,20,Z2
BRIDGING #4 @16.74g hammer
DATA,34050,16.74,3.26,16.3%,OPEN_SLOW,20,Z2
DATA,34308,16.71,3.29,16.4%,OPEN_SLOW,20,Z2
DATA,34566,16.73,3.27,16.4%,OPEN_SLOW,20,Z2
DATA,34824,16.73,3.27,16.3%,OPEN_SLOW,20,Z2
DATA,35083,17.62,2.38,11.9%,OPEN_SLOW,20,Z3
DATA,35341,18.33,1.67,8.3%,OPEN_SLOW,20,Z3
DATA,35599,18.22,1.78,8.9%,OPEN_SLOW,20,Z3
DATA,35857,18.26,1.74,8.7%,OPEN_SLOW,20,Z3
DATA,36116,18.24,1.76,8.8%,OPEN_SLOW,20,Z3
DATA,36374,18.28,1.72,8.6%,OPEN_SLOW,20,Z3
DATA,36632,18.22,1.78,8.9%,OPEN_SLOW,20,Z3
DATA,36890,18.24,1.76,8.8%,OPEN_SLOW,20,Z3
DATA,37149,18.48,1.52,7.6%,OPEN_SLOW,20,Z3
DATA,37407,18.51,1.49,7.4%,OPEN_SLOW,20,Z3
