======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 20.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 19.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 7
Setpoint_g: 20.00
EarlyStop_g: 0.40
StopTarget_g: 19.60
Servo_deg: 20
DtaFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.00,20.00,100.0%,OPEN_SLOW,20,Z1
DATA,218,0.00,20.00,100.0%,OPEN_SLOW,20,Z1
DATA,476,0.07,19.93,99.6%,OPEN_SLOW,20,Z1
DATA,734,0.03,19.97,99.8%,OPEN_SLOW,20,Z1
DATA,993,0.03,19.97,99.9%,OPEN_SLOW,20,Z1
DATA,1251,0.07,19.93,99.7%,OPEN_SLOW,20,Z1
DATA,1509,0.01,19.99,99.9%,OPEN_SLOW,20,Z1
DATA,1767,0.00,20.00,100.0%,OPEN_SLOW,20,Z1
DATA,2026,0.03,19.97,99.9%,OPEN_SLOW,20,Z1
DATA,2284,0.10,19.90,99.5%,OPEN_SLOW,20,Z1
DATA,2542,1.39,18.61,93.1%,OPEN_SLOW,20,Z1
DATA,2800,1.53,18.47,92.3%,OPEN_SLOW,20,Z1
DATA,3059,1.52,18.48,92.4%,OPEN_SLOW,20,Z1
DATA,3317,1.53,18.47,92.4%,OPEN_SLOW,20,Z1
DATA,3575,1.49,18.51,92.5%,OPEN_SLOW,20,Z1
DATA,3833,1.48,18.52,92.6%,OPEN_SLOW,20,Z1
DATA,4092,1.50,18.50,92.5%,OPEN_SLOW,20,Z1
DATA,4350,1.53,18.47,92.4%,OPEN_SLOW,20,Z1
DATA,4608,2.17,17.83,89.1%,OPEN_SLOW,20,Z1
DATA,4866,2.95,17.05,85.3%,OPEN_SLOW,20,Z1
DATA,5125,3.14,16.86,84.3%,OPEN_SLOW,20,Z1
DATA,5383,3.14,16.86,84.3%,OPEN_SLOW,20,Z1
DATA,5641,3.13,16.87,84.3%,OPEN_SLOW,20,Z1
DATA,5899,3.09,16.91,84.5%,OPEN_SLOW,20,Z1
DATA,6158,3.11,16.89,84.5%,OPEN_SLOW,20,Z1
DATA,6416,3.14,16.86,84.3%,OPEN_SLOW,20,Z1
DATA,6674,3.68,16.32,81.6%,OPEN_SLOW,20,Z1
DATA,6932,3.74,16.26,81.3%,OPEN_SLOW,20,Z1
DATA,7191,3.75,16.25,81.3%,OPEN_SLOW,20,Z1
DATA,7449,3.75,16.25,81.3%,OPEN_SLOW,20,Z1
DATA,7707,3.75,16.25,81.2%,OPEN_SLOW,20,Z1
DATA,7965,3.75,16.25,81.2%,OPEN_SLOW,20,Z1
DATA,8224,3.76,16.24,81.2%,OPEN_SLOW,20,Z1
DATA,8482,3.76,16.24,81.2%,OPEN_SLOW,20,Z1
DATA,8740,4.09,15.91,79.5%,OPEN_SLOW,20,Z1
DATA,8998,5.03,14.97,74.9%,OPEN_SLOW,20,Z1
DATA,9257,4.96,15.04,75.2%,OPEN_SLOW,20,Z1
DATA,9515,4.93,15.07,75.4%,OPEN_SLOW,20,Z1
DATA,9773,4.95,15.05,75.2%,OPEN_SLOW,20,Z1
DATA,10031,4.91,15.09,75.4%,OPEN_SLOW,20,Z1
DATA,10290,4.94,15.06,75.3%,OPEN_SLOW,20,Z1
DATA,10548,4.93,15.07,75.3%,OPEN_SLOW,20,Z1
DATA,10806,5.20,14.80,74.0%,OPEN_SLOW,20,Z1
DATA,11064,5.40,14.60,73.0%,OPEN_SLOW,20,Z1
DATA,11323,5.39,14.61,73.1%,OPEN_SLOW,20,Z1
DATA,11581,5.36,14.64,73.2%,OPEN_SLOW,20,Z1
DATA,11839,5.35,14.65,73.3%,OPEN_SLOW,20,Z1
DATA,12097,5.17,14.83,74.1%,OPEN_SLOW,20,Z1
BRIDGING #1 @5.36g hammer
DATA,12356,5.36,14.64,73.2%,OPEN_SLOW,20,Z1
DATA,12614,5.61,14.39,72.0%,OPEN_SLOW,20,Z1
DATA,12872,5.68,14.32,71.6%,OPEN_SLOW,20,Z1
DATA,13130,5.72,14.28,71.4%,OPEN_SLOW,20,Z1
DATA,13388,6.71,13.29,66.5%,OPEN_SLOW,20,Z1
DATA,13647,8.05,11.95,59.8%,OPEN_SLOW,20,Z1
DATA,13905,7.97,12.03,60.2%,OPEN_SLOW,20,Z1
DATA,14163,8.10,11.90,59.5%,OPEN_SLOW,20,Z1
DATA,14421,8.15,11.85,59.3%,OPEN_SLOW,20,Z1
DATA,14680,8.03,11.97,59.9%,OPEN_SLOW,20,Z1
DATA,14938,7.96,12.04,60.2%,OPEN_SLOW,20,Z1
DATA,15196,8.12,11.88,59.4%,OPEN_SLOW,20,Z1
DATA,15454,8.11,11.89,59.4%,OPEN_SLOW,20,Z1
DATA,15713,8.22,11.78,58.9%,OPEN_SLOW,20,Z1
DATA,15971,8.17,11.83,59.2%,OPEN_SLOW,20,Z1
DATA,16229,8.06,11.94,59.7%,OPEN_SLOW,20,Z1
DATA,16487,8.07,11.93,59.7%,OPEN_SLOW,20,Z1
DATA,16746,8.06,11.94,59.7%,OPEN_SLOW,20,Z1
DATA,17004,8.02,11.98,59.9%,OPEN_SLOW,20,Z1
DATA,17262,8.20,11.80,59.0%,OPEN_SLOW,20,Z1
DATA,17520,8.18,11.82,59.1%,OPEN_SLOW,20,Z1
DATA,17779,8.13,11.87,59.3%,OPEN_SLOW,20,Z1
DATA,18037,8.20,11.80,59.0%,OPEN_SLOW,20,Z1
DATA,18295,8.18,11.82,59.1%,OPEN_SLOW,20,Z1
BRIDGING #2 @8.26g hammer
DATA,18554,8.26,11.74,58.7%,OPEN_SLOW,20,Z1
DATA,18812,8.17,11.83,59.1%,OPEN_SLOW,20,Z1
DATA,19070,8.16,11.84,59.2%,OPEN_SLOW,20,Z1
DATA,19328,8.16,11.84,59.2%,OPEN_SLOW,20,Z1
DATA,19586,8.33,11.67,58.4%,OPEN_SLOW,20,Z1
DATA,19844,8.89,11.11,55.5%,OPEN_SLOW,20,Z1
DATA,20103,8.87,11.13,55.7%,OPEN_SLOW,20,Z1
DATA,20361,8.83,11.17,55.9%,OPEN_SLOW,20,Z1
DATA,20619,8.83,11.17,55.9%,OPEN_SLOW,20,Z1
DATA,20877,8.80,11.20,56.0%,OPEN_SLOW,20,Z1
DATA,21136,8.82,11.18,55.9%,OPEN_SLOW,20,Z1
DATA,21394,9.18,10.82,54.1%,OPEN_SLOW,20,Z1
DATA,21652,9.24,10.76,53.8%,OPEN_SLOW,20,Z1
DATA,21910,9.25,10.75,53.8%,OPEN_SLOW,20,Z1
DATA,22169,9.23,10.77,53.9%,OPEN_SLOW,20,Z1
DATA,22427,9.24,10.76,53.8%,OPEN_SLOW,20,Z1
DATA,22685,9.22,10.78,53.9%,OPEN_SLOW,20,Z1
DATA,22943,9.23,10.77,53.8%,OPEN_SLOW,20,Z1
DATA,23202,9.20,10.80,54.0%,OPEN_SLOW,20,Z1
DATA,23460,9.25,10.75,53.7%,OPEN_SLOW,20,Z1
DATA,23718,9.23,10.77,53.8%,OPEN_SLOW,20,Z1
DATA,23976,9.24,10.76,53.8%,OPEN_SLOW,20,Z1
DATA,24235,9.23,10.77,53.9%,OPEN_SLOW,20,Z1
DATA,24493,9.26,10.74,53.7%,OPEN_SLOW,20,Z1
BRIDGING #3 @9.21g hammer
DATA,24751,9.21,10.79,53.9%,OPEN_SLOW,20,Z1
DATA,25010,9.24,10.76,53.8%,OPEN_SLOW,20,Z1
DATA,25268,9.26,10.74,53.7%,OPEN_SLOW,20,Z1
DATA,25526,9.26,10.74,53.7%,OPEN_SLOW,20,Z1
DATA,25784,9.46,10.54,52.7%,OPEN_SLOW,20,Z1
DATA,26042,9.60,10.40,52.0%,OPEN_SLOW,20,Z1
DATA,26301,9.55,10.45,52.2%,OPEN_SLOW,20,Z1
DATA,26559,9.58,10.42,52.1%,OPEN_SLOW,20,Z1
DATA,26817,9.59,10.41,52.0%,OPEN_SLOW,20,Z1
DATA,27075,9.60,10.40,52.0%,OPEN_SLOW,20,Z1
DATA,27334,9.60,10.40,52.0%,OPEN_SLOW,20,Z1
DATA,27592,9.60,10.40,52.0%,OPEN_SLOW,20,Z1
BRIDGING #4 @9.55g hammer
DATA,27850,9.55,10.45,52.2%,OPEN_SLOW,20,Z1
DATA,28108,9.58,10.42,52.1%,OPEN_SLOW,20,Z1
DATA,28366,9.56,10.44,52.2%,OPEN_SLOW,20,Z1
DATA,28625,9.59,10.41,52.0%,OPEN_SLOW,20,Z1
DATA,28883,9.58,10.42,52.1%,OPEN_SLOW,20,Z1
DATA,29141,9.59,10.41,52.0%,OPEN_SLOW,20,Z1
DATA,29399,9.59,10.41,52.0%,OPEN_SLOW,20,Z1
DATA,29657,9.62,10.38,51.9%,OPEN_SLOW,20,Z1
DATA,29916,9.60,10.40,52.0%,OPEN_SLOW,20,Z1
DATA,30174,9.66,10.34,51.7%,OPEN_SLOW,20,Z1
DATA,30432,9.63,10.37,51.9%,OPEN_SLOW,20,Z1
DATA,30690,9.56,10.44,52.2%,OPEN_SLOW,20,Z1
BRIDGING #5 @9.61g hammer
DATA,30949,9.61,10.39,51.9%,OPEN_SLOW,20,Z1
DATA,31207,9.60,10.40,52.0%,OPEN_SLOW,20,Z1
DATA,31465,9.62,10.38,51.9%,OPEN_SLOW,20,Z1
DATA,31723,9.60,10.40,52.0%,OPEN_SLOW,20,Z1
DATA,31981,10.19,9.81,49.0%,OPEN_SLOW,20,Z2
DATA,32240,10.60,9.40,47.0%,OPEN_SLOW,20,Z2
DATA,32498,10.56,9.44,47.2%,OPEN_SLOW,20,Z2
DATA,32756,10.42,9.58,47.9%,OPEN_SLOW,20,Z2
DATA,33014,10.61,9.39,46.9%,OPEN_SLOW,20,Z2
DATA,33273,10.86,9.14,45.7%,OPEN_SLOW,20,Z2
DATA,33531,10.60,9.40,47.0%,OPEN_SLOW,20,Z2
DATA,33789,11.24,8.76,43.8%,OPEN_SLOW,20,Z2
DATA,34047,11.21,8.79,44.0%,OPEN_SLOW,20,Z2
