======== PARAMETER AKTIF ========
Setpoint    : 30.0g
- Zona 1 Besar (eNorm >50%) -
  Kp1=1.65  Ki1=3.088  Kd1=0.279
- Zona 2 Sedang (15-50%) -
  Kp2=2.30  Ki2=0.753  Kd2=0.563
- Zona 3 Kecil (<=15%) -
  Kp3=2.50  Ki3=0.181  Kd3=0.030
- Sistem -
  SUDUT_MIN : 20deg
  SUDUT_BUKA: 40deg
  EARLY_STOP: SP - 0.40g
  STOP saat : 29.60g
  HAMMER_TH : error > 3.0g
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Gain Scheduling PID
TrialNo: 2
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Z1_Rule: eNorm_gt_50
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Rule: 15_lt_eNorm_le_50
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Rule: eNorm_le_15_or_abs_error_le_2g
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,flow_gps,bridging_count
=== DATA START ===
>> GANTI ZONA: 0 -> 1 @0.00g
DATA,100,0.00,30.00,100.0,100.0,40,Z1,3.000,300.000,0.00,0
DATA,218,0.00,30.00,100.0,68.0,33,Z1,6.000,0.000,0.00,0
DATA,475,1.25,28.75,95.8,71.3,34,Z1,8.875,-12.519,12.52,0
DATA,733,3.31,26.69,89.0,74.0,34,Z1,11.544,-20.533,20.53,0
DATA,992,3.58,26.42,88.1,86.6,37,Z1,14.186,-2.782,2.78,0
DATA,1250,3.52,26.48,88.3,90.2,37,Z1,15.000,0.658,0.00,0
DATA,1508,3.51,26.49,88.3,90.1,37,Z1,15.000,0.093,0.00,0
DATA,1766,3.59,26.41,88.0,89.7,37,Z1,15.000,-0.836,0.84,0
DATA,2024,3.56,26.44,88.1,90.0,37,Z1,15.000,0.329,0.00,0
DATA,2282,3.51,26.49,88.3,90.2,37,Z1,15.000,0.459,0.00,0
DATA,2540,5.29,24.71,82.4,82.1,36,Z1,15.000,-17.791,17.79,0
DATA,2798,6.26,23.74,79.1,82.8,36,Z1,15.000,-9.634,9.63,0
DATA,3057,6.17,23.83,79.4,85.9,36,Z1,15.000,0.847,0.00,0
DATA,3315,6.21,23.79,79.3,85.4,36,Z1,15.000,-0.426,0.43,0
DATA,3573,6.20,23.80,79.3,85.6,36,Z1,15.000,0.166,0.00,0
DATA,3831,6.21,23.79,79.3,85.5,36,Z1,15.000,-0.163,0.16,0
DATA,4089,6.22,23.78,79.3,85.5,36,Z1,15.000,-0.107,0.11,0
DATA,4347,6.19,23.81,79.4,85.7,36,Z1,15.000,0.366,0.00,0
DATA,4605,6.78,23.22,77.4,83.0,36,Z1,15.000,-5.938,5.94,0
DATA,4864,8.31,21.69,72.3,77.8,35,Z1,15.000,-15.331,15.33,0
DATA,5122,8.09,21.91,73.0,83.1,36,Z1,15.000,2.279,0.00,0
DATA,5380,8.14,21.86,72.9,82.2,36,Z1,15.000,-0.540,0.54,0
DATA,5638,8.14,21.86,72.9,82.4,36,Z1,15.000,0.000,0.00,0
DATA,5896,8.14,21.86,72.9,82.4,36,Z1,15.000,0.000,0.00,0
DATA,6154,8.21,21.79,72.6,82.1,36,Z1,15.000,-0.677,0.68,0
DATA,6412,8.23,21.77,72.6,82.2,36,Z1,15.000,-0.237,0.24,0
DATA,6670,10.12,19.88,66.3,73.8,34,Z1,15.000,-18.923,18.92,0
DATA,6929,10.63,19.37,64.6,76.9,35,Z1,15.000,-5.046,5.05,0
DATA,7187,10.74,19.26,64.2,77.8,35,Z1,15.000,-1.110,1.11,0
DATA,7445,10.68,19.32,64.4,78.4,35,Z1,15.000,0.581,0.00,0
DATA,7703,10.86,19.14,63.8,77.4,35,Z1,15.000,-1.816,1.82,0
DATA,7961,10.50,19.50,65.0,79.5,35,Z1,15.000,3.677,0.00,0
DATA,8219,10.83,19.17,63.9,77.0,35,Z1,15.000,-3.341,3.34,0
DATA,8477,10.74,19.26,64.2,78.4,35,Z1,15.000,0.936,0.00,0
DATA,8735,13.01,16.99,56.6,68.0,33,Z1,15.000,-22.715,22.72,0
>> GANTI ZONA: 1 -> 2 @18.44g
DATA,8994,18.44,1.5,85,0.00,Z2,1.156,-54.332,54.33,0
DATA,9252,18.69,11.31,37.7,26.3,25,Z2,2.287,-2.501,2.50,0
DATA,9510,18.97,11.03,36.8,26.4,25,Z2,3.390,-2.786,2.79,0
DATA,9768,19.08,10.92,36.4,27.9,25,Z2,4.482,-1.106,1.11,0
DATA,10026,19.04,10.96,36.5,29.6,25,Z2,5.578,0.355,0.00,0
DATA,10284,19.07,10.93,36.4,30.0,25,Z2,6.670,-0.259,0.26,0
DATA,10542,19.08,10.92,36.4,30.9,25,Z2,7.762,-0.100,0.10,0
DATA,10800,19.67,10.33,34.4,27.1,25,Z2,8.795,-5.901,5.90,0
DATA,11058,20.61,9.39,31.3,23.6,24,Z2,9.735,-9.386,9.39,0
DATA,11316,20.53,9.47,31.6,30.3,25,Z2,10.682,0.795,0.00,0
DATA,11575,20.59,9.41,31.4,30.1,25,Z2,11.623,-0.562,0.56,0
DATA,11833,20.56,9.44,31.5,31.3,26,Z2,12.567,0.244,0.00,0
DATA,12091,20.59,9.41,31.4,31.6,26,Z2,13.508,-0.307,0.31,0
DATA,12349,20.55,9.45,31.5,32.8,26,Z2,14.453,0.411,0.00,0
DATA,12607,20.55,9.45,31.5,33.3,26,Z2,15.398,0.022,0.00,0
DATA,12865,20.61,9.39,31.3,33.6,26,Z2,16.337,-0.577,0.58,0
DATA,13123,20.73,9.27,30.9,33.6,26,Z2,17.264,-1.228,1.23,0
DATA,13382,20.83,9.17,30.6,34.2,26,Z2,18.181,-1.025,1.02,0
DATA,13640,20.87,9.13,30.4,35.2,26,Z2,19.094,-0.366,0.37,0
DATA,13898,20.76,9.24,30.8,36.9,27,Z2,20.018,1.043,0.00,0
DATA,14156,20.88,9.12,30.4,36.1,27,Z2,20.930,-1.121,1.12,0
DATA,14414,20.94,9.06,30.2,36.9,27,Z2,21.836,-0.610,0.61,0
DATA,14672,20.94,9.06,30.2,37.9,27,Z2,22.742,-0.056,0.06,0
DATA,14930,21.43,8.57,28.6,34.8,26,Z2,23.600,-4.839,4.84,0
DATA,15188,21.13,8.87,29.6,40.5,27,Z2,24.487,3.008,0.00,0
BRIDGING #1 @20.97g Z2 hammer
DATA,15447,20.97,9.03,30.1,40.8,27,Z2,25.390,1.598,0.00,1
DATA,15705,21.18,8.82,29.4,38.9,27,Z2,26.272,-2.138,2.14,1
DATA,15963,20.98,9.02,30.1,42.3,28,Z2,27.174,2.005,0.00,1
DATA,16221,21.06,8.94,29.8,41.2,28,Z2,28.068,-0.840,0.84,1
DATA,16479,22.04,7.96,26.5,34.5,26,Z2,28.864,-9.804,9.80,1
DATA,16737,25.31,4.69,15.6,14.5,22,Z2,29.332,-32.700,32.70,1
DATA,16995,25.38,4.62,15.4,32.7,26,Z2,29.794,-0.692,0.69,1
DATA,17253,25.31,4.69,15.6,33.7,26,Z2,30.000,0.681,0.00,1
DATA,17511,25.29,4.71,15.7,33.5,26,Z2,30.000,0.218,0.00,1
DATA,17770,25.34,4.66,15.5,33.1,26,Z2,30.000,-0.444,0.44,1
DATA,18028,25.42,4.58,15.3,32.6,26,Z2,30.000,-0.862,0.86,1
>> GANTI ZONA: 2 -> 3 @25.67g
DATA,18286,25.67,4.33,14.4,10.8,21,Z3,0.433,-2.505,2.50,1
DATA,18544,25.78,4.22,14.1,10.7,21,Z3,0.855,-1.047,1.05,1
DATA,18802,25.78,4.22,14.1,10.8,21,Z3,1.276,-0.044,0.04,1
DATA,19060,26.13,3.87,12.9,9.9,21,Z3,1.663,-3.485,3.49,1
DATA,19318,26.25,3.75,12.5,9.7,21,Z3,2.038,-1.232,1.23,1
DATA,19576,26.27,3.73,12.4,9.7,21,Z3,2.410,-0.185,0.19,1
DATA,19835,26.26,3.74,12.5,9.8,21,Z3,2.784,0.100,0.00,1
DATA,20093,26.29,3.71,12.4,9.9,21,Z3,3.155,-0.222,0.22,1
DATA,20351,26.24,3.76,12.5,10.0,21,Z3,3.531,0.437,0.00,1
DATA,20609,26.24,3.76,12.5,10.1,21,Z3,3.907,0.004,0.00,1
DATA,20867,26.25,3.75,12.5,10.1,21,Z3,4.282,-0.093,0.09,1
DATA,21125,26.49,3.51,11.7,9.5,21,Z3,4.633,-2.416,2.42,1
DATA,21384,26.56,3.44,11.5,9.5,21,Z3,4.977,-0.659,0.66,1
DATA,21642,26.55,3.45,11.5,9.6,21,Z3,5.322,0.118,0.00,1
DATA,21900,26.54,3.46,11.5,9.7,21,Z3,5.668,0.078,0.00,1
DATA,22158,26.56,3.44,11.5,9.7,21,Z3,6.013,-0.211,0.21,1
DATA,22416,26.52,3.48,11.6,9.9,21,Z3,6.361,0.414,0.00,1
DATA,22674,26.57,3.43,11.4,9.8,21,Z3,6.704,-0.477,0.48,1
DATA,22933,26.61,3.39,11.3,9.7,21,Z3,7.043,-0.485,0.48,1
DATA,23191,26.53,3.47,11.6,10.0,21,Z3,7.389,0.799,0.00,1
DATA,23449,26.65,3.35,11.2,9.7,21,Z3,7.724,-1.129,1.13,1
DATA,23707,26.57,3.43,11.4,10.1,21,Z3,8.068,0.785,0.00,1
DATA,23965,26.63,3.37,11.2,9.9,21,Z3,8.405,-0.596,0.60,1
DATA,24223,26.66,3.34,11.1,9.9,21,Z3,8.738,-0.355,0.36,1
DATA,24482,26.85,3.15,10.5,9.5,21,Z3,9.053,-1.876,1.88,1
BRIDGING #2 @26.91g Z3 hammer
DATA,24740,26.91,3.09,10.3,9.4,21,Z3,9.362,-0.558,0.56,2
DATA,24998,26.69,3.31,11.0,10.1,21,Z3,9.693,2.172,0.00,2
DATA,25256,26.44,3.56,11.9,10.8,21,Z3,10.050,2.534,0.00,2
DATA,25514,26.35,3.65,12.2,11.0,22,Z3,10.414,0.847,0.00,2
DATA,25772,27.72,2.28,7.6,7.2,21,Z3,10.642,-13.699,13.70,2
--------------------------------------------
STOP       : TARGET
Setpoint   : 30.0g
Massa akhir: 30.83g
Error akhir: 0.83g
Error%     : 2.8%
Durasi     : 27492ms
Bridging   : 2x
Zona hits  : Z1=35 Z2=36 Z3=30
STATUS     : AKURAT
