======== PARAMETER AKTIF ========
Setpoint    : 30.0g
- Zona 1 Besar (eNorm >50%) -
  Kp1=1.65  Ki1=3.088  Kd1=0.279
- Zona 2 Sedang (15-50%) -
  Kp2=2.30  Ki2=0.753  Kd2=0.563
- Zona 3 Kecil (<=15%) -
  Kp3=2.50  Ki3=0.181  Kd3=0.030
- Sistem -
  SUDUT_MIN : 20deg
  SUDUT_BUKA: 40deg
  EARLY_STOP: SP - 0.40g
  STOP saat : 29.60g
  HAMMER_TH : error > 3.0g
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Gain Scheduling PID
TrialNo: 1
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Z1_Rule: eNorm_gt_50
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Rule: 15_lt_eNorm_le_50
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Rule: eNorm_le_15_or_abs_error_le_2g
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,flow_gps,bridging_count
=== DATA START ===
>> GANTI ZONA: 0 -> 1 @0.00g
DATA,100,0.00,30.00,100.0,100.0,40,Z1,3.000,300.000,0.00,0
DATA,218,0.14,29.86,99.5,67.3,33,Z1,5.986,-1.436,1.44,0
DATA,475,1.36,28.64,95.5,71.2,34,Z1,8.850,-12.153,12.15,0
DATA,733,5.55,24.45,81.5,63.5,32,Z1,11.294,-41.953,41.95,0
DATA,992,7.60,22.40,74.7,73.0,34,Z1,13.534,-20.466,20.47,0
DATA,1250,7.54,22.46,74.9,83.5,36,Z1,15.000,0.607,0.00,0
DATA,1508,7.54,22.46,74.9,83.4,36,Z1,15.000,-0.037,0.04,0
DATA,1766,7.60,22.40,74.7,83.1,36,Z1,15.000,-0.522,0.52,0
DATA,2024,7.97,22.03,73.4,81.6,36,Z1,15.000,-3.755,3.76,0
DATA,2282,8.01,21.99,73.3,82.5,36,Z1,15.000,-0.392,0.39,0
DATA,2540,10.92,19.08,63.6,69.7,33,Z1,15.000,-29.049,29.05,0
DATA,2799,11.71,18.29,61.0,74.3,34,Z1,15.000,-7.906,7.91,0
DATA,3057,11.71,18.29,61.0,76.5,35,Z1,15.000,-0.070,0.07,0
DATA,3315,11.72,18.28,60.9,76.5,35,Z1,15.000,-0.085,0.09,0
DATA,3573,11.72,18.28,60.9,76.5,35,Z1,15.000,0.044,0.00,0
DATA,3831,11.73,18.27,60.9,76.4,35,Z1,15.000,-0.114,0.11,0
DATA,4089,11.74,18.26,60.9,76.4,35,Z1,15.000,-0.082,0.08,0
DATA,4347,11.83,18.17,60.6,76.1,35,Z1,15.000,-0.892,0.89,0
DATA,4605,12.73,17.27,57.6,72.3,34,Z1,15.000,-9.001,9.00,0
DATA,4864,12.94,17.06,56.9,73.9,34,Z1,15.000,-2.131,2.13,0
DATA,5122,13.14,16.86,56.2,73.6,34,Z1,15.000,-2.053,2.05,0
DATA,5380,13.34,16.66,55.5,73.3,34,Z1,15.000,-1.946,1.95,0
DATA,5638,12.90,17.10,57.0,75.8,34,Z1,15.000,4.373,0.00,0
DATA,5896,13.10,16.90,56.3,73.7,34,Z1,15.000,-1.976,1.98,0
DATA,6155,12.93,17.07,56.9,75.0,34,Z1,15.000,1.739,0.00,0
DATA,6413,13.05,16.95,56.5,73.9,34,Z1,15.000,-1.254,1.25,0
DATA,6671,14.74,15.26,50.9,66.8,33,Z1,15.000,-16.881,16.88,0
>> GANTI ZONA: 1 -> 2 @16.60g
DATA,6929,16.60,13.40,44.7,21.3,24,Z2,1.340,-18.631,18.63,0
DATA,7187,16.49,13.51,45.0,33.8,26,Z2,2.691,1.169,0.00,0
DATA,7445,16.98,13.02,43.4,30.2,25,Z2,3.993,-4.968,4.97,0
DATA,7703,17.09,12.91,43.0,33.1,26,Z2,5.284,-1.054,1.05,0
DATA,7961,17.08,12.92,43.1,34.7,26,Z2,6.577,0.115,0.00,0
DATA,8220,17.09,12.91,43.0,35.5,26,Z2,7.867,-0.159,0.16,0
DATA,8478,17.09,12.91,43.0,36.6,27,Z2,9.158,-0.007,0.01,0
DATA,8736,18.62,11.38,37.9,25.4,24,Z2,10.297,-15.228,15.23,0
DATA,8994,21.57,8.43,28.1,11.1,22,Z2,11.140,-29.538,29.54,0
DATA,9252,21.91,8.09,27.0,25.7,24,Z2,11.949,-3.374,3.37,0
DATA,9510,21.84,8.16,27.2,28.7,25,Z2,12.765,0.625,0.00,0
DATA,9768,21.89,8.11,27.0,28.6,25,Z2,13.575,-0.481,0.48,0
DATA,10027,21.90,8.10,27.0,29.4,25,Z2,14.385,-0.107,0.11,0
DATA,10285,21.88,8.12,27.1,30.2,25,Z2,15.197,0.196,0.00,0
DATA,10543,21.92,8.08,26.9,30.5,25,Z2,16.005,-0.333,0.33,0
DATA,10801,22.78,7.22,24.1,24.4,24,Z2,16.727,-8.598,8.60,0
DATA,11059,24.42,5.58,18.6,16.6,23,Z2,17.285,-16.456,16.46,0
DATA,11317,24.78,5.22,17.4,23.4,24,Z2,17.807,-3.541,3.54,0
DATA,11576,24.98,5.02,16.7,24.2,24,Z2,18.310,-2.001,2.00,0
DATA,11834,25.39,4.61,15.4,22.4,24,Z2,18.770,-4.177,4.18,0
>> GANTI ZONA: 2 -> 3 @25.60g
DATA,12092,25.60,4.40,14.7,11.0,22,Z3,0.440,-2.053,2.05,0
DATA,12350,25.63,4.37,14.6,11.1,22,Z3,0.877,-0.322,0.32,0
DATA,12608,25.64,4.36,14.5,11.1,22,Z3,1.313,-0.100,0.10,0
DATA,12866,26.12,3.88,12.9,9.9,21,Z3,1.701,-4.810,4.81,0
DATA,13124,26.56,3.44,11.5,8.9,21,Z3,2.045,-4.332,4.33,0
DATA,13382,26.75,3.25,10.8,8.5,21,Z3,2.370,-1.898,1.90,0
DATA,13641,26.86,3.14,10.5,8.3,21,Z3,2.684,-1.136,1.14,0
DATA,13899,26.92,3.08,10.3,8.2,21,Z3,2.993,-0.577,0.58,0
DATA,14157,26.90,3.10,10.3,8.4,21,Z3,3.303,0.204,0.00,0
DATA,14415,26.74,3.26,10.9,8.8,21,Z3,3.629,1.550,0.00,0
DATA,14673,26.83,3.17,10.6,8.6,21,Z3,3.946,-0.855,0.85,0
DATA,14931,26.94,3.06,10.2,8.4,21,Z3,4.252,-1.173,1.17,0
DATA,15190,26.99,3.01,10.0,8.3,21,Z3,4.553,-0.452,0.45,0
DATA,15448,27.10,2.90,9.7,8.1,21,Z3,4.843,-1.136,1.14,0
DATA,15706,27.24,2.76,9.2,7.8,21,Z3,5.118,-1.410,1.41,0
DATA,15964,27.24,2.76,9.2,7.9,21,Z3,5.395,0.078,0.00,0
DATA,16222,27.03,2.97,9.9,8.5,21,Z3,5.691,2.016,0.00,0
DATA,16480,26.97,3.03,10.1,8.7,21,Z3,5.994,0.610,0.00,0
DATA,16738,27.06,2.94,9.8,8.5,21,Z3,6.288,-0.895,0.90,0
DATA,16996,27.26,2.74,9.1,8.0,21,Z3,6.561,-1.994,1.99,0
DATA,17255,27.40,2.60,8.7,7.7,21,Z3,6.822,-1.358,1.36,0
DATA,17513,27.53,2.47,8.2,7.4,21,Z3,7.068,-1.354,1.35,0
DATA,17771,27.56,2.44,8.1,7.4,21,Z3,7.313,-0.233,0.23,0
DATA,18029,27.64,2.36,7.9,7.2,21,Z3,7.548,-0.881,0.88,0
DATA,18287,27.68,2.32,7.7,7.2,21,Z3,7.780,-0.318,0.32,0
DATA,18545,27.64,2.36,7.9,7.4,21,Z3,8.017,0.388,0.00,0
DATA,18803,27.74,2.26,7.5,7.1,21,Z3,8.243,-1.007,1.01,0
DATA,19061,28.19,1.81,6.0,5.9,20,Z3,8.424,-4.491,4.49,0
DATA,19320,28.48,1.52,5.1,5.3,20,Z3,8.576,-2.934,2.93,0
DATA,19578,28.56,1.44,4.8,5.2,20,Z3,8.720,-0.747,0.75,0
DATA,19836,28.58,1.42,4.7,5.2,20,Z3,8.863,-0.230,0.23,0
DATA,20094,28.64,1.36,4.5,5.0,20,Z3,8.999,-0.599,0.60,0
DATA,20352,28.67,1.33,4.4,5.0,20,Z3,9.132,-0.303,0.30,0
DATA,20610,28.68,1.32,4.4,5.0,20,Z3,9.264,-0.119,0.12,0
DATA,20868,28.75,1.25,4.2,4.8,20,Z3,9.388,-0.736,0.74,0
DATA,21126,28.96,1.04,3.5,4.3,20,Z3,9.492,-2.042,2.04,0
DATA,21385,29.04,0.96,3.2,4.1,20,Z3,9.589,-0.785,0.78,0
DATA,21643,29.17,0.83,2.8,3.8,20,Z3,9.672,-1.321,1.32,0
DATA,21901,28.95,1.05,3.5,4.5,20,Z3,9.777,2.198,0.00,0
DATA,22159,29.15,0.85,2.8,3.8,20,Z3,9.861,-2.053,2.05,0
DATA,22417,29.21,0.79,2.6,3.8,20,Z3,9.941,-0.540,0.54,0
DATA,22675,28.92,1.08,3.6,4.6,20,Z3,10.049,2.915,0.00,0
DATA,22934,29.08,0.92,3.1,4.1,20,Z3,10.141,-1.598,1.60,0
DATA,23192,29.25,0.75,2.5,3.7,20,Z3,10.216,-1.702,1.70,0
DATA,23450,28.85,1.15,3.8,4.9,20,Z3,10.331,3.932,0.00,0
DATA,23708,28.89,1.11,3.7,4.7,20,Z3,10.442,-0.322,0.32,0
DATA,23966,28.93,1.07,3.6,4.6,20,Z3,10.550,-0.411,0.41,0
DATA,24224,29.02,0.98,3.3,4.4,20,Z3,10.648,-0.906,0.91,0
DATA,24483,29.00,1.00,3.3,4.4,20,Z3,10.748,0.159,0.00,0
DATA,24741,28.83,1.17,3.9,4.9,20,Z3,10.865,1.694,0.00,0
DATA,24999,29.00,1.00,3.3,4.4,20,Z3,10.964,-1.691,1.69,0
DATA,25257,29.22,0.78,2.6,3.9,20,Z3,11.042,-2.231,2.23,0
DATA,25515,28.97,1.03,3.4,4.7,20,Z3,11.145,2.516,0.00,0
DATA,25773,28.94,1.06,3.5,4.7,20,Z3,11.251,0.377,0.00,0
DATA,26031,28.93,1.07,3.6,4.7,20,Z3,11.358,0.089,0.00,0
DATA,26290,28.95,1.05,3.5,4.7,20,Z3,11.463,-0.285,0.29,0
DATA,26548,28.96,1.04,3.5,4.7,20,Z3,11.567,-0.026,0.03,0
