======== PARAMETER AKTIF ========
Setpoint    : 30.0g
- Zona 1 Besar (eNorm >50%) -
  Kp1=1.65  Ki1=3.088  Kd1=0.279
- Zona 2 Sedang (15-50%) -
  Kp2=2.30  Ki2=0.753  Kd2=0.563
- Zona 3 Kecil (<=15%) -
  Kp3=2.50  Ki3=0.181  Kd3=0.030
- Sistem -
  SUDUT_MIN : 20deg
  SUDUT_BUKA: 40deg
  EARLY_STOP: SP - 0.40g
  STOP saat : 29.60g
  HAMMER_TH : error > 3.0g
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Gain Scheduling PID
TrialNo: 5
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Z1_Rule: eNorm_gt_50
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Rule: 15_lt_eNorm_le_50
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Rule: eNorm_le_15_or_abs_error_le_2g
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,flow_gps,bridging_count
=== DATA START ===
>> GANTI ZONA: 0 -> 1 @0.20g
DATA,100,0.20,29.80,99.3,100.0,40,Z1,2.980,298.039,1.96,0
DATA,218,0.13,29.87,99.6,67.9,33,Z1,5.968,0.692,0.00,0
DATA,476,0.87,29.13,97.1,73.4,34,Z1,8.880,-7.466,7.47,0
DATA,734,3.06,26.94,89.8,74.1,34,Z1,11.574,-21.865,21.86,0
DATA,992,2.70,27.30,91.0,90.2,37,Z1,14.305,3.622,0.00,0
DATA,1250,2.72,27.28,90.9,91.3,38,Z1,15.000,-0.178,0.18,0
DATA,1509,3.19,26.81,89.4,89.2,37,Z1,15.000,-4.780,4.78,0
DATA,1767,5.61,24.39,81.3,79.8,35,Z1,15.000,-24.173,24.17,0
DATA,2025,8.84,21.16,70.5,72.2,34,Z1,15.000,-32.331,32.33,0
                                                                5,Z1,15.000,-11.058,11.06,0
DATA,2541,14.78,15.22,50.7,58.0,31,Z1,15.000,-48.269,48.27,0
>> GANTI ZONA: 1 -> 2 @18.48g
DATA,2799,18.48,11.52,38.4,6.5,21,Z2,1.152,-37.029,37.03,0
DATA,3058,19.76,10.24,34.1,18.0,23,Z2,2.176,-12.771,12.77,0
DATA,3315,20.07,9.93,33.1,23.4,24,Z2,3.169,-3.160,3.16,0
DATA,3574,20.12,9.88,32.9,25.6,24,Z2,4.158,-0.433,0.43,0
DATA,3832,20.20,9.80,32.7,25.9,24,Z2,5.138,-0.829,0.83,0
DATA,4090,20.24,9.76,32.5,26.8,25,Z2,6.113,-0.451,0.45,0
DATA,4348,20.30,9.70,32.3,27.3,25,Z2,7.083,-0.596,0.60,0
DATA,4606,21.88,8.12,27.1,15.8,22,Z2,7.895,-15.719,15.72,0
DATA,4864,22.84,7.16,23.9,17.5,23,Z2,8.611,-9.697,9.70,0
DATA,5122,22.84,7.16,23.9,23.5,24,Z2,9.327,0.085,0.00,0
DATA,5380,22.87,7.13,23.8,23.8,24,Z2,10.040,-0.326,0.33,0
DATA,5639,22.93,7.07,23.6,24.0,24,Z2,10.748,-0.588,0.59,0
DATA,5897,22.93,7.07,23.6,24.9,24,Z2,11.454,-0.044,0.04,0
DATA,6155,22.95,7.05,23.5,25.3,24,Z2,12.159,-0.189,0.19,0
DATA,6413,22.94,7.06,23.5,26.0,24,Z2,12.865,0.078,0.00,0
DATA,6671,23.68,6.32,21.1,20.6,23,Z2,13.497,-7.366,7.37,0
DATA,6929,24.16,5.84,19.5,21.3,24,Z2,14.081,-4.802,4.80,0
DATA,7187,24.16,5.84,19.5,24.4,24,Z2,14.664,-0.044,0.04,0
DATA,7446,24.09,5.91,19.7,25.5,24,Z2,15.255,0.699,0.00,0
DATA,7704,24.08,5.92,19.7,25.6,24,Z2,15.847,0.133,0.00,0
DATA,7962,24.09,5.91,19.7,25.9,24,Z2,16.438,-0.074,0.07,0
DATA,8220,24.12,5.88,19.6,26.2,25,Z2,17.026,-0.311,0.31,0
DATA,8478,24.21,5.79,19.3,26.1,25,Z2,17.605,-0.921,0.92,0
DATA,8736,25.30,4.70,15.7,18.3,23,Z2,18.075,-10.847,10.85,0
>> GANTI ZONA: 2 -> 3 @26.17g
DATA,8994,26.17,3.83,12.8,9.4,21,Z3,0.383,-8.775,8.78,0
DATA,9253,26.15,3.85,12.8,9.8,21,Z3,0.768,0.237,0.00,0
DATA,9511,26.18,3.82,12.7,9.7,21,Z3,1.149,-0.300,0.30,0
DATA,9769,26.15,3.85,12.8,9.9,21,Z3,1.535,0.340,0.00,0
DATA,10027,25.86,4.14,13.8,10.8,21,Z3,1.949,2.908,0.00,0
DATA,10285,26.17,3.83,12.8,9.9,21,Z3,2.332,-3.134,3.13,0
