======== PARAMETER AKTIF ========
Setpoint    : 30.0g
- Zona 1 Besar (eNorm >50%) -
  Kp1=1.65  Ki1=3.088  Kd1=0.279
- Zona 2 Sedang (15-50%) -
  Kp2=2.30  Ki2=0.753  Kd2=0.563
- Zona 3 Kecil (<=15%) -
  Kp3=2.50  Ki3=0.181  Kd3=0.030
- Sistem -
  SUDUT_MIN : 20deg
  SUDUT_BUKA: 40deg
  EARLY_STOP: SP - 0.40g
  STOP saat : 29.60g
  HAMMER_TH : error > 3.0g
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Gain Scheduling PID
TrialNo: 6
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Z1_Rule: eNorm_gt_50
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Rule: 15_lt_eNorm_le_50
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Rule: eNorm_le_15_or_abs_error_le_2g
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,flow_gps,bridging_count
=== DATA START ===
>> GANTI ZONA: 0 -> 1 @0.12g
DATA,100,0.12,29.88,99.6,100.0,40,Z1,2.988,298.761,1.24,0
DATA,218,0.13,29.87,99.6,67.7,33,Z1,5.975,-0.041,0.04,0
DATA,476,1.78,28.22,94.1,69.1,33,Z1,8.797,-16.500,16.50,0
DATA,734,4.03,25.97,86.6,71.8,34,Z1,11.394,-22.486,22.49,0
DATA,992,4.70,25.30,84.3,82.8,36,Z1,13.924,-6.766,6.77,0
DATA,1250,4.71,25.29,84.3,88.0,37,Z1,15.000,-0.096,0.10,0
DATA,1508,4.38,25.62,85.4,89.5,37,Z1,15.000,3.293,0.00,0
DATA,1766,4.61,25.39,84.6,87.6,37,Z1,15.000,-2.235,2.23,0
DATA,2025,6.78,23.22,77.4,78.6,35,Z1,15.000,-21.743,21.74,0
DATA,2283,8.93,21.07,70.2,75.1,34,Z1,15.000,-21.535,21.54,0
DATA,2541,11.31,18.69,62.3,70.5,33,Z1,15.000,-23.762,23.76,0
DATA,2799,14.91,15.09,50.3,61.2,32,Z1,15.000,-35.949,35.95,0
>> GANTI ZONA: 1 -> 2 @15.59g
DATA,3057,15.59,14.41,48.0,30.4,25,Z2,1.441,-6.833,6.83,0
DATA,3315,15.72,14.28,47.6,34.2,26,Z2,2.869,-1.343,1.34,0
DATA,3573,15.64,14.36,47.9,36.8,27,Z2,4.305,0.884,0.00,0
DATA,3832,15.55,14.45,48.2,38.0,27,Z2,5.750,0.810,0.00,0
DATA,4090,15.54,14.46,48.2,38.7,27,Z2,7.195,0.093,0.00,0
DATA,4348,15.59,14.41,48.0,39.4,27,Z2,8.636,-0.496,0.50,0
DATA,4606,16.59,13.41,44.7,32.8,26,Z2,9.977,-9.956,9.96,0
DATA,4864,16.93,13.07,43.6,36.6,27,Z2,11.283,-3.448,3.45,0
DATA,5122,16.98,13.02,43.4,39.1,27,Z2,12.585,-0.485,0.48,0
DATA,5380,16.97,13.03,43.4,40.5,27,Z2,13.888,0.100,0.00,0
DATA,5639,16.98,13.02,43.4,41.4,28,Z2,15.190,-0.033,0.03,0
DATA,5897,16.97,13.03,43.4,42.4,28,Z2,16.493,0.096,0.00,0
DATA,6155,16.95,13.05,43.5,43.6,28,Z2,17.799,0.219,0.00,0
DATA,6413,16.94,13.06,43.5,44.5,28,Z2,19.105,0.063,0.00,0
DATA,6671,17.31,12.69,42.3,42.4,28,Z2,20.374,-3.700,3.70,0
DATA,6929,17.33,12.67,42.2,45.3,28,Z2,21.641,-0.225,0.23,0
DATA,7187,17.36,12.64,42.1,46.1,29,Z2,22.905,-0.311,0.31,0
DATA,7446,17.32,12.68,42.3,47.6,29,Z2,24.172,0.407,0.00,0
DATA,7704,17.34,12.66,42.2,48.2,29,Z2,25.438,-0.204,0.20,0
DATA,7962,17.38,12.62,42.1,48.9,29,Z2,26.700,-0.403,0.40,0
DATA,8220,17.29,12.71,42.4,50.8,29,Z2,27.971,0.902,0.00,0
DATA,8478,17.50,12.50,41.7,49.6,29,Z2,29.221,-2.072,2.07,0
DATA,8736,17.42,12.58,41.9,51.9,30,Z2,30.000,0.747,0.00,0
DATA,8994,17.27,12.73,42.4,52.7,30,Z2,30.000,1.554,0.00,0
BRIDGING #1 @17.32g Z2 hammer
DATA,9253,17.32,12.68,42.3,51.5,30,Z2,30.000,-0.477,0.48,1
DATA,9511,17.54,12.46,41.5,50.0,29,Z2,30.000,-2.227,2.23,1
DATA,9769,17.47,12.53,41.8,51.8,30,Z2,30.000,0.710,0.00,1
DATA,10027,17.43,12.57,41.9,51.7,30,Z2,30.000,0.377,0.00,1
DATA,10285,17.54,12.46,41.5,50.7,29,Z2,30.000,-1.054,1.05,1
DATA,10543,17.40,12.60,42.0,52.3,30,Z2,30.000,1.369,0.00,1
DATA,10801,17.45,12.55,41.8,51.2,30,Z2,30.000,-0.511,0.51,1
DATA,11059,17.49,12.51,41.7,51.2,30,Z2,30.000,-0.348,0.35,1
DATA,11317,17.46,12.54,41.8,51.5,30,Z2,30.000,0.222,0.00,1
DATA,11576,17.41,12.59,42.0,51.8,30,Z2,30.000,0.529,0.00,1
DATA,11834,17.39,12.61,42.0,51.7,30,Z2,30.000,0.225,0.00,1
DATA,12092,17.40,12.60,42.0,51.5,30,Z2,30.000,-0.074,0.07,1
BRIDGING #2 @17.44g Z2 hammer
DATA,12350,17.44,12.56,41.9,51.2,30,Z2,30.000,-0.473,0.47,2
DATA,12608,17.35,12.65,42.2,52.2,30,Z2,30.000,0.928,0.00,2
DATA,12866,17.54,12.46,41.5,50.2,29,Z2,30.000,-1.924,1.92,2
DATA,13124,17.64,12.36,41.2,50.4,29,Z2,30.000,-1.013,1.01,2
DATA,13382,17.77,12.23,40.8,50.0,29,Z2,30.000,-1.269,1.27,2
DATA,13640,18.00,12.00,40.0,48.9,29,Z2,30.000,-2.271,2.27,2
DATA,13899,17.95,12.05,40.2,50.5,29,Z2,30.000,0.429,0.00,2
DATA,14157,18.01,11.99,40.0,49.8,29,Z2,30.000,-0.581,0.58,2
DATA,14415,17.99,12.01,40.0,50.4,29,Z2,30.000,0.252,0.00,2
DATA,14673,18.00,12.00,40.0,50.2,29,Z2,30.000,-0.078,0.08,2
DATA,14931,17.96,12.04,40.1,50.5,29,Z2,30.000,0.322,0.00,2
DATA,15189,17.98,12.02,40.1,50.2,29,Z2,30.000,-0.155,0.16,2
DATA,15447,17.97,12.03,40.1,50.3,29,Z2,30.000,0.059,0.00,2
DATA,15706,17.95,12.05,40.2,50.4,29,Z2,30.000,0.226,0.00,2
DATA,15964,17.95,12.05,40.2,50.3,29,Z2,30.000,-0.022,0.02,2
DATA,16222,17.92,12.08,40.3,50.5,29,Z2,30.000,0.307,0.00,2
DATA,16480,18.00,12.00,40.0,49.8,29,Z2,30.000,-0.758,0.76,2
DATA,16738,17.99,12.01,40.0,50.2,29,Z2,30.000,0.026,0.00,2
DATA,16996,20.27,9.73,32.4,32.2,26,Z2,30.000,-22.749,22.75,2
DATA,17255,22.79,7.21,24.0,25.0,24,Z2,30.000,-25.239,25.24,2
DATA,17513,23.92,6.08,20.3,30.2,25,Z2,30.000,-11.280,11.28,2
DATA,17771,25.16,4.84,16.1,26.7,25,Z2,30.000,-12.386,12.39,2
DATA,18029,24.85,5.15,17.2,36.1,27,Z2,30.000,3.060,0.00,2
DATA,18287,25.06,4.94,16.5,32.8,26,Z2,30.000,-2.009,2.01,2
DATA,18545,25.47,4.53,15.1,30.7,25,Z2,30.000,-4.144,4.14,2
>> GANTI ZONA: 2 -> 3 @26.35g
DATA,18803,26.35,3.65,12.2,8.9,21,Z3,0.365,-8.820,8.82,2
DATA,19062,26.77,3.23,10.8,8.1,21,Z3,0.688,-4.214,4.21,2
DATA,19320,27.66,2.34,7.8,5.8,20,Z3,0.922,-8.860,8.86,2
DATA,19578,27.50,2.50,8.3,6.5,21,Z3,1.172,1.632,0.00,2
DATA,19836,27.43,2.57,8.6,6.7,21,Z3,1.429,0.644,0.00,2
DATA,20094,27.46,2.54,8.5,6.6,21,Z3,1.683,-0.333,0.33,2
DATA,20352,27.38,2.62,8.7,6.9,21,Z3,1.945,0.851,0.00,2
DATA,20610,27.47,2.53,8.4,6.7,21,Z3,2.198,-0.884,0.88,2
DATA,20869,27.41,2.59,8.6,6.9,21,Z3,2.456,0.544,0.00,2
DATA,21127,27.75,2.25,7.5,6.0,21,Z3,2.681,-3.367,3.37,2
DATA,21385,28.31,1.69,5.6,4.6,20,Z3,2.850,-5.620,5.62,2
DATA,21643,28.33,1.67,5.6,4.7,20,Z3,3.017,-0.222,0.22,2
DATA,21901,28.32,1.68,5.6,4.8,20,Z3,3.185,0.170,0.00,2
DATA,22159,28.36,1.64,5.5,4.7,20,Z3,3.349,-0.444,0.44,2
DATA,22418,28.32,1.68,5.6,4.9,20,Z3,3.517,0.437,0.00,2
DATA,22676,28.29,1.71,5.7,4.9,20,Z3,3.688,0.259,0.00,2
DATA,22934,28.33,1.67,5.6,4.9,20,Z3,3.855,-0.359,0.36,2
DATA,23192,28.37,1.63,5.4,4.8,20,Z3,4.018,-0.377,0.38,2
DATA,23450,28.37,1.63,5.4,4.8,20,Z3,4.181,-0.063,0.06,2
DATA,23708,28.43,1.57,5.2,4.7,20,Z3,4.338,-0.562,0.56,2
DATA,23966,28.44,1.56,5.2,4.7,20,Z3,4.494,-0.159,0.16,2
DATA,24225,28.50,1.50,5.0,4.6,20,Z3,4.643,-0.607,0.61,2
