======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 20.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 19.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 4
Setpoint_g: 20.00
EarlyStop_g: 0.40
StopTarget_g: 19.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
=== DATA START ===
DATA,100,0.00,20.00,100.0,56.3,31,Z1,2.000,200.000,0
DATA,218,0.00,20.00,100.0,50.6,29,Z1,4.000,0.000,0
DATA,476,0.20,19.80,99.0,50.3,29,Z1,5.980,-2.002,0
DATA,734,0.70,19.30,96.5,49.3,29,Z1,7.910,-4.980,0
DATA,992,0.78,19.22,96.1,49.5,29,Z1,9.832,-0.862,0
DATA,1251,0.59,19.41,97.0,50.3,29,Z1,11.772,1.898,0
DATA,1509,0.52,19.48,97.4,50.8,29,Z1,13.720,0.714,0
DATA,1767,0.49,19.51,97.6,51.1,30,Z1,15.671,0.370,0
DATA,2025,0.57,19.43,97.1,51.2,30,Z1,17.614,-0.844,0
DATA,2284,0.58,19.42,97.1,51.5,30,Z1,19.557,-0.063,0
DATA,2542,1.62,18.38,91.9,48.8,29,Z1,21.395,-10.426,0
DATA,2800,2.14,17.86,89.3,48.0,29,Z1,23.181,-5.216,0
DATA,3058,2.44,17.56,87.8,47.6,29,Z1,24.937,-2.986,0
DATA,3316,2.50,17.50,87.5,47.7,29,Z1,26.687,-0.581,0
DATA,3575,2.46,17.54,87.7,48.1,29,Z1,28.441,0.385,0
DATA,3833,2.50,17.50,87.5,48.2,29,Z1,30.000,-0.377,0
DATA,4091,2.45,17.55,87.8,48.4,29,Z1,30.000,0.473,0
DATA,4349,2.47,17.53,87.6,48.3,29,Z1,30.000,-0.251,0
DATA,4607,3.28,16.72,83.6,46.0,29,Z1,30.000,-8.084,0
DATA,4866,3.61,16.39,81.9,45.4,28,Z1,30.000,-3.278,0
DATA,5124,3.61,16.39,81.9,45.5,28,Z1,30.000,-0.029,0
DATA,5382,3.72,16.28,81.4,45.2,28,Z1,30.000,-1.028,0
DATA,5640,3.73,16.27,81.4,45.2,28,Z1,30.000,-0.093,0
DATA,5899,3.81,16.19,80.9,44.9,28,Z1,30.000,-0.847,0
DATA,6157,3.94,16.06,80.3,44.6,28,Z1,30.000,-1.273,0
DATA,6415,4.18,15.82,79.1,44.0,28,Z1,30.000,-2.446,0
DATA,6673,4.77,15.23,76.1,42.4,28,Z1,30.000,-5.890,0
DATA,6932,4.73,15.27,76.3,42.7,28,Z1,30.000,0.370,0
