======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 20.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 19.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 2
Setpoint_g: 20.00
EarlyStop_g: 0.40
StopTarget_g: 19.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
=== DATA START ===
DATA,100,0.00,20.00,100.0,56.3,31,Z1,2.000,200.000,0
DATA,218,0.00,20.00,100.0,50.6,29,Z1,4.000,0.000,0
DATA,476,0.46,19.54,97.7,49.6,29,Z1,5.954,-4.584,0
DATA,734,0.82,19.18,95.9,49.0,29,Z1,7.872,-3.596,0
DATA,992,0.78,19.22,96.1,49.5,29,Z1,9.794,0.381,0
DATA,1250,0.79,19.21,96.0,49.8,29,Z1,11.715,-0.119,0
DATA,1509,0.81,19.19,96.0,50.0,29,Z1,13.635,-0.144,0
DATA,1767,0.85,19.15,95.8,50.2,29,Z1,15.550,-0.396,0
DATA,2025,0.79,19.21,96.1,50.7,29,Z1,17.471,0.573,0
DATA,2283,0.85,19.15,95.8,50.8,29,Z1,19.386,-0.610,0
DATA,2541,3.07,16.93,84.6,44.8,28,Z1,21.079,-22.209,0
DATA,2799,5.27,14.73,73.6,39.5,27,Z1,22.552,-22.023,0
DATA,3058,5.12,14.88,74.4,40.8,27,Z1,24.040,1.483,0
DATA,3316,5.13,14.87,74.4,41.0,28,Z1,25.527,-0.037,0
DATA,3574,5.10,14.90,74.5,41.3,28,Z1,27.017,0.329,0
DATA,3832,5.11,14.89,74.4,41.5,28,Z1,28.506,-0.170,0
DATA,4090,5.13,14.87,74.4,41.7,28,Z1,29.993,-0.137,0
DATA,4349,5.12,14.88,74.4,41.7,28,Z1,30.000,0.041,0
DATA,4607,6.02,13.98,69.9,39.2,27,Z1,30.000,-8.990,0
DATA,4865,6.58,13.42,67.1,37.9,27,Z1,30.000,-5.557,0
DATA,5123,6.42,13.58,67.9,38.5,27,Z1,30.000,1.576,0
DATA,5381,6.30,13.70,68.5,38.8,27,Z1,30.000,1.180,0
DATA,5639,6.53,13.47,67.4,38.1,27,Z1,30.000,-2.253,0
DATA,5898,6.57,13.43,67.2,38.1,27,Z1,30.000,-0.411,0
DATA,6156,6.48,13.52,67.6,38.3,27,Z1,30.000,0.844,0
DATA,6414,6.48,13.52,67.6,38.3,27,Z1,30.000,-0.015,0
DATA,6672,6.80,13.20,66.0,37.4,27,Z1,30.000,-3.137,0
DATA,6930,7.26,12.74,63.7,36.2,27,Z1,30.000,-4.624,0
