======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 30.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 29.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 1
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
DATA,18034,28.04,1.96,6.5,9.4,21,Z3,30.000,0.107,1
DATA,18292,28.02,1.98,6.6,9.5,21,Z3,30.000,0.189,1
DATA,18551,28.05,1.95,6.5,9.4,21,Z3,30.000,-0.333,1
DATA,18809,28.06,1.94,6.5,9.3,21,Z3,30.000,-0.115,1
DATA,19067,28.05,1.95,6.5,9.4,21,Z3,30.000,0.159,1
DATA,19325,28.10,1.90,6.3,9.2,21,Z3,30.000,-0.581,1
DATA,19583,28.16,1.84,6.1,9.1,21,Z3,30.000,-0.547,1
DATA,19842,28.11,1.89,6.3,9.2,21,Z3,30.000,0.492,1
DATA,20100,28.10,1.90,6.3,9.3,21,Z3,30.000,0.093,1
DATA,20358,28.12,1.88,6.3,9.2,21,Z3,30.000,-0.226,1
DATA,20616,28.14,1.86,6.2,9.1,21,Z3,30.000,-0.200,1
DATA,20875,28.06,1.94,6.5,9.4,21,Z3,30.000,0.844,1
DATA,21133,28.15,1.85,6.2,9.1,21,Z3,30.000,-0.858,1
DATA,21391,28.24,1.76,5.9,8.9,21,Z3,30.000,-0.914,1
DATA,21649,28.14,1.86,6.2,9.2,21,Z3,30.000,0.947,1
DATA,21907,28.39,1.61,5.4,8.4,21,Z3,30.000,-2.523,1
DATA,22166,28.28,1.72,5.7,8.8,21,Z3,30.000,1.139,1
DATA,22424,28.10,1.90,6.3,9.3,21,Z3,30.000,1.754,1
DATA,22682,28.04,1.96,6.5,9.4,21,Z3,30.000,0.636,1
DATA,22940,28.22,1.78,5.9,8.9,21,Z3,30.000,-1.787,1
DATA,23199,28.14,1.86,6.2,9.2,21,Z3,30.000,0.810,1
DATA,23457,28.08,1.92,6.4,9.3,21,Z3,30.000,0.625,1
DATA,23715,28.02,1.98,6.6,9.5,21,Z3,30.000,0.562,1
DATA,23973,28.09,1.91,6.4,9.2,21,Z3,30.000,-0.740,1
DATA,24231,28.13,1.87,6.2,9.2,21,Z3,30.000,-0.337,1
DATA,24490,28.08,1.92,6.4,9.3,21,Z3,30.000,0.496,1
DATA,24748,27.94,2.06,6.9,9.7,21,Z3,30.000,1.410,1
DATA,25006,28.06,1.94,6.5,9.3,21,Z3,30.000,-1.243,1
DATA,25264,28.10,1.90,6.3,9.2,21,Z3,30.000,-0.359,1
DATA,25522,28.18,1.82,6.1,9.0,21,Z3,30.000,-0.788,1
DATA,25781,28.23,1.77,5.9,8.9,21,Z3,30.000,-0.563,1
DATA,26039,28.15,1.85,6.2,9.2,21,Z3,30.000,0.870,1
DATA,26297,28.16,1.84,6.1,9.1,21,Z3,30.000,-0.189,1
DATA,26555,28.20,1.80,6.0,9.0,21,Z3,30.000,-0.351,1
DATA,26814,28.19,1.81,6.0,9.0,21,Z3,30.000,0.126,1
DATA,27072,28.16,1.84,6.1,9.1,21,Z3,30.000,0.255,1
DATA,27330,28.21,1.79,6.0,9.0,21,Z3,30.000,-0.459,1
DATA,27588,28.19,1.81,6.0,9.0,21,Z3,30.000,0.214,1
DATA,27846,28.17,1.83,6.1,9.1,21,Z3,30.000,0.137,1
DATA,28105,28.19,1.81,6.0,9.0,21,Z3,30.000,-0.163,1
DATA,28363,28.25,1.75,5.8,8.9,21,Z3,30.000,-0.588,1
DATA,28621,28.18,1.82,6.1,9.1,21,Z3,30.000,0.662,1
DATA,28879,28.18,1.82,6.1,9.0,21,Z3,30.000,-0.015,1
DATA,29138,28.17,1.83,6.1,9.1,21,Z3,30.000,0.074,1
DATA,29396,28.19,1.81,6.0,9.0,21,Z3,30.000,-0.181,1
DATA,29654,28.21,1.79,6.0,9.0,21,Z3,30.000,-0.155,1
DATA,29912,28.23,1.77,5.9,8.9,21,Z3,30.000,-0.174,1
DATA,30170,28.28,1.72,5.7,8.8,21,Z3,30.000,-0.563,1
DATA,30429,28.19,1.81,6.0,9.0,21,Z3,30.000,0.888,1
DATA,30687,28.15,1.85,6.2,9.1,21,Z3,30.000,0.429,1
DATA,30945,28.13,1.87,6.2,9.2,21,Z3,30.000,0.240,1
DATA,31203,28.10,1.90,6.3,9.3,21,Z3,30.000,0.259,1
DATA,31461,28.18,1.82,6.1,9.0,21,Z3,30.000,-0.844,1
DATA,31720,28.35,1.65,5.5,8.6,21,Z3,30.000,-1.620,1
DATA,31978,28.22,1.78,5.9,9.0,21,Z3,30.000,1.243,1
DATA,32236,28.06,1.94,6.5,9.4,21,Z3,30.000,1.661,1
DATA,32494,28.01,1.99,6.6,9.5,21,Z3,30.000,0.433,1
DATA,32752,28.05,1.95,6.5,9.4,21,Z3,30.000,-0.374,1
DATA,33011,27.80,2.20,7.3,10.1,21,Z3,30.000,2.542,1
DATA,33269,27.99,2.01,6.7,9.5,21,Z3,30.000,-1.928,1
DATA,33527,28.02,1.98,6.6,9.4,21,Z3,30.000,-0.281,1
DATA,33785,28.12,1.88,6.3,9.2,21,Z3,30.000,-0.995,1
DATA,34043,28.13,1.87,6.2,9.2,21,Z3,30.000,-0.163,1
DATA,34302,28.16,1.84,6.1,9.1,21,Z3,30.000,-0.218,1
DATA,34560,28.11,1.89,6.3,9.2,21,Z3,30.000,0.488,1
DATA,34818,28.13,1.87,6.2,9.2,21,Z3,30.000,-0.244,1
DATA,35076,28.11,1.89,6.3,9.2,21,Z3,30.000,0.240,1
DATA,35335,28.11,1.89,6.3,9.2,21,Z3,30.000,-0.074,1
DATA,35593,28.08,1.92,6.4,9.3,21,Z3,30.000,0.300,1
DATA,35851,28.19,1.81,6.0,9.0,21,Z3,30.000,-1.054,1
DATA,36109,28.19,1.81,6.0,9.0,21,Z3,30.000,-0.019,1
DATA,36367,28.10,1.90,6.3,9.3,21,Z3,30.000,0.932,1
DATA,36626,28.19,1.81,6.0,9.0,21,Z3,30.000,-0.917,1
DATA,36884,28.18,1.82,6.1,9.1,21,Z3,30.000,0.111,1
DATA,37142,28.18,1.82,6.1,9.1,21,Z3,30.000,0.018,1
DATA,37400,28.27,1.73,5.8,8.8,21,Z3,30.000,-0.973,1
DATA,37659,28.27,1.73,5.8,8.8,21,Z3,30.000,0.026,1
DATA,37917,28.11,1.89,6.3,9.3,21,Z3,30.000,1.650,1
