======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 30.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 29.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 8
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
=== DATA START ===
DATA,100,0.00,30.00,100.0,84.4,36,Z1,3.000,300.000,0
DATA,218,0.01,29.99,100.0,75.9,34,Z1,5.999,-0.111,0
DATA,476,1.26,28.74,95.8,72.8,34,Z1,8.873,-12.442,0
DATA,734,2.54,27.46,91.5,70.0,33,Z1,11.619,-12.852,0
DATA,993,2.47,27.53,91.8,71.0,34,Z1,14.372,0.710,0
DATA,1251,2.48,27.52,91.7,71.4,34,Z1,17.124,-0.152,0
DATA,1509,2.41,27.59,92.0,72.0,34,Z1,19.883,0.773,0
DATA,1767,2.46,27.54,91.8,72.2,34,Z1,22.637,-0.522,0
DATA,2025,2.46,27.54,91.8,72.7,34,Z1,25.392,0.044,0
DATA,2284,2.25,27.75,92.5,73.7,34,Z1,28.166,2.016,0
DATA,2542,5.77,24.23,80.8,64.0,32,Z1,30.000,-35.176,0
DATA,2800,9.28,20.72,69.1,55.2,30,Z1,30.000,-35.113,0
DATA,3058,9.07,20.93,69.8,56.9,31,Z1,30.000,2.087,0
DATA,3316,9.20,20.80,69.3,56.5,31,Z1,30.000,-1.306,0
DATA,3574,9.17,20.83,69.4,56.6,31,Z1,30.000,0.385,0
DATA,3833,9.20,20.80,69.3,56.5,31,Z1,30.000,-0.325,0
DATA,4091,9.16,20.84,69.5,56.6,31,Z1,30.000,0.377,0
DATA,4349,9.08,20.92,69.7,56.8,31,Z1,30.000,0.773,0
DATA,4607,10.52,19.48,64.9,52.8,30,Z1,30.000,-14.343,0
DATA,4865,11.42,18.58,61.9,50.7,29,Z1,30.000,-9.019,0
DATA,5123,11.50,18.50,61.7,50.7,29,Z1,30.000,-0.803,0
DATA,5382,11.48,18.52,61.7,50.8,29,Z1,30.000,0.233,0
DATA,5640,11.45,18.55,61.8,50.9,29,Z1,30.000,0.263,0
DATA,5898,11.46,18.54,61.8,50.8,29,Z1,30.000,-0.100,0
DATA,6156,11.47,18.53,61.8,50.8,29,Z1,30.000,-0.111,0
DATA,6415,11.49,18.51,61.7,50.8,29,Z1,30.000,-0.148,0
DATA,6673,11.94,18.06,60.2,49.5,29,Z1,30.000,-4.495,0
DATA,6931,12.38,17.62,58.7,48.4,29,Z1,30.000,-4.451,0
DATA,7189,12.48,17.52,58.4,48.3,29,Z1,30.000,-0.999,0
DATA,7447,12.45,17.55,58.5,48.4,29,Z1,30.000,0.300,0
DATA,7705,12.41,17.59,58.6,48.5,29,Z1,30.000,0.448,0
DATA,7964,12.50,17.50,58.3,48.2,29,Z1,30.000,-0.932,0
DATA,8222,12.60,17.40,58.0,48.0,29,Z1,30.000,-1.029,0
DATA,8480,12.56,17.44,58.1,48.1,29,Z1,30.000,0.411,0
DATA,8738,12.73,17.27,57.6,47.6,29,Z1,30.000,-1.657,0
DATA,8996,14.04,15.96,53.2,44.0,28,Z1,30.000,-13.134,0
DATA,9254,15.29,14.71,49.0,40.9,27,Z2,30.000,-12.464,0
DATA,9513,15.55,14.45,48.2,40.5,27,Z2,30.000,-2.638,0
DATA,9771,15.63,14.37,47.9,40.4,27,Z2,30.000,-0.840,0
DATA,10029,15.50,14.50,48.3,40.8,27,Z2,30.000,1.369,0
DATA,10287,15.43,14.57,48.6,40.9,27,Z2,30.000,0.666,0
DATA,10546,15.36,14.64,48.8,41.1,28,Z2,30.000,0.721,0
DATA,10804,16.02,13.98,46.6,39.3,27,Z2,30.000,-6.608,0
DATA,11062,17.64,12.36,41.2,34.9,26,Z2,30.000,-16.208,0
DATA,11320,17.28,12.72,42.4,36.4,27,Z2,30.000,3.588,0
DATA,11578,17.32,12.68,42.3,36.2,27,Z2,30.000,-0.411,0
DATA,11837,17.35,12.65,42.2,36.1,27,Z2,30.000,-0.263,0
DATA,12095,17.26,12.74,42.5,36.4,27,Z2,30.000,0.877,0
DATA,12353,17.32,12.68,42.3,36.2,27,Z2,30.000,-0.599,0
DATA,12611,17.30,12.70,42.3,36.3,27,Z2,30.000,0.233,0
DATA,12869,17.33,12.67,42.2,36.2,27,Z2,30.000,-0.296,0
DATA,13127,17.47,12.53,41.8,35.8,26,Z2,30.000,-1.458,0
DATA,13386,17.47,12.53,41.8,35.8,26,Z2,30.000,0.070,0
DATA,13644,17.47,12.53,41.8,35.8,26,Z2,30.000,-0.063,0
DATA,13902,17.49,12.51,41.7,35.8,26,Z2,30.000,-0.144,0
DATA,14160,17.54,12.46,41.5,35.6,26,Z2,30.000,-0.581,0
DATA,14419,17.50,12.50,41.7,35.8,26,Z2,30.000,0.477,0
DATA,14677,17.50,12.50,41.7,35.7,26,Z2,30.000,-0.044,0
DATA,14935,17.81,12.19,40.6,34.9,26,Z2,30.000,-3.093,0
DATA,15193,17.99,12.01,40.0,34.5,26,Z2,30.000,-1.801,0
DATA,15451,17.97,12.03,40.1,34.6,26,Z2,30.000,0.240,0
DATA,15710,17.96,12.04,40.1,34.6,26,Z2,30.000,0.044,0
DATA,15968,18.00,12.00,40.0,34.5,26,Z2,30.000,-0.396,0
DATA,16226,18.01,11.99,40.0,34.5,26,Z2,30.000,-0.037,0
DATA,16484,17.97,12.03,40.1,34.6,26,Z2,30.000,0.311,0
DATA,16742,17.95,12.05,40.2,34.6,26,Z2,30.000,0.233,0
DATA,17001,18.34,11.66,38.9,33.5,26,Z2,30.000,-3.922,0
DATA,17259,19.61,10.39,34.6,30.1,25,Z2,30.000,-12.708,0
DATA,17517,19.98,10.02,33.4,29.4,25,Z2,30.000,-3.685,0
DATA,17775,19.87,10.13,33.8,29.9,25,Z2,30.000,1.165,0
DATA,18033,19.95,10.05,33.5,29.6,25,Z2,30.000,-0.791,0
DATA,18292,19.96,10.04,33.5,29.6,25,Z2,30.000,-0.166,0
DATA,18550,20.11,9.89,33.0,29.2,25,Z2,30.000,-1.495,0
DATA,18808,19.79,10.21,34.0,30.1,25,Z2,30.000,3.182,0
DATA,19066,20.41,9.59,32.0,28.3,25,Z2,30.000,-6.197,0
DATA,19324,20.53,9.47,31.6,28.2,25,Z2,30.000,-1.132,0
DATA,19583,20.06,9.94,33.1,29.5,25,Z2,30.000,4.643,0
DATA,19841,19.91,10.09,33.6,29.8,25,Z2,30.000,1.524,0
DATA,20099,19.90,10.10,33.7,29.8,25,Z2,30.000,0.100,0
DATA,20357,20.01,9.99,33.3,29.5,25,Z2,30.000,-1.062,0
DATA,20615,20.07,9.93,33.1,29.3,25,Z2,30.000,-0.633,0
DATA,20874,20.11,9.89,33.0,29.2,25,Z2,30.000,-0.459,0
DATA,21132,20.16,9.84,32.8,29.1,25,Z2,30.000,-0.485,0
DATA,21390,20.29,9.71,32.4,28.7,25,Z2,30.000,-1.269,0
BRIDGING #1 @20.34g hammer
DATA,21648,20.34,9.66,32.2,28.6,25,Z2,30.000,-0.492,1
DATA,21907,20.33,9.67,32.2,28.7,25,Z2,30.000,0.089,1
DATA,22164,20.30,9.70,32.3,28.8,25,Z2,30.000,0.318,1
DATA,22423,20.25,9.75,32.5,28.9,25,Z2,30.000,0.514,1
DATA,22681,20.75,9.25,30.8,27.5,25,Z2,30.000,-5.035,1
DATA,22939,23.31,6.69,22.3,20.5,23,Z2,30.000,-25.597,1
