======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 30.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 29.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 2
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
=== DATA START ===
DATA,100,0.00,30.00,100.0,84.4,36,Z1,3.000,300.000,0
DATA,218,0.00,30.00,100.0,75.9,34,Z1,6.000,0.000,0
DATA,476,0.90,29.10,97.0,73.8,34,Z1,8.910,-9.042,0
DATA,734,3.13,26.87,89.6,68.2,33,Z1,11.596,-22.286,0
DATA,992,3.01,26.99,90.0,69.7,33,Z1,14.296,1.261,0
DATA,1251,2.95,27.05,90.2,70.2,33,Z1,17.000,0.537,0
DATA,1509,2.89,27.11,90.4,70.7,33,Z1,19.711,0.584,0
DATA,1767,2.87,27.13,90.4,71.2,34,Z1,22.424,0.277,0
DATA,2025,2.86,27.14,90.5,71.6,34,Z1,25.138,0.018,0
DATA,2283,2.92,27.08,90.3,71.9,34,Z1,27.846,-0.551,0
DATA,2541,6.71,23.29,77.6,61.6,32,Z1,30.000,-37.869,0
DATA,2799,7.30,22.70,75.7,61.1,32,Z1,30.000,-5.919,0
DATA,3058,7.25,22.75,75.8,61.4,32,Z1,30.000,0.514,0
DATA,3316,7.23,22.77,75.9,61.4,32,Z1,30.000,0.218,0
DATA,3574,7.23,22.77,75.9,61.4,32,Z1,30.000,-0.085,0
DATA,3832,7.24,22.76,75.9,61.4,32,Z1,30.000,-0.044,0
DATA,4090,7.24,22.76,75.9,61.4,32,Z1,30.000,-0.063,0
DATA,4349,7.26,22.74,75.8,61.4,32,Z1,30.000,-0.119,0
DATA,4607,7.27,22.73,75.8,61.3,32,Z1,30.000,-0.159,0
DATA,4865,7.24,22.76,75.9,61.4,32,Z1,30.000,0.292,0
DATA,5123,7.25,22.75,75.8,61.4,32,Z1,30.000,-0.114,0
DATA,5381,7.16,22.84,76.1,61.6,32,Z1,30.000,0.958,0
DATA,5639,7.31,22.69,75.6,61.2,32,Z1,30.000,-1.554,0
DATA,5897,7.69,22.31,74.4,60.2,31,Z1,30.000,-3.755,0
BRIDGING #1 @7.59g hammer
DATA,6156,7.59,22.41,74.7,60.5,31,Z1,30.000,0.951,1
DATA,6414,7.48,22.52,75.1,60.8,31,Z1,30.000,1.173,1
DATA,6672,7.01,22.99,76.6,62.1,32,Z1,30.000,4.725,1
DATA,6930,7.14,22.86,76.2,61.6,32,Z1,30.000,-1.365,1
DATA,7188,7.40,22.60,75.3,60.9,31,Z1,30.000,-2.586,1
DATA,7446,7.29,22.71,75.7,61.3,32,Z1,30.000,1.106,1
DATA,7704,7.26,22.74,75.8,61.3,32,Z1,30.000,0.259,1
DATA,7962,7.46,22.54,75.1,60.8,31,Z1,30.000,-1.983,1
DATA,8221,7.41,22.59,75.3,61.0,32,Z1,30.000,0.566,1
DATA,8479,7.35,22.65,75.5,61.1,32,Z1,30.000,0.511,1
DATA,8737,7.39,22.61,75.4,61.0,32,Z1,30.000,-0.359,1
DATA,8995,7.36,22.64,75.5,61.1,32,Z1,30.000,0.329,1
BRIDGING #2 @7.34g hammer
DATA,9253,7.34,22.66,75.5,61.2,32,Z1,30.000,0.207,2
DATA,9512,7.38,22.62,75.4,61.0,32,Z1,30.000,-0.403,2
DATA,9769,7.43,22.57,75.2,60.9,31,Z1,30.000,-0.537,2
DATA,10028,7.48,22.52,75.1,60.8,31,Z1,30.000,-0.507,2
DATA,10286,7.56,22.44,74.8,60.6,31,Z1,30.000,-0.788,2
DATA,10544,7.75,22.25,74.2,60.1,31,Z1,30.000,-1.906,2
DATA,10802,7.70,22.30,74.3,60.3,31,Z1,30.000,0.470,2
DATA,11060,7.66,22.34,74.5,60.3,31,Z1,30.000,0.388,2
DATA,11318,7.67,22.33,74.4,60.3,31,Z1,30.000,-0.063,2
DATA,11577,7.67,22.33,74.4,60.3,31,Z1,30.000,-0.037,2
DATA,11835,7.70,22.30,74.3,60.2,31,Z1,30.000,-0.229,2
DATA,12093,7.70,22.30,74.3,60.2,31,Z1,30.000,-0.070,2
BRIDGING #3 @7.73g hammer
DATA,12351,7.73,22.27,74.2,60.2,31,Z1,30.000,-0.274,3
DATA,12609,7.72,22.28,74.3,60.2,31,Z1,30.000,0.122,3
DATA,12867,7.74,22.26,74.2,60.1,31,Z1,30.000,-0.200,3
DATA,13125,7.70,22.30,74.3,60.3,31,Z1,30.000,0.411,3
DATA,13383,7.80,22.20,74.0,60.0,31,Z1,30.000,-0.984,3
DATA,13642,7.84,22.16,73.9,59.9,31,Z1,30.000,-0.440,3
DATA,13900,7.87,22.13,73.8,59.8,31,Z1,30.000,-0.281,3
DATA,14158,7.90,22.10,73.7,59.7,31,Z1,30.000,-0.348,3
DATA,14416,7.86,22.14,73.8,59.9,31,Z1,30.000,0.481,3
DATA,14674,7.73,22.27,74.2,60.2,31,Z1,30.000,1.280,3
DATA,14932,7.77,22.23,74.1,60.1,31,Z1,30.000,-0.385,3
DATA,15191,7.88,22.12,73.7,59.8,31,Z1,30.000,-1.132,3
BRIDGING #4 @7.86g hammer
DATA,15449,7.86,22.14,73.8,59.9,31,Z1,30.000,0.211,4
DATA,15707,7.78,22.22,74.1,60.1,31,Z1,30.000,0.832,4
DATA,15965,7.65,22.35,74.5,60.4,31,Z1,30.000,1.269,4
DATA,16223,7.61,22.39,74.6,60.5,31,Z1,30.000,0.414,4
DATA,16481,7.92,22.08,73.6,59.6,31,Z1,30.000,-3.163,4
DATA,16739,8.99,21.01,70.0,56.7,31,Z1,30.000,-10.662,4
DATA,16997,8.95,21.05,70.2,57.1,31,Z1,30.000,0.433,4
DATA,17256,9.14,20.86,69.5,56.6,31,Z1,30.000,-1.961,4
DATA,17514,9.25,20.75,69.2,56.3,31,Z1,30.000,-1.084,4
DATA,17772,9.31,20.69,69.0,56.2,31,Z1,30.000,-0.588,4
DATA,18030,9.26,20.74,69.1,56.4,31,Z1,30.000,0.459,4
DATA,18288,10.73,19.27,64.2,52.2,30,Z1,30.000,-14.688,4
DATA,18547,11.12,18.88,62.9,51.6,30,Z1,30.000,-3.851,4
DATA,18805,11.15,18.85,62.8,51.6,30,Z1,30.000,-0.333,4
DATA,19063,13.53,16.47,54.9,45.0,28,Z1,30.000,-23.766,4
DATA,19321,15.42,14.58,48.6,40.4,27,Z2,30.000,-18.946,4
DATA,19579,15.26,14.74,49.1,41.4,28,Z2,30.000,1.661,4
DATA,19837,15.21,14.79,49.3,41.5,28,Z2,30.000,0.488,4
DATA,20096,15.20,14.80,49.3,41.5,28,Z2,30.000,0.114,4
DATA,20354,15.25,14.75,49.2,41.4,28,Z2,30.000,-0.514,4
DATA,20612,15.26,14.74,49.1,41.4,28,Z2,30.000,-0.093,4
DATA,20870,15.26,14.74,49.1,41.4,28,Z2,30.000,0.000,4
DATA,21128,16.37,13.63,45.4,38.2,27,Z2,30.000,-11.121,4
DATA,21386,16.42,13.58,45.3,38.4,27,Z2,30.000,-0.514,4
DATA,21645,16.44,13.56,45.2,38.4,27,Z2,30.000,-0.248,4
DATA,21903,16.28,13.72,45.7,38.9,27,Z2,30.000,1.676,4
DATA,22161,16.25,13.75,45.8,38.9,27,Z2,30.000,0.314,4
DATA,22419,16.32,13.68,45.6,38.7,27,Z2,30.000,-0.780,4
DATA,22677,16.48,13.52,45.1,38.3,27,Z2,30.000,-1.543,4
