======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 30.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 29.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 4
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
=== DATA START ===
DATA,100,0.00,30.00,100.0,84.4,36,Z1,3.000,300.000,0
DATA,218,0.00,30.00,100.0,75.9,34,Z1,6.000,0.000,0
DATA,476,1.34,28.66,95.5,72.6,34,Z1,8.866,-13.426,0
DATA,735,1.99,28.01,93.4,71.6,34,Z1,11.667,-6.493,0
DATA,993,1.94,28.06,93.5,72.3,34,Z1,14.472,0.507,0
DATA,1251,2.02,27.98,93.3,72.5,34,Z1,17.270,-0.810,0
DATA,1509,2.05,27.95,93.2,72.9,34,Z1,20.065,-0.296,0
DATA,1768,2.04,27.96,93.2,73.3,34,Z1,22.861,0.111,0
DATA,2026,2.03,27.97,93.2,73.8,34,Z1,25.658,0.103,0
DATA,2284,2.06,27.94,93.1,74.1,34,Z1,28.452,-0.259,0
DATA,2542,6.57,23.43,78.1,61.7,32,Z1,30.000,-45.143,0
DATA,2800,12.13,17.87,59.6,47.5,29,Z1,30.000,-55.634,0
DATA,3059,13.04,16.96,56.5,46.6,29,Z1,30.000,-9.109,0
DATA,3317,14.13,15.87,52.9,43.9,28,Z1,30.000,-10.806,0
DATA,3575,14.03,15.97,53.2,44.4,28,Z1,30.000,0.910,0
DATA,3833,14.01,15.99,53.3,44.5,28,Z1,30.000,0.277,0
DATA,4092,14.09,15.91,53.0,44.3,28,Z1,30.000,-0.795,0
DATA,4350,14.14,15.86,52.9,44.1,28,Z1,30.000,-0.492,0
DATA,4608,15.52,14.48,48.3,40.3,27,Z2,30.000,-13.836,0
DATA,4866,15.89,14.11,47.0,39.7,27,Z2,30.000,-3.733,0
DATA,5124,15.96,14.04,46.8,39.6,27,Z2,30.000,-0.644,0
DATA,5383,16.28,13.72,45.7,38.7,27,Z2,30.000,-3.196,0
DATA,5641,16.35,13.65,45.5,38.6,27,Z2,30.000,-0.725,0
DATA,5899,16.30,13.70,45.7,38.8,27,Z2,30.000,0.518,0
DATA,6157,15.70,14.30,47.7,40.4,27,Z2,30.000,5.975,0
DATA,6415,15.83,14.17,47.2,39.9,27,Z2,30.000,-1.332,0
DATA,6674,16.97,13.03,43.4,36.7,27,Z2,30.000,-11.387,0
DATA,6932,17.96,12.04,40.1,34.3,26,Z2,30.000,-9.918,0
DATA,7190,17.90,12.10,40.3,34.8,26,Z2,30.000,0.662,0
DATA,7448,17.91,12.09,40.3,34.7,26,Z2,30.000,-0.159,0
DATA,7706,18.06,11.94,39.8,34.3,26,Z2,30.000,-1.495,0
DATA,7965,17.77,12.23,40.8,35.2,26,Z2,30.000,2.945,0
DATA,8223,17.78,12.22,40.7,35.0,26,Z2,30.000,-0.140,0
DATA,8481,17.94,12.06,40.2,34.6,26,Z2,30.000,-1.580,0
DATA,8739,19.12,10.88,36.3,31.3,26,Z2,30.000,-11.787,0
DATA,8997,19.80,10.20,34.0,29.8,25,Z2,30.000,-6.792,0
DATA,9256,19.79,10.21,34.0,30.0,25,Z2,30.000,0.055,0
DATA,9514,19.79,10.21,34.0,30.0,25,Z2,30.000,0.048,0
DATA,9772,19.84,10.16,33.9,29.9,25,Z2,30.000,-0.522,0
DATA,10030,19.82,10.18,33.9,29.9,25,Z2,30.000,0.152,0
DATA,10289,19.78,10.22,34.1,30.1,25,Z2,30.000,0.477,0
DATA,10547,19.78,10.22,34.1,30.1,25,Z2,30.000,0.004,0
DATA,10805,19.99,10.01,33.4,29.4,25,Z2,30.000,-2.183,0
DATA,11063,20.01,9.99,33.3,29.5,25,Z2,30.000,-0.159,0
DATA,11321,19.98,10.02,33.4,29.6,25,Z2,30.000,0.281,0
DATA,11580,19.99,10.01,33.4,29.5,25,Z2,30.000,-0.074,0
DATA,11838,20.00,10.00,33.3,29.5,25,Z2,30.000,-0.067,0
DATA,12096,20.04,9.96,33.2,29.4,25,Z2,30.000,-0.396,0
BRIDGING #1 @20.03g hammer
DATA,12354,20.03,9.97,33.2,29.4,25,Z2,30.000,0.048,1
DATA,12613,19.97,10.03,33.4,29.6,25,Z2,30.000,0.662,1
DATA,12870,20.01,9.99,33.3,29.5,25,Z2,30.000,-0.433,1
DATA,13129,20.00,10.00,33.3,29.5,25,Z2,30.000,0.092,1
DATA,13387,20.42,9.58,31.9,28.3,25,Z2,30.000,-4.210,1
DATA,13645,21.36,8.64,28.8,25.8,24,Z2,30.000,-9.423,1
DATA,13903,21.37,8.63,28.8,26.1,25,Z2,30.000,-0.104,1
DATA,14161,21.38,8.62,28.7,26.1,25,Z2,30.000,-0.048,1
DATA,14420,21.31,8.69,29.0,26.2,25,Z2,30.000,0.629,1
DATA,14678,21.36,8.64,28.8,26.1,25,Z2,30.000,-0.477,1
DATA,14936,21.34,8.66,28.9,26.2,25,Z2,30.000,0.207,1
DATA,15194,22.82,7.18,23.9,22.0,24,Z2,30.000,-14.776,1
DATA,15452,23.16,6.84,22.8,21.5,24,Z2,30.000,-3.426,1
DATA,15711,23.45,6.55,21.8,20.8,23,Z2,30.000,-2.852,1
DATA,15969,23.32,6.68,22.3,21.2,24,Z2,30.000,1.273,1
DATA,16227,22.97,7.03,23.4,22.2,24,Z2,30.000,3.537,1
DATA,16485,23.58,6.42,21.4,20.4,23,Z2,30.000,-6.164,1
DATA,16744,23.35,6.65,22.2,21.2,24,Z2,30.000,2.301,1
DATA,17002,24.36,5.64,18.8,18.3,23,Z2,30.000,-10.096,1
DATA,17260,25.82,4.18,13.9,14.5,22,Z3,30.000,-14.624,1
DATA,17518,25.77,4.23,14.1,15.1,22,Z3,30.000,0.584,1
DATA,17776,25.88,4.12,13.7,14.8,22,Z3,30.000,-1.173,1
DATA,18035,25.86,4.14,13.8,14.9,22,Z3,30.000,0.248,1
DATA,18293,25.76,4.24,14.1,15.1,22,Z3,30.000,0.977,1
DATA,18551,25.75,4.25,14.2,15.1,22,Z3,30.000,0.129,1
DATA,18809,25.79,4.21,14.0,15.0,22,Z3,30.000,-0.388,1
DATA,19068,26.24,3.76,12.5,13.8,22,Z3,30.000,-4.536,1
DATA,19326,26.42,3.58,11.9,13.4,22,Z3,30.000,-1.831,1
DATA,19584,26.37,3.63,12.1,13.6,22,Z3,30.000,0.562,1
DATA,19842,26.38,3.62,12.1,13.6,22,Z3,30.000,-0.107,1
DATA,20101,26.43,3.57,11.9,13.4,22,Z3,30.000,-0.548,1
DATA,20359,26.41,3.59,12.0,13.5,22,Z3,30.000,0.185,1
DATA,20617,26.44,3.56,11.9,13.4,22,Z3,30.000,-0.266,1
DATA,20875,26.47,3.53,11.8,13.3,22,Z3,30.000,-0.333,1
DATA,21133,27.08,2.92,9.7,11.6,22,Z3,30.000,-6.052,1
DATA,21392,27.14,2.86,9.5,11.6,22,Z3,30.000,-0.585,1
DATA,21650,27.14,2.86,9.5,11.6,22,Z3,30.000,-0.063,1
DATA,21908,27.12,2.88,9.6,11.7,22,Z3,30.000,0.237,1
DATA,22166,27.17,2.83,9.4,11.6,22,Z3,30.000,-0.496,1
DATA,22425,27.12,2.88,9.6,11.7,22,Z3,30.000,0.525,1
DATA,22683,27.17,2.83,9.4,11.6,22,Z3,30.000,-0.499,1
DATA,22941,27.46,2.54,8.5,10.8,21,Z3,30.000,-2.952,1
