No,Scenario,Controller,Setpoint_g,TrialNo,FileName,FinalMass_g,FinalError_g,FinalError_pct,AbsError_g,AbsError_pct,MaxOvershoot_g,MaxOvershoot_pct,Duration_s,TimeTo90_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,Status,Valid,StopReason,EarlyStop_g,Notes,WithinTolerance
29,Fixed PID,Fixed PID,25.0,9,Fixed PID_SP25_trial09.txt,25.37,0.37,1.48,0.37,1.48,0.37,1.48,49.46,47.992,45.45,47.992,8,AKURAT,True,TARGET,0.4,,1
30,Fixed PID,Fixed PID,25.0,10,Fixed PID_SP25_trial10.txt,25.03,0.03,0.11,0.03,0.11,0.03,0.11,45.33,35.599,33.057,41.797,4,AKURAT,True,TARGET,0.4,,1
31,Fixed PID,Fixed PID,30.0,1,Fixed_PID_SP30_trial01.txt,29.78,-0.22,-0.72,0.22,0.72,0.0,0.0,80.69,14.419,13.685,76.649,1,AKURAT,True,TARGET,0.4,,1
32,Fixed PID,Fixed PID,30.0,2,Fixed_PID_SP30_trial02.txt,29.96,-0.04,-0.12,0.04,0.12,0.0,0.0,39.11,31.455,30.721,35.844,4,AKURAT,True,TARGET,0.4,,1
33,Fixed PID,Fixed PID,30.0,3,Fixed_PID_SP30_trial03.txt,29.63,-0.37,-1.23,0.37,1.23,0.0,0.0,24.92,22.941,22.206,23.199,2,AKURAT,True,TARGET,0.4,,1
34,Fixed PID,Fixed PID,30.0,4,Fixed_PID_SP30_trial04.txt,30.14,0.14,0.46,0.14,0.46,0.14,0.46,33.18,21.133,18.591,29.655,1,AKURAT,True,TARGET,0.4,,1
35,Fixed PID,Fixed PID,30.0,5,Fixed_PID_SP30_trial05.txt,30.06,0.06,0.21,0.06,0.21,0.06,0.21,20.53,17.002,16.268,17.26,1,AKURAT,True,TARGET,0.4,,1
36,Fixed PID,Fixed PID,30.0,6,Fixed_PID_SP30_trial06.txt,30.21,0.21,0.7,0.21,0.7,0.21,0.7,24.66,20.101,17.559,20.359,1,AKURAT,True,TARGET,0.4,,1
37,Fixed PID,Fixed PID,30.0,7,Fixed_PID_SP30_trial07.txt,29.04,-0.96,-3.19,0.96,3.19,0.0,0.0,24.92,19.841,19.107,19.841,1,AKURAT,True,TARGET,0.4,,1
38,Fixed PID,Fixed PID,30.0,8,Fixed_PID_SP30_trial08.txt,30.71,0.71,2.35,0.71,2.35,0.72,2.4,33.18,29.394,26.852,31.46,1,AKURAT,True,TARGET,0.4,,1
39,Fixed PID,Fixed PID,30.0,9,Fixed_PID_SP30_trial09.txt,30.47,0.47,1.56,0.47,1.56,0.47,1.56,41.45,26.04,25.306,26.298,1,AKURAT,True,TARGET,0.4,,1
40,Fixed PID,Fixed PID,30.0,10,Fixed_PID_SP30_trial10.txt,30.48,0.48,1.59,0.48,1.59,0.48,1.59,22.6,17.26,14.718,19.068,0,AKURAT,True,TARGET,0.4,,1
41,GS PID,Gain Scheduling PID,15.0,1,GSPID_SSP15_trial01.txt,14.63,-0.37,-2.45,0.37,2.45,0.0,0.0,12.01,10.546,9.812,10.546,1,AKURAT,True,TARGET,0.4,,1
42,GS PID,Gain Scheduling PID,15.0,2,GSPID_SSP15_trial02.txt,14.76,-0.24,-1.6,0.24,1.6,0.0,0.0,16.65,14.934,14.2,15.192,0,AKURAT,True,TARGET,0.4,,1
43,GS PID,Gain Scheduling PID,15.0,3,GSPID_SSP15_trial03.txt,15.16,0.16,1.07,0.16,1.07,0.19,1.25,13.56,10.803,10.069,10.803,1,AKURAT,True,TARGET,0.4,,1
44,GS PID,Gain Scheduling PID,15.0,4,GSPID_SSP15_trial04.txt,14.93,-0.07,-0.5,0.07,0.5,0.0,0.0,12.52,10.804,8.263,11.062,0,AKURAT,True,TARGET,0.4,,1
45,GS PID,Gain Scheduling PID,15.0,5,GSPID_SSP15_trial05.txt,16.03,1.03,6.88,1.03,6.88,1.12,7.43,12.52,10.803,10.069,,1,OVERSHOOT,True,TARGET,0.4,,0
46,GS PID,Gain Scheduling PID,15.0,6,GSPID_SSP15_trial06.txt,14.72,-0.28,-1.84,0.28,1.84,0.0,0.0,8.13,4.864,2.581,6.672,0,AKURAT,True,TARGET,0.4,,1
47,GS PID,Gain Scheduling PID,15.0,7,GSPID_SSP15_trial07.txt,15.04,0.04,0.24,0.04,0.24,0.04,0.24,37.32,29.658,28.924,33.79,0,AKURAT,True,TARGET,0.4,,1
48,GS PID,Gain Scheduling PID,15.0,8,GSPID_SSP15_trial08.txt,15.35,0.35,2.36,0.35,2.36,0.41,2.76,14.59,12.871,12.395,12.871,0,AKURAT,True,TARGET,0.4,,1
49,GS PID,Gain Scheduling PID,15.0,9,GSPID_SSP15_trial09.txt,14.82,-0.18,-1.17,0.18,1.17,0.0,0.0,10.46,8.996,6.455,8.996,0,AKURAT,True,TARGET,0.4,,1
50,GS PID,Gain Scheduling PID,15.0,10,GSPID_SSP15_trial10.txt,14.9,-0.1,-0.65,0.1,0.65,0.09,0.6,16.66,13.129,12.653,14.679,0,AKURAT,True,TARGET,0.4,,1
