Scenario,Setpoint_g,TrialNo,Column,RegeneratedValue,CanonicalValue,AbsoluteDifference,Tolerance,Status,Notes
Fixed PID,15.0,3,WithinTolerance,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,4,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,4,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,4,Setpoint_g,15.0,15.0,,EXACT,MATCH,Exact match
Fixed PID,15.0,4,TrialNo,4,4,,EXACT,MATCH,Exact match
Fixed PID,15.0,4,FileName,Fixed PID_SP15_trial04.txt,Fixed PID_SP15_trial04.txt,,EXACT,MATCH,Exact match
Fixed PID,15.0,4,FinalMass_g,14.84,14.84,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,4,FinalError_g,-0.16,-0.16,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,4,FinalError_pct,-1.06,-1.06,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,4,AbsError_g,0.16,0.16,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,4,AbsError_pct,1.06,1.06,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,4,MaxOvershoot_g,0.0,0.0,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,4,MaxOvershoot_pct,0.0,0.0,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,4,Duration_s,18.72,18.72,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,4,TimeTo90_s,14.933,14.933,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,4,RiseTime_10_90_s,12.392,12.392,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,4,SettlingTime_s,16.999,16.999,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,4,BridgingCount,2,2,,EXACT,MATCH,Exact match
Fixed PID,15.0,4,Status,AKURAT,AKURAT,,EXACT,MATCH,Exact match
Fixed PID,15.0,4,Valid,True,True,,EXACT,MATCH,Exact match
Fixed PID,15.0,4,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
