                                                                =
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 15.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 14.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 2
Setpoint_g: 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.02,14.98,99.9%,OPEN_SLOW,20,Z1
DATA,218,0.19,14.81,98.8%,OPEN_SLOW,20,Z1
DATA,476,0.29,14.71,98.1%,OPEN_SLOW,20,Z1
DATA,735,0.38,14.62,97.5%,OPEN_SLOW,20,Z1
DATA,993,0.20,14.80,98.7%,OPEN_SLOW,20,Z1
DATA,1251,0.29,14.71,98.0%,OPEN_SLOW,20,Z1
DATA,1509,0.47,14.53,96.9%,OPEN_SLOW,20,Z1
DATA,1768,0.37,14.63,97.5%,OPEN_SLOW,20,Z1
DATA,2026,0.41,14.59,97.3%,OPEN_SLOW,20,Z1
DATA,2284,0.35,14.65,97.7%,OPEN_SLOW,20,Z1
DATA,2543,0.85,14.15,94.3%,OPEN_SLOW,20,Z1
DATA,2801,0.85,14.15,94.3%,OPEN_SLOW,20,Z1
DATA,3059,1.05,13.95,93.0%,OPEN_SLOW,20,Z1
DATA,3318,1.09,13.91,92.7%,OPEN_SLOW,20,Z1
DATA,3576,0.80,14.20,94.7%,OPEN_SLOW,20,Z1
DATA,3834,0.84,14.16,94.4%,OPEN_SLOW,20,Z1
DATA,4092,0.91,14.09,93.9%,OPEN_SLOW,20,Z1
DATA,4351,0.90,14.10,94.0%,OPEN_SLOW,20,Z1
DATA,4609,1.00,14.00,93.3%,OPEN_SLOW,20,Z1
DATA,4867,0.98,14.02,93.5%,OPEN_SLOW,20,Z1
DATA,5126,0.97,14.03,93.5%,OPEN_SLOW,20,Z1
DATA,5384,0.97,14.03,93.5%,OPEN_SLOW,20,Z1
