======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 30.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 29.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 7
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.04,29.96,99.9%,OPEN_SLOW,20,Z1
DATA,217,0.03,29.97,99.9%,OPEN_SLOW,20,Z1
DATA,475,0.02,29.98,99.9%,OPEN_SLOW,20,Z1
DATA,734,0.03,29.97,99.9%,OPEN_SLOW,20,Z1
DATA,992,0.05,29.95,99.8%,OPEN_SLOW,20,Z1
DATA,1250,0.05,29.95,99.8%,OPEN_SLOW,20,Z1
DATA,1509,0.02,29.98,99.9%,OPEN_SLOW,20,Z1
DATA,1767,0.04,29.96,99.9%,OPEN_SLOW,20,Z1
DATA,2025,0.02,29.98,99.9%,OPEN_SLOW,20,Z1
DATA,2283,0.04,29.96,99.9%,OPEN_SLOW,20,Z1
DATA,2542,0.06,29.94,99.8%,OPEN_SLOW,20,Z1
DATA,2800,0.06,29.94,99.8%,OPEN_SLOW,20,Z1
BRIDGING #1 @0.04g hammer
DATA,3058,0.04,29.96,99.9%,OPEN_SLOW,20,Z1
DATA,3317,0.09,29.91,99.7%,OPEN_SLOW,20,Z1
DATA,3575,0.04,29.96,99.9%,OPEN_SLOW,20,Z1
DATA,3833,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,4091,0.82,29.18,97.3%,OPEN_SLOW,20,Z1
DATA,4350,2.72,27.28,90.9%,OPEN_SLOW,20,Z1
DATA,4608,2.78,27.22,90.7%,OPEN_SLOW,20,Z1
DATA,4866,2.84,27.16,90.5%,OPEN_SLOW,20,Z1
DATA,5124,2.88,27.12,90.4%,OPEN_SLOW,20,Z1
DATA,5383,2.87,27.13,90.4%,OPEN_SLOW,20,Z1
DATA,5641,2.70,27.30,91.0%,OPEN_SLOW,20,Z1
DATA,5899,2.98,27.02,90.1%,OPEN_SLOW,20,Z1
DATA,6158,3.10,26.90,89.7%,OPEN_SLOW,20,Z1
DATA,6416,3.10,26.90,89.7%,OPEN_SLOW,20,Z1
DATA,6674,3.00,27.00,90.0%,OPEN_SLOW,20,Z1
DATA,6932,3.00,27.00,90.0%,OPEN_SLOW,20,Z1
