======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 30.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 29.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 1
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,218,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,476,0.06,29.94,99.8%,OPEN_SLOW,20,Z1
DATA,734,0.06,29.94,99.8%,OPEN_SLOW,20,Z1
DATA,993,0.04,29.96,99.9%,OPEN_SLOW,20,Z1
DATA,1251,0.01,29.99,100.0%,OPEN_SLOW,20,Z1
DATA,1509,0.01,29.99,100.0%,OPEN_SLOW,20,Z1
DATA,1767,0.00,30.00,100.0%,OPEN_SLOW,20,Z1
DATA,2026,0.03,29.97,99.9%,OPEN_SLOW,20,Z1
DATA,2284,0.03,29.97,99.9%,OPEN_SLOW,20,Z1
DATA,2542,0.72,29.28,97.6%,OPEN_SLOW,20,Z1
DATA,2801,0.96,29.04,96.8%,OPEN_SLOW,20,Z1
DATA,3059,0.94,29.06,96.9%,OPEN_SLOW,20,Z1
DATA,3317,0.97,29.03,96.8%,OPEN_SLOW,20,Z1
DATA,3576,0.96,29.04,96.8%,OPEN_SLOW,20,Z1
DATA,3834,0.98,29.02,96.7%,OPEN_SLOW,20,Z1
DATA,4092,1.00,29.00,96.7%,OPEN_SLOW,20,Z1
DATA,4351,1.01,28.99,96.6%,OPEN_SLOW,20,Z1
DATA,4609,1.40,28.60,95.3%,OPEN_SLOW,20,Z1
DATA,4867,1.45,28.55,95.2%,OPEN_SLOW,20,Z1
DATA,5125,1.45,28.55,95.2%,OPEN_SLOW,20,Z1
DATA,5384,1.41,28.59,95.3%,OPEN_SLOW,20,Z1
DATA,5642,1.43,28.57,95.2%,OPEN_SLOW,20,Z1
DATA,5900,1.43,28.57,95.2%,OPEN_SLOW,20,Z1
BRIDGING #1 @1.40g hammer
DATA,6159,1.40,28.60,95.3%,OPEN_SLOW,20,Z1
DATA,6417,1.40,28.60,95.3%,OPEN_SLOW,20,Z1
DATA,6675,1.39,28.61,95.4%,OPEN_SLOW,20,Z1
DATA,6934,1.40,28.60,95.3%,OPEN_SLOW,20,Z1
DATA,7192,1.64,28.36,94.5%,OPEN_SLOW,20,Z1
DATA,7450,2.57,27.43,91.4%,OPEN_SLOW,20,Z1
DATA,7708,2.59,27.41,91.4%,OPEN_SLOW,20,Z1
DATA,7967,2.66,27.34,91.1%,OPEN_SLOW,20,Z1
DATA,8225,2.40,27.60,92.0%,OPEN_SLOW,20,Z1
DATA,8483,2.52,27.48,91.6%,OPEN_SLOW,20,Z1
DATA,8742,2.75,27.25,90.8%,OPEN_SLOW,20,Z1
DATA,9000,3.17,26.83,89.4%,OPEN_SLOW,20,Z1
DATA,9258,3.21,26.79,89.3%,OPEN_SLOW,20,Z1
DATA,9516,3.06,26.94,89.8%,OPEN_SLOW,20,Z1
DATA,9775,3.07,26.93,89.8%,OPEN_SLOW,20,Z1
DATA,10033,3.24,26.76,89.2%,OPEN_SLOW,20,Z1
DATA,10291,3.09,26.91,89.7%,OPEN_SLOW,20,Z1
DATA,10550,3.30,26.70,89.0%,OPEN_SLOW,20,Z1
DATA,10808,3.10,26.90,89.7%,OPEN_SLOW,20,Z1
                                                                _SLOW,20,Z1
DATA,11325,3.37,26.63,88.8%,OPEN_SLOW,20,Z1
DATA,11583,3.11,26.89,89.6%,OPEN_SLOW,20,Z1
DATA,11841,3.11,26.89,89.6%,OPEN_SLOW,20,Z1
DATA,12100,3.31,26.69,89.0%,OPEN_SLOW,20,Z1
BRIDGING #2 @3.12g hammer
DATA,12358,3.12,26.88,89.6%,OPEN_SLOW,20,Z1
DATA,12616,3.01,26.99,90.0%,OPEN_SLOW,20,Z1
DATA,12874,3.09,26.91,89.7%,OPEN_SLOW,20,Z1
DATA,13133,3.05,26.95,89.8%,OPEN_SLOW,20,Z1
DATA,13391,3.46,26.54,88.5%,OPEN_SLOW,20,Z1
DATA,13649,5.05,24.95,83.2%,OPEN_SLOW,20,Z1
DATA,13907,4.87,25.13,83.8%,OPEN_SLOW,20,Z1
DATA,14166,4.89,25.11,83.7%,OPEN_SLOW,20,Z1
DATA,14424,4.86,25.14,83.8%,OPEN_SLOW,20,Z1
DATA,14682,4.79,25.21,84.0%,OPEN_SLOW,20,Z1
DATA,14941,4.82,25.18,83.9%,OPEN_SLOW,20,Z1
DATA,15199,4.78,25.22,84.1%,OPEN_SLOW,20,Z1
DATA,15457,4.75,25.25,84.2%,OPEN_SLOW,20,Z1
DATA,15715,4.76,25.24,84.1%,OPEN_SLOW,20,Z1
DATA,15974,4.76,25.24,84.1%,OPEN_SLOW,20,Z1
DATA,16232,4.74,25.26,84.2%,OPEN_SLOW,20,Z1
DATA,16490,4.76,25.24,84.1%,OPEN_SLOW,20,Z1
DATA,16749,4.75,25.25,84.2%,OPEN_SLOW,20,Z1
DATA,17007,4.76,25.24,84.1%,OPEN_SLOW,20,Z1
DATA,17265,4.76,25.24,84.1%,OPEN_SLOW,20,Z1
DATA,17524,4.76,25.24,84.1%,OPEN_SLOW,20,Z1
DATA,17782,4.73,25.27,84.2%,OPEN_SLOW,20,Z1
DATA,18040,4.74,25.26,84.2%,OPEN_SLOW,20,Z1
DATA,18299,4.74,25.26,84.2%,OPEN_SLOW,20,Z1
BRIDGING #3 @4.74g hammer
DATA,18557,4.74,25.26,84.2%,OPEN_SLOW,20,Z1
DATA,18815,4.78,25.22,84.1%,OPEN_SLOW,20,Z1
DATA,19073,4.78,25.22,84.1%,OPEN_SLOW,20,Z1
DATA,19332,4.75,25.25,84.2%,OPEN_SLOW,20,Z1
DATA,19590,5.01,24.99,83.3%,OPEN_SLOW,20,Z1
DATA,19848,5.42,24.58,81.9%,OPEN_SLOW,20,Z1
DATA,20106,5.37,24.63,82.1%,OPEN_SLOW,20,Z1
DATA,20365,5.32,24.68,82.3%,OPEN_SLOW,20,Z1
DATA,20623,5.35,24.65,82.2%,OPEN_SLOW,20,Z1
DATA,20881,5.31,24.69,82.3%,OPEN_SLOW,20,Z1
DATA,21140,5.36,24.64,82.1%,OPEN_SLOW,20,Z1
DATA,21398,5.37,24.63,82.1%,OPEN_SLOW,20,Z1
DATA,21656,5.36,24.64,82.1%,OPEN_SLOW,20,Z1
DATA,21914,5.37,24.63,82.1%,OPEN_SLOW,20,Z1
DATA,22173,5.39,24.61,82.0%,OPEN_SLOW,20,Z1
DATA,22431,5.36,24.64,82.1%,OPEN_SLOW,20,Z1
DATA,22689,5.33,24.67,82.2%,OPEN_SLOW,20,Z1
DATA,22948,5.24,24.76,82.5%,OPEN_SLOW,20,Z1
DATA,23206,5.19,24.81,82.7%,OPEN_SLOW,20,Z1
DATA,23464,5.24,24.76,82.5%,OPEN_SLOW,20,Z1
DATA,23723,5.31,24.69,82.3%,OPEN_SLOW,20,Z1
DATA,23981,5.30,24.70,82.3%,OPEN_SLOW,20,Z1
DATA,24239,5.33,24.67,82.2%,OPEN_SLOW,20,Z1
DATA,24498,5.46,24.54,81.8%,OPEN_SLOW,20,Z1
BRIDGING #4 @5.39g hammer
DATA,24756,5.39,24.61,82.0%,OPEN_SLOW,20,Z1
DATA,25014,5.40,24.60,82.0%,OPEN_SLOW,20,Z1
DATA,25272,5.51,24.49,81.6%,OPEN_SLOW,20,Z1
DATA,25531,5.39,24.61,82.0%,OPEN_SLOW,20,Z1
DATA,25789,6.01,23.99,80.0%,OPEN_SLOW,20,Z1
DATA,26047,6.79,23.21,77.4%,OPEN_SLOW,20,Z1
DATA,26306,6.60,23.40,78.0%,OPEN_SLOW,20,Z1
DATA,26564,7.02,22.98,76.6%,OPEN_SLOW,20,Z1
DATA,26822,6.74,23.26,77.5%,OPEN_SLOW,20,Z1
DATA,27080,6.45,23.55,78.5%,OPEN_SLOW,20,Z1
DATA,27339,6.48,23.52,78.4%,OPEN_SLOW,20,Z1
DATA,27597,6.90,23.10,77.0%,OPEN_SLOW,20,Z1
DATA,27855,6.91,23.09,77.0%,OPEN_SLOW,20,Z1
DATA,28114,6.84,23.16,77.2%,OPEN_SLOW,20,Z1
DATA,28372,6.78,23.22,77.4%,OPEN_SLOW,20,Z1
DATA,28630,6.79,23.21,77.4%,OPEN_SLOW,20,Z1
DATA,28889,6.80,23.20,77.3%,OPEN_SLOW,20,Z1
DATA,29147,6.74,23.26,77.5%,OPEN_SLOW,20,Z1
DATA,29405,7.09,22.91,76.4%,OPEN_SLOW,20,Z1
DATA,29664,7.42,22.58,75.3%,OPEN_SLOW,20,Z1
DATA,29922,7.40,22.60,75.3%,OPEN_SLOW,20,Z1
DATA,30180,7.19,22.81,76.0%,OPEN_SLOW,20,Z1
DATA,30438,7.23,22.77,75.9%,OPEN_SLOW,20,Z1
DATA,30697,7.33,22.67,75.6%,OPEN_SLOW,20,Z1
BRIDGING #5 @7.30g hammer
DATA,30955,7.30,22.70,75.7%,OPEN_SLOW,20,Z1
DATA,31214,7.38,22.62,75.4%,OPEN_SLOW,20,Z1
DATA,31472,7.33,22.67,75.6%,OPEN_SLOW,20,Z1
DATA,31730,7.27,22.73,75.8%,OPEN_SLOW,20,Z1
DATA,31988,8.09,21.91,73.0%,OPEN_SLOW,20,Z1
DATA,32246,9.46,20.54,68.5%,OPEN_SLOW,20,Z1
DATA,32505,9.32,20.68,68.9%,OPEN_SLOW,20,Z1
DATA,32763,9.30,20.70,69.0%,OPEN_SLOW,20,Z1
DATA,33021,9.30,20.70,69.0%,OPEN_SLOW,20,Z1
DATA,33280,9.30,20.70,69.0%,OPEN_SLOW,20,Z1
DATA,33538,9.27,20.73,69.1%,OPEN_SLOW,20,Z1
DATA,33796,9.37,20.63,68.8%,OPEN_SLOW,20,Z1
DATA,34054,9.38,20.62,68.7%,OPEN_SLOW,20,Z1
DATA,34313,9.36,20.64,68.8%,OPEN_SLOW,20,Z1
DATA,34571,9.36,20.64,68.8%,OPEN_SLOW,20,Z1
DATA,34829,9.34,20.66,68.9%,OPEN_SLOW,20,Z1
DATA,35088,9.38,20.62,68.7%,OPEN_SLOW,20,Z1
DATA,35346,9.40,20.60,68.7%,OPEN_SLOW,20,Z1
DATA,35604,9.97,20.03,66.8%,OPEN_SLOW,20,Z1
DATA,35863,10.60,19.40,64.7%,OPEN_SLOW,20,Z1
DATA,36121,10.80,19.20,64.0%,OPEN_SLOW,20,Z1
DATA,36379,10.80,19.20,64.0%,OPEN_SLOW,20,Z1
DATA,36638,10.82,19.18,63.9%,OPEN_SLOW,20,Z1
DATA,36896,10.78,19.22,64.1%,OPEN_SLOW,20,Z1
DATA,37154,10.81,19.19,64.0%,OPEN_SLOW,20,Z1
DATA,37413,10.76,19.24,64.1%,OPEN_SLOW,20,Z1
DATA,37671,10.87,19.13,63.8%,OPEN_SLOW,20,Z1
DATA,37929,11.16,18.84,62.8%,OPEN_SLOW,20,Z1
DATA,38187,11.14,18.86,62.9%,OPEN_SLOW,20,Z1
DATA,38446,11.11,18.89,63.0%,OPEN_SLOW,20,Z1
DATA,38704,11.09,18.91,63.0%,OPEN_SLOW,20,Z1
DATA,38962,11.07,18.93,63.1%,OPEN_SLOW,20,Z1
DATA,39221,11.08,18.92,63.1%,OPEN_SLOW,20,Z1
DATA,39479,11.07,18.93,63.1%,OPEN_SLOW,20,Z1
DATA,39737,10.96,19.04,63.5%,OPEN_SLOW,20,Z1
DATA,39996,10.90,19.10,63.7%,OPEN_SLOW,20,Z1
BRIDGING #6 @11.22g hammer
DATA,40254,11.22,18.78,62.6%,OPEN_SLOW,20,Z1
DATA,40512,11.43,18.57,61.9%,OPEN_SLOW,20,Z1
DATA,40770,11.10,18.90,63.0%,OPEN_SLOW,20,Z1
DATA,41029,11.36,18.64,62.1%,OPEN_SLOW,20,Z1
DATA,41287,13.01,16.99,56.6%,OPEN_SLOW,20,Z1
DATA,41545,15.96,14.04,46.8%,OPEN_SLOW,20,Z2
DATA,41803,16.04,13.96,46.5%,OPEN_SLOW,20,Z2
DATA,42062,16.18,13.82,46.1%,OPEN_SLOW,20,Z2
DATA,42320,15.97,14.03,46.8%,OPEN_SLOW,20,Z2
DATA,42578,16.18,13.82,46.1%,OPEN_SLOW,20,Z2
DATA,42837,16.20,13.80,46.0%,OPEN_SLOW,20,Z2
DATA,43095,16.18,13.82,46.1%,OPEN_SLOW,20,Z2
DATA,43353,16.05,13.95,46.5%,OPEN_SLOW,20,Z2
DATA,43611,16.02,13.98,46.6%,OPEN_SLOW,20,Z2
DATA,43870,16.84,13.16,43.9%,OPEN_SLOW,20,Z2
DATA,44128,17.39,12.61,42.0%,OPEN_SLOW,20,Z2
DATA,44386,17.21,12.79,42.6%,OPEN_SLOW,20,Z2
DATA,44645,17.08,12.92,43.1%,OPEN_SLOW,20,Z2
DATA,44903,17.09,12.91,43.0%,OPEN_SLOW,20,Z2
DATA,45161,17.11,12.89,43.0%,OPEN_SLOW,20,Z2
DATA,45420,17.18,12.82,42.7%,OPEN_SLOW,20,Z2
DATA,45678,17.27,12.73,42.4%,OPEN_SLOW,20,Z2
DATA,45936,17.67,12.33,41.1%,OPEN_SLOW,20,Z2
DATA,46195,18.12,11.88,39.6%,OPEN_SLOW,20,Z2
DATA,46453,18.00,12.00,40.0%,OPEN_SLOW,20,Z2
DATA,46711,17.93,12.07,40.2%,OPEN_SLOW,20,Z2
DATA,46970,17.96,12.04,40.1%,OPEN_SLOW,20,Z2
DATA,47228,17.94,12.06,40.2%,OPEN_SLOW,20,Z2
DATA,47486,17.96,12.04,40.1%,OPEN_SLOW,20,Z2
DATA,47745,18.03,11.97,39.9%,OPEN_SLOW,20,Z2
DATA,48003,18.27,11.73,39.1%,OPEN_SLOW,20,Z2
DATA,48261,18.24,11.76,39.2%,OPEN_SLOW,20,Z2
DATA,48519,18.23,11.77,39.2%,OPEN_SLOW,20,Z2
DATA,48778,18.22,11.78,39.3%,OPEN_SLOW,20,Z2
DATA,49036,18.19,11.81,39.4%,OPEN_SLOW,20,Z2
DATA,49294,18.21,11.79,39.3%,OPEN_SLOW,20,Z2
BRIDGING #7 @18.22g hammer
DATA,49553,18.22,11.78,39.3%,OPEN_SLOW,20,Z2
DATA,49811,18.23,11.77,39.2%,OPEN_SLOW,20,Z2
DATA,50069,18.16,11.84,39.5%,OPEN_SLOW,20,Z2
DATA,50328,18.16,11.84,39.5%,OPEN_SLOW,20,Z2
DATA,50586,18.59,11.41,38.0%,OPEN_SLOW,20,Z2
DATA,50844,19.47,10.53,35.1%,OPEN_SLOW,20,Z2
DATA,51102,19.37,10.63,35.4%,OPEN_SLOW,20,Z2
DATA,51361,19.34,10.66,35.5%,OPEN_SLOW,20,Z2
DATA,51619,19.33,10.67,35.6%,OPEN_SLOW,20,Z2
DATA,51877,19.38,10.62,35.4%,OPEN_SLOW,20,Z2
DATA,52136,19.34,10.66,35.5%,OPEN_SLOW,20,Z2
DATA,52394,19.42,10.58,35.3%,OPEN_SLOW,20,Z2
DATA,52652,19.41,10.59,35.3%,OPEN_SLOW,20,Z2
DATA,52910,19.44,10.56,35.2%,OPEN_SLOW,20,Z2
DATA,53169,19.43,10.57,35.2%,OPEN_SLOW,20,Z2
DATA,53427,19.40,10.60,35.3%,OPEN_SLOW,20,Z2
DATA,53685,19.39,10.61,35.4%,OPEN_SLOW,20,Z2
DATA,53944,19.40,10.60,35.3%,OPEN_SLOW,20,Z2
DATA,54202,19.44,10.56,35.2%,OPEN_SLOW,20,Z2
DATA,54460,19.32,10.68,35.6%,OPEN_SLOW,20,Z2
DATA,54719,19.37,10.63,35.4%,OPEN_SLOW,20,Z2
DATA,54977,19.30,10.70,35.7%,OPEN_SLOW,20,Z2
DATA,55235,19.27,10.73,35.8%,OPEN_SLOW,20,Z2
DATA,55494,19.25,10.75,35.8%,OPEN_SLOW,20,Z2
BRIDGING #8 @19.72g hammer
DATA,55752,19.72,10.28,34.3%,OPEN_SLOW,20,Z2
DATA,56011,19.81,10.19,34.0%,OPEN_SLOW,20,Z2
DATA,56269,19.45,10.55,35.2%,OPEN_SLOW,20,Z2
DATA,56527,19.25,10.75,35.8%,OPEN_SLOW,20,Z2
DATA,56785,19.96,10.04,33.5%,OPEN_SLOW,20,Z2
DATA,57043,20.19,9.81,32.7%,OPEN_SLOW,20,Z2
DATA,57302,20.30,9.70,32.3%,OPEN_SLOW,20,Z2
DATA,57560,20.13,9.87,32.9%,OPEN_SLOW,20,Z2
DATA,57818,20.26,9.74,32.5%,OPEN_SLOW,20,Z2
DATA,58076,19.76,10.24,34.1%,OPEN_SLOW,20,Z2
DATA,58335,20.02,9.98,33.3%,OPEN_SLOW,20,Z2
DATA,58593,20.44,9.56,31.9%,OPEN_SLOW,20,Z2
BRIDGING #9 @19.88g hammer
DATA,58851,19.88,10.12,33.7%,OPEN_SLOW,20,Z2
DATA,59110,20.07,9.93,33.1%,OPEN_SLOW,20,Z2
