======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 30.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 29.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 5
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.02,29.98,99.9%,OPEN_SLOW,20,Z1
DATA,218,0.04,29.96,99.9%,OPEN_SLOW,20,Z1
DATA,476,0.11,29.89,99.6%,OPEN_SLOW,20,Z1
DATA,734,0.06,29.94,99.8%,OPEN_SLOW,20,Z1
DATA,993,0.10,29.90,99.7%,OPEN_SLOW,20,Z1
DATA,1251,0.13,29.87,99.6%,OPEN_SLOW,20,Z1
DATA,1509,0.10,29.90,99.7%,OPEN_SLOW,20,Z1
DATA,1768,0.08,29.92,99.7%,OPEN_SLOW,20,Z1
DATA,2026,0.11,29.89,99.6%,OPEN_SLOW,20,Z1
DATA,2284,0.12,29.88,99.6%,OPEN_SLOW,20,Z1
DATA,2543,0.44,29.56,98.5%,OPEN_SLOW,20,Z1
DATA,2801,0.47,29.53,98.4%,OPEN_SLOW,20,Z1
BRIDGING #1 @0.46g hammer
DATA,3059,0.46,29.54,98.5%,OPEN_SLOW,20,Z1
DATA,3318,0.43,29.57,98.6%,OPEN_SLOW,20,Z1
DATA,3576,0.31,29.69,99.0%,OPEN_SLOW,20,Z1
DATA,3834,0.31,29.69,99.0%,OPEN_SLOW,20,Z1
DATA,4092,1.97,28.03,93.4%,OPEN_SLOW,20,Z1
DATA,4350,6.80,23.20,77.3%,OPEN_SLOW,20,Z1
DATA,4609,7.09,22.91,76.4%,OPEN_SLOW,20,Z1
DATA,4867,6.80,23.20,77.3%,OPEN_SLOW,20,Z1
DATA,5125,6.91,23.09,77.0%,OPEN_SLOW,20,Z1
DATA,5384,7.06,22.94,76.5%,OPEN_SLOW,20,Z1
DATA,5642,6.91,23.09,77.0%,OPEN_SLOW,20,Z1
DATA,5900,7.25,22.75,75.8%,OPEN_SLOW,20,Z1
DATA,6159,7.32,22.68,75.6%,OPEN_SLOW,20,Z1
DATA,6417,7.21,22.79,76.0%,OPEN_SLOW,20,Z1
DATA,6675,7.28,22.72,75.7%,OPEN_SLOW,20,Z1
DATA,6933,7.34,22.66,75.5%,OPEN_SLOW,20,Z1
DATA,7192,7.37,22.63,75.4%,OPEN_SLOW,20,Z1
DATA,7450,7.37,22.63,75.4%,OPEN_SLOW,20,Z1
DATA,7708,7.48,22.52,75.1%,OPEN_SLOW,20,Z1
DATA,7967,7.29,22.71,75.7%,OPEN_SLOW,20,Z1
DATA,8225,7.32,22.68,75.6%,OPEN_SLOW,20,Z1
DATA,8484,7.23,22.77,75.9%,OPEN_SLOW,20,Z1
DATA,8742,7.14,22.86,76.2%,OPEN_SLOW,20,Z1
DATA,9000,7.49,22.51,75.0%,OPEN_SLOW,20,Z1
BRIDGING #2 @7.28g hammer
DATA,9258,7.28,22.72,75.7%,OPEN_SLOW,20,Z1
DATA,9517,7.37,22.63,75.4%,OPEN_SLOW,20,Z1
DATA,9775,7.20,22.80,76.0%,OPEN_SLOW,20,Z1
DATA,10033,7.29,22.71,75.7%,OPEN_SLOW,20,Z1
DATA,10291,7.80,22.20,74.0%,OPEN_SLOW,20,Z1
DATA,10550,8.70,21.30,71.0%,OPEN_SLOW,20,Z1
DATA,10808,8.54,21.46,71.5%,OPEN_SLOW,20,Z1
DATA,11066,8.49,21.51,71.7%,OPEN_SLOW,20,Z1
DATA,11325,8.50,21.50,71.7%,OPEN_SLOW,20,Z1
DATA,11583,8.52,21.48,71.6%,OPEN_SLOW,20,Z1
DATA,11841,8.54,21.46,71.5%,OPEN_SLOW,20,Z1
DATA,12099,8.47,21.53,71.8%,OPEN_SLOW,20,Z1
DATA,12358,8.43,21.57,71.9%,OPEN_SLOW,20,Z1
DATA,12616,8.43,21.57,71.9%,OPEN_SLOW,20,Z1
DATA,12874,8.45,21.55,71.8%,OPEN_SLOW,20,Z1
DATA,13133,8.42,21.58,71.9%,OPEN_SLOW,20,Z1
DATA,13391,8.44,21.56,71.9%,OPEN_SLOW,20,Z1
DATA,13649,8.44,21.56,71.9%,OPEN_SLOW,20,Z1
DATA,13908,8.46,21.54,71.8%,OPEN_SLOW,20,Z1
DATA,14166,8.50,21.50,71.7%,OPEN_SLOW,20,Z1
DATA,14424,8.48,21.52,71.7%,OPEN_SLOW,20,Z1
DATA,14683,8.49,21.51,71.7%,OPEN_SLOW,20,Z1
DATA,14941,8.49,21.51,71.7%,OPEN_SLOW,20,Z1
DATA,15199,8.43,21.57,71.9%,OPEN_SLOW,20,Z1
BRIDGING #3 @8.46g hammer
DATA,15458,8.46,21.54,71.8%,OPEN_SLOW,20,Z1
DATA,15716,8.47,21.53,71.8%,OPEN_SLOW,20,Z1
DATA,15974,8.48,21.52,71.7%,OPEN_SLOW,20,Z1
DATA,16233,8.48,21.52,71.7%,OPEN_SLOW,20,Z1
DATA,16491,8.45,21.55,71.8%,OPEN_SLOW,20,Z1
DATA,16749,8.43,21.57,71.9%,OPEN_SLOW,20,Z1
DATA,17007,8.48,21.52,71.7%,OPEN_SLOW,20,Z1
DATA,17266,8.46,21.54,71.8%,OPEN_SLOW,20,Z1
DATA,17524,8.50,21.50,71.7%,OPEN_SLOW,20,Z1
DATA,17782,8.49,21.51,71.7%,OPEN_SLOW,20,Z1
DATA,18041,8.42,21.58,71.9%,OPEN_SLOW,20,Z1
DATA,18299,8.47,21.53,71.8%,OPEN_SLOW,20,Z1
BRIDGING #4 @8.47g hammer
DATA,18557,8.47,21.53,71.8%,OPEN_SLOW,20,Z1
DATA,18816,8.46,21.54,71.8%,OPEN_SLOW,20,Z1
DATA,19074,8.46,21.54,71.8%,OPEN_SLOW,20,Z1
DATA,19332,8.51,21.49,71.6%,OPEN_SLOW,20,Z1
DATA,19590,8.61,21.39,71.3%,OPEN_SLOW,20,Z1
DATA,19848,8.58,21.42,71.4%,OPEN_SLOW,20,Z1
DATA,20107,8.53,21.47,71.6%,OPEN_SLOW,20,Z1
DATA,20365,8.52,21.48,71.6%,OPEN_SLOW,20,Z1
DATA,20623,8.55,21.45,71.5%,OPEN_SLOW,20,Z1
DATA,20882,8.45,21.55,71.8%,OPEN_SLOW,20,Z1
DATA,21140,8.55,21.45,71.5%,OPEN_SLOW,20,Z1
DATA,21398,8.72,21.28,70.9%,OPEN_SLOW,20,Z1
BRIDGING #5 @8.77g hammer
DATA,21657,8.77,21.23,70.8%,OPEN_SLOW,20,Z1
DATA,21915,8.57,21.43,71.4%,OPEN_SLOW,20,Z1
DATA,22173,8.39,21.61,72.0%,OPEN_SLOW,20,Z1
DATA,22431,8.48,21.52,71.7%,OPEN_SLOW,20,Z1
DATA,22690,8.75,21.25,70.8%,OPEN_SLOW,20,Z1
DATA,22948,9.28,20.72,69.1%,OPEN_SLOW,20,Z1
DATA,23206,10.78,19.22,64.1%,OPEN_SLOW,20,Z1
DATA,23464,10.56,19.44,64.8%,OPEN_SLOW,20,Z1
DATA,23723,10.59,19.41,64.7%,OPEN_SLOW,20,Z1
DATA,23981,10.67,19.33,64.4%,OPEN_SLOW,20,Z1
DATA,24239,10.74,19.26,64.2%,OPEN_SLOW,20,Z1
DATA,24498,10.83,19.17,63.9%,OPEN_SLOW,20,Z1
DATA,24756,11.76,18.24,60.8%,OPEN_SLOW,20,Z1
DATA,25014,11.79,18.21,60.7%,OPEN_SLOW,20,Z1
DATA,25273,11.96,18.04,60.1%,OPEN_SLOW,20,Z1
DATA,25531,11.85,18.15,60.5%,OPEN_SLOW,20,Z1
DATA,25789,11.81,18.19,60.6%,OPEN_SLOW,20,Z1
DATA,26048,11.95,18.05,60.2%,OPEN_SLOW,20,Z1
DATA,26306,11.94,18.06,60.2%,OPEN_SLOW,20,Z1
DATA,26564,11.89,18.11,60.4%,OPEN_SLOW,20,Z1
DATA,26823,11.85,18.15,60.5%,OPEN_SLOW,20,Z1
DATA,27081,11.81,18.19,60.6%,OPEN_SLOW,20,Z1
DATA,27339,11.80,18.20,60.7%,OPEN_SLOW,20,Z1
DATA,27597,11.78,18.22,60.7%,OPEN_SLOW,20,Z1
BRIDGING #6 @11.78g hammer
DATA,27856,11.78,18.22,60.7%,OPEN_SLOW,20,Z1
DATA,28114,11.78,18.22,60.7%,OPEN_SLOW,20,Z1
DATA,28372,11.78,18.22,60.7%,OPEN_SLOW,20,Z1
DATA,28631,11.81,18.19,60.6%,OPEN_SLOW,20,Z1
DATA,28889,11.93,18.07,60.2%,OPEN_SLOW,20,Z1
DATA,29147,12.07,17.93,59.8%,OPEN_SLOW,20,Z1
DATA,29405,12.05,17.95,59.8%,OPEN_SLOW,20,Z1
DATA,29664,12.07,17.93,59.8%,OPEN_SLOW,20,Z1
DATA,29922,12.08,17.92,59.7%,OPEN_SLOW,20,Z1
DATA,30180,12.06,17.94,59.8%,OPEN_SLOW,20,Z1
DATA,30439,12.04,17.96,59.9%,OPEN_SLOW,20,Z1
DATA,30697,12.17,17.83,59.4%,OPEN_SLOW,20,Z1
BRIDGING #7 @12.13g hammer
DATA,30955,12.13,17.87,59.6%,OPEN_SLOW,20,Z1
DATA,31214,12.16,17.84,59.5%,OPEN_SLOW,20,Z1
DATA,31472,12.17,17.83,59.4%,OPEN_SLOW,20,Z1
DATA,31730,12.16,17.84,59.5%,OPEN_SLOW,20,Z1
DATA,31988,12.14,17.86,59.5%,OPEN_SLOW,20,Z1
DATA,32247,12.37,17.63,58.8%,OPEN_SLOW,20,Z1
DATA,32505,12.49,17.51,58.4%,OPEN_SLOW,20,Z1
