======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 30.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 29.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 4
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.11,29.89,99.6%,OPEN_SLOW,20,Z1
DATA,217,0.21,29.79,99.3%,OPEN_SLOW,20,Z1
DATA,476,0.19,29.81,99.4%,OPEN_SLOW,20,Z1
DATA,734,0.47,29.53,98.4%,OPEN_SLOW,20,Z1
DATA,992,0.32,29.68,98.9%,OPEN_SLOW,20,Z1
DATA,1251,0.36,29.64,98.8%,OPEN_SLOW,20,Z1
DATA,1509,0.51,29.49,98.3%,OPEN_SLOW,20,Z1
DATA,1767,0.87,29.13,97.1%,OPEN_SLOW,20,Z1
DATA,2026,0.24,29.76,99.2%,OPEN_SLOW,20,Z1
DATA,2284,0.32,29.68,98.9%,OPEN_SLOW,20,Z1
DATA,2542,0.98,29.02,96.7%,OPEN_SLOW,20,Z1
DATA,2800,1.73,28.27,94.2%,OPEN_SLOW,20,Z1
DATA,3059,1.51,28.49,95.0%,OPEN_SLOW,20,Z1
DATA,3317,1.71,28.29,94.3%,OPEN_SLOW,20,Z1
DATA,3575,1.58,28.42,94.7%,OPEN_SLOW,20,Z1
DATA,3834,1.61,28.39,94.6%,OPEN_SLOW,20,Z1
DATA,4092,1.70,28.30,94.3%,OPEN_SLOW,20,Z1
DATA,4350,1.60,28.40,94.7%,OPEN_SLOW,20,Z1
DATA,4609,2.70,27.30,91.0%,OPEN_SLOW,20,Z1
DATA,4867,2.93,27.07,90.2%,OPEN_SLOW,20,Z1
DATA,5125,2.97,27.03,90.1%,OPEN_SLOW,20,Z1
DATA,5384,2.88,27.12,90.4%,OPEN_SLOW,20,Z1
DATA,5642,2.79,27.21,90.7%,OPEN_SLOW,20,Z1
DATA,5900,2.76,27.24,90.8%,OPEN_SLOW,20,Z1
DATA,6159,2.77,27.23,90.8%,OPEN_SLOW,20,Z1
DATA,6417,2.86,27.14,90.5%,OPEN_SLOW,20,Z1
DATA,6675,3.11,26.89,89.6%,OPEN_SLOW,20,Z1
DATA,6933,3.12,26.88,89.6%,OPEN_SLOW,20,Z1
DATA,7192,3.15,26.85,89.5%,OPEN_SLOW,20,Z1
DATA,7450,3.07,26.93,89.8%,OPEN_SLOW,20,Z1
DATA,7708,3.09,26.91,89.7%,OPEN_SLOW,20,Z1
DATA,7967,3.07,26.93,89.8%,OPEN_SLOW,20,Z1
DATA,8225,3.05,26.95,89.8%,OPEN_SLOW,20,Z1
DATA,8483,3.09,26.91,89.7%,OPEN_SLOW,20,Z1
DATA,8742,3.05,26.95,89.8%,OPEN_SLOW,20,Z1
DATA,9000,3.06,26.94,89.8%,OPEN_SLOW,20,Z1
BRIDGING #1 @3.06g hammer
DATA,9258,3.06,26.94,89.8%,OPEN_SLOW,20,Z1
DATA,9517,3.06,26.94,89.8%,OPEN_SLOW,20,Z1
DATA,9775,3.04,26.96,89.9%,OPEN_SLOW,20,Z1
DATA,10033,3.05,26.95,89.8%,OPEN_SLOW,20,Z1
DATA,10291,3.56,26.44,88.1%,OPEN_SLOW,20,Z1
DATA,10550,6.25,23.75,79.2%,OPEN_SLOW,20,Z1
DATA,10808,8.25,21.75,72.5%,OPEN_SLOW,20,Z1
DATA,11066,10.21,19.79,66.0%,OPEN_SLOW,20,Z1
DATA,11325,13.77,16.23,54.1%,OPEN_SLOW,20,Z1
DATA,11583,18.55,11.45,38.2%,OPEN_SLOW,20,Z2
DATA,11841,18.86,11.14,37.1%,OPEN_SLOW,20,Z2
DATA,12099,19.10,10.90,36.3%,OPEN_SLOW,20,Z2
DATA,12358,19.05,10.95,36.5%,OPEN_SLOW,20,Z2
DATA,12616,19.08,10.92,36.4%,OPEN_SLOW,20,Z2
DATA,12874,19.09,10.91,36.4%,OPEN_SLOW,20,Z2
DATA,13133,19.23,10.77,35.9%,OPEN_SLOW,20,Z2
DATA,13391,19.15,10.85,36.2%,OPEN_SLOW,20,Z2
DATA,13649,19.15,10.85,36.2%,OPEN_SLOW,20,Z2
DATA,13908,19.17,10.83,36.1%,OPEN_SLOW,20,Z2
DATA,14166,19.16,10.84,36.1%,OPEN_SLOW,20,Z2
DATA,14424,19.06,10.94,36.5%,OPEN_SLOW,20,Z2
DATA,14683,19.17,10.83,36.1%,OPEN_SLOW,20,Z2
DATA,14941,19.62,10.38,34.6%,OPEN_SLOW,20,Z2
DATA,15199,19.81,10.19,34.0%,OPEN_SLOW,20,Z2
DATA,15457,19.64,10.36,34.5%,OPEN_SLOW,20,Z2
DATA,15716,19.76,10.24,34.1%,OPEN_SLOW,20,Z2
DATA,15974,20.08,9.92,33.1%,OPEN_SLOW,20,Z2
