======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 30.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 29.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 10
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,100,0.01,29.99,100.0%,OPEN_SLOW,20,Z1
DATA,218,0.06,29.94,99.8%,OPEN_SLOW,20,Z1
DATA,476,0.08,29.92,99.7%,OPEN_SLOW,20,Z1
DATA,734,0.10,29.90,99.7%,OPEN_SLOW,20,Z1
DATA,993,0.12,29.88,99.6%,OPEN_SLOW,20,Z1
DATA,1251,0.09,29.91,99.7%,OPEN_SLOW,20,Z1
DATA,1509,0.12,29.88,99.6%,OPEN_SLOW,20,Z1
DATA,1768,0.14,29.86,99.5%,OPEN_SLOW,20,Z1
DATA,2026,0.11,29.89,99.6%,OPEN_SLOW,20,Z1
DATA,2284,0.18,29.82,99.4%,OPEN_SLOW,20,Z1
DATA,2542,0.94,29.06,96.9%,OPEN_SLOW,20,Z1
DATA,2801,0.85,29.15,97.2%,OPEN_SLOW,20,Z1
DATA,3059,0.84,29.16,97.2%,OPEN_SLOW,20,Z1
DATA,3317,0.89,29.11,97.0%,OPEN_SLOW,20,Z1
DATA,3576,0.88,29.12,97.1%,OPEN_SLOW,20,Z1
DATA,3834,0.92,29.08,96.9%,OPEN_SLOW,20,Z1
DATA,4092,0.91,29.09,97.0%,OPEN_SLOW,20,Z1
DATA,4351,0.92,29.08,96.9%,OPEN_SLOW,20,Z1
DATA,4609,0.96,29.04,96.8%,OPEN_SLOW,20,Z1
DATA,4867,1.01,28.99,96.6%,OPEN_SLOW,20,Z1
DATA,5126,0.96,29.04,96.8%,OPEN_SLOW,20,Z1
DATA,5384,0.95,29.05,96.8%,OPEN_SLOW,20,Z1
DATA,5642,0.91,29.09,97.0%,OPEN_SLOW,20,Z1
DATA,5901,0.91,29.09,97.0%,OPEN_SLOW,20,Z1
BRIDGING #1 @1.00g hammer
DATA,6159,1.00,29.00,96.7%,OPEN_SLOW,20,Z1
DATA,6417,1.02,28.98,96.6%,OPEN_SLOW,20,Z1
DATA,6675,0.98,29.02,96.7%,OPEN_SLOW,20,Z1
DATA,6934,1.02,28.98,96.6%,OPEN_SLOW,20,Z1
DATA,7192,1.75,28.25,94.2%,OPEN_SLOW,20,Z1
DATA,7450,2.89,27.11,90.4%,OPEN_SLOW,20,Z1
DATA,7709,2.74,27.26,90.9%,OPEN_SLOW,20,Z1
DATA,7967,2.84,27.16,90.5%,OPEN_SLOW,20,Z1
DATA,8225,2.92,27.08,90.3%,OPEN_SLOW,20,Z1
DATA,8483,2.95,27.05,90.2%,OPEN_SLOW,20,Z1
DATA,8742,2.83,27.17,90.6%,OPEN_SLOW,20,Z1
DATA,9000,2.89,27.11,90.4%,OPEN_SLOW,20,Z1
DATA,9258,2.86,27.14,90.5%,OPEN_SLOW,20,Z1
DATA,9517,2.84,27.16,90.5%,OPEN_SLOW,20,Z1
DATA,9775,2.85,27.15,90.5%,OPEN_SLOW,20,Z1
DATA,10033,2.87,27.13,90.4%,OPEN_SLOW,20,Z1
DATA,10292,2.85,27.15,90.5%,OPEN_SLOW,20,Z1
DATA,10550,2.83,27.17,90.6%,OPEN_SLOW,20,Z1
DATA,10808,2.82,27.18,90.6%,OPEN_SLOW,20,Z1
DATA,11067,2.81,27.19,90.6%,OPEN_SLOW,20,Z1
DATA,11325,2.80,27.20,90.7%,OPEN_SLOW,20,Z1
DATA,11583,2.82,27.18,90.6%,OPEN_SLOW,20,Z1
DATA,11842,2.82,27.18,90.6%,OPEN_SLOW,20,Z1
DATA,12100,2.82,27.18,90.6%,OPEN_SLOW,20,Z1
BRIDGING #2 @2.82g hammer
DATA,12358,2.82,27.18,90.6%,OPEN_SLOW,20,Z1
DATA,12617,2.81,27.19,90.6%,OPEN_SLOW,20,Z1
DATA,12875,2.82,27.18,90.6%,OPEN_SLOW,20,Z1
DATA,13133,2.84,27.16,90.5%,OPEN_SLOW,20,Z1
DATA,13391,2.87,27.13,90.4%,OPEN_SLOW,20,Z1
DATA,13650,2.92,27.08,90.3%,OPEN_SLOW,20,Z1
DATA,13908,2.89,27.11,90.4%,OPEN_SLOW,20,Z1
DATA,14166,2.90,27.10,90.3%,OPEN_SLOW,20,Z1
DATA,14424,2.88,27.12,90.4%,OPEN_SLOW,20,Z1
DATA,14683,2.87,27.13,90.4%,OPEN_SLOW,20,Z1
DATA,14941,2.92,27.08,90.3%,OPEN_SLOW,20,Z1
DATA,15199,2.95,27.05,90.2%,OPEN_SLOW,20,Z1
BRIDGING #3 @2.91g hammer
DATA,15458,2.91,27.09,90.3%,OPEN_SLOW,20,Z1
DATA,15716,2.90,27.10,90.3%,OPEN_SLOW,20,Z1
DATA,15974,2.94,27.06,90.2%,OPEN_SLOW,20,Z1
DATA,16232,2.93,27.07,90.2%,OPEN_SLOW,20,Z1
DATA,16491,3.09,26.91,89.7%,OPEN_SLOW,20,Z1
DATA,16749,3.49,26.51,88.4%,OPEN_SLOW,20,Z1
DATA,17007,3.47,26.53,88.4%,OPEN_SLOW,20,Z1
DATA,17265,3.46,26.54,88.5%,OPEN_SLOW,20,Z1
DATA,17524,3.48,26.52,88.4%,OPEN_SLOW,20,Z1
DATA,17782,3.49,26.51,88.4%,OPEN_SLOW,20,Z1
DATA,18040,3.52,26.48,88.3%,OPEN_SLOW,20,Z1
DATA,18299,3.49,26.51,88.4%,OPEN_SLOW,20,Z1
DATA,18557,3.48,26.52,88.4%,OPEN_SLOW,20,Z1
DATA,18815,3.46,26.54,88.5%,OPEN_SLOW,20,Z1
DATA,19073,3.46,26.54,88.5%,OPEN_SLOW,20,Z1
DATA,19332,3.51,26.49,88.3%,OPEN_SLOW,20,Z1
DATA,19590,3.44,26.56,88.5%,OPEN_SLOW,20,Z1
