No,Scenario,Controller,Setpoint_g,TrialNo,FileName,FinalMass_g,FinalError_g,FinalError_pct,AbsError_g,AbsError_pct,MaxOvershoot_g,MaxOvershoot_pct,Duration_s,TimeTo90_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,Status,Valid,StopReason,EarlyStop_g,Notes
28,Manual Cepat,Manual Cepat,25.0,8,ManualCepat_SP25_trial08.txt,25.52,0.52,2.07,0.52,2.07,0.52,2.07,7.97,7.45,4.908,7.708,0,AKURAT,TRUE,TARGET,0.4,
29,Manual Cepat,Manual Cepat,25.0,9,ManualCepat_SP25_trial09.txt,25.08,0.08,0.32,0.08,0.32,0.17,0.69,11.58,8.999,8.524,10.807,0,AKURAT,TRUE,TARGET,0.4,
30,Manual Cepat,Manual Cepat,25.0,10,ManualCepat_SP25_trial10.txt,32.63,7.63,30.52,7.63,30.52,7.63,30.52,11.07,10.807,10.331,NA,0,OVERSHOOT,TRUE,TARGET,0.4,
31,Manual Cepat,Manual Cepat,30.0,1,ManualCepat_SP30_trial01.txt,33.19,3.19,10.64,3.19,10.64,3.19,10.64,9.78,9.518,9.042,NA,0,OVERSHOOT,TRUE,TARGET,0.4,
32,Manual Cepat,Manual Cepat,30.0,2,ManualCepat_SP30_trial02.txt,30.92,0.92,3.05,0.92,3.05,0.92,3.05,21.92,21.659,21.183,21.659,2,AKURAT,TRUE,TARGET,0.4,
33,Manual Cepat,Manual Cepat,30.0,3,ManualCepat_SP30_trial03.txt,32.5,2.5,8.32,2.5,8.32,2.5,8.32,29.93,26.31,25.835,NA,2,OVERSHOOT,TRUE,TARGET,0.4,
34,Manual Cepat,Manual Cepat,30.0,4,ManualCepat_SP30_trial04.txt,30.41,0.41,1.37,0.41,1.37,0.41,1.37,7.71,7.193,4.65,7.452,0,AKURAT,TRUE,TARGET,0.4,
35,Manual Cepat,Manual Cepat,30.0,5,ManualCepat_SP30_trial05.txt,32.18,2.18,7.27,2.18,7.27,2.18,7.27,21.4,21.145,20.669,NA,0,OVERSHOOT,TRUE,TARGET,0.4,
36,Manual Cepat,Manual Cepat,30.0,6,ManualCepat_SP30_trial06.txt,30.79,0.79,2.64,0.79,2.64,0.79,2.64,22.18,21.402,20.926,21.66,0,AKURAT,TRUE,TARGET,0.4,
37,Manual Cepat,Manual Cepat,30.0,7,ManualCepat_SP30_trial07.txt,33.79,3.79,12.62,3.79,12.62,3.79,12.62,17.27,15.202,10.593,NA,1,OVERSHOOT,TRUE,TARGET,0.4,
38,Manual Cepat,Manual Cepat,30.0,8,ManualCepat_SP30_trial08.txt,32.93,2.93,9.77,2.93,9.77,2.93,9.77,15.46,14.945,14.469,NA,0,OVERSHOOT,TRUE,TARGET,0.4,
39,Manual Cepat,Manual Cepat,30.0,9,ManualCepat_SP30_trial09.txt,30.31,0.31,1.04,0.31,1.04,0.31,1.04,29.93,26.311,25.835,29.411,2,AKURAT,TRUE,TARGET,0.4,
40,Manual Cepat,Manual Cepat,30.0,10,ManualCepat_SP30_trial10.txt,35.39,5.39,17.98,5.39,17.98,5.39,17.98,19.34,18.045,15.244,NA,0,OVERSHOOT,TRUE,TARGET,0.4,
41,Manual Presisi,Manual Presisi,15.0,1,ManualPresisi_SP15_trial01.txt,16.47,1.47,9.8,1.47,9.8,1.47,9.8,23.46,21.395,14.204,NA,3,OVERSHOOT,TRUE,TARGET,0.4,
42,Manual Presisi,Manual Presisi,15.0,2,ManualPresisi_SP15_trial02.txt,15.43,0.43,2.87,0.43,2.87,0.43,2.87,34.05,33.538,26.088,33.796,3,AKURAT,TRUE,TARGET,0.4,
43,Manual Presisi,Manual Presisi,15.0,3,ManualPresisi_SP15_trial03.txt,15.16,0.16,1.06,0.16,1.06,0.32,2.13,56.78,54.459,51.917,56.267,3,AKURAT,TRUE,TARGET,0.4,
44,Manual Presisi,Manual Presisi,15.0,4,ManualPresisi_SP15_trial04.txt,14.35,-0.65,-4.32,0.65,4.32,0.0,0.0,62.99,41.547,34.871,61.695,3,AKURAT,TRUE,TARGET,0.4,
45,Manual Presisi,Manual Presisi,15.0,5,ManualPresisi_SP15_trial05.txt,16.62,1.62,10.77,1.62,10.77,1.62,10.77,29.66,29.144,24.535,NA,6,OVERSHOOT,TRUE,TARGET,0.4,
46,Manual Presisi,Manual Presisi,15.0,6,ManualPresisi_SP15_trial06.txt,14.49,-0.51,-3.37,0.51,3.37,0.0,0.0,34.05,33.795,29.186,33.795,4,AKURAT,TRUE,TARGET,0.4,
47,Manual Presisi,Manual Presisi,15.0,7,ManualPresisi_SP15_trial07.txt,15.89,0.89,5.91,0.89,5.91,0.89,5.91,15.2,12.874,5.683,NA,1,OVERSHOOT,TRUE,TARGET,0.4,
48,Manual Presisi,Manual Presisi,15.0,8,ManualPresisi_SP15_trial08.txt,14.66,-0.34,-2.26,0.34,2.26,0.0,0.0,40.51,25.273,18.597,33.538,1,AKURAT,TRUE,TARGET,0.4,
49,Manual Presisi,Manual Presisi,15.0,9,ManualPresisi_SP15_trial09.txt,15.4,0.4,2.68,0.4,2.68,0.4,2.68,33.8,31.471,28.154,33.28,4,AKURAT,TRUE,TARGET,0.4,
50,Manual Presisi,Manual Presisi,15.0,10,ManualPresisi_SP15_trial10.txt,21.01,6.01,40.06,6.01,40.06,6.01,40.06,8.48,8.225,1.033,NA,1,OVERSHOOT,TRUE,TARGET,0.4,
51,Manual Presisi,Manual Presisi,20.0,1,ManualPresisi_SP20_trial01.txt,23.33,3.33,16.67,3.33,16.67,3.33,16.67,67.88,66.329,61.721,NA,14,OVERSHOOT,TRUE,TARGET,0.4,
52,Manual Presisi,Manual Presisi,20.0,2,ManualPresisi_SP20_trial02.txt,19.68,-0.32,-1.62,0.32,1.62,0.0,0.0,44.12,37.925,30.477,41.8,3,AKURAT,TRUE,TARGET,0.4,
53,Manual Presisi,Manual Presisi,20.0,3,ManualPresisi_SP20_trial03.txt,23.75,3.75,18.77,3.75,18.77,3.75,18.77,38.7,38.44,33.573,NA,3,OVERSHOOT,TRUE,TARGET,0.4,
54,Manual Presisi,Manual Presisi,20.0,4,ManualPresisi_SP20_trial04.txt,20.34,0.34,1.72,0.34,1.72,0.34,1.72,44.38,35.341,28.15,39.989,4,AKURAT,TRUE,TARGET,0.4,
55,Manual Presisi,Manual Presisi,20.0,5,ManualPresisi_SP20_trial05.txt,25.23,5.23,26.17,5.23,26.17,5.23,26.17,20.62,20.359,13.169,NA,3,OVERSHOOT,TRUE,TARGET,0.4,
56,Manual Presisi,Manual Presisi,20.0,6,ManualPresisi_SP20_trial06.txt,19.97,-0.03,-0.17,0.03,0.17,0.0,0.02,42.31,38.439,38.339,41.796,4,AKURAT,TRUE,TARGET,0.4,
57,Manual Presisi,Manual Presisi,20.0,7,ManualPresisi_SP20_trial07.txt,19.95,-0.05,-0.26,0.05,0.26,0.0,0.0,44.89,44.635,40.027,44.635,7,AKURAT,TRUE,TARGET,0.4,
58,Manual Presisi,Manual Presisi,20.0,8,ManualPresisi_SP20_trial08.txt,21.06,1.06,5.29,1.06,5.29,1.06,5.29,65.04,64.525,57.334,NA,2,OVERSHOOT,TRUE,TARGET,0.4,
59,Manual Presisi,Manual Presisi,20.0,9,ManualPresisi_SP20_trial09.txt,19.38,-0.62,-3.09,0.62,3.09,0.0,0.0,28.88,28.365,21.175,28.624,3,AKURAT,TRUE,TARGET,0.4,
60,Manual Presisi,Manual Presisi,20.0,10,ManualPresisi_SP20_trial10.txt,20.01,0.01,0.04,0.01,0.04,0.01,0.04,42.05,20.361,13.171,37.664,1,AKURAT,TRUE,TARGET,0.4,
61,Manual Presisi,Manual Presisi,25.0,1,ManualPresisi_SP25_trial01.txt,24.78,-0.22,-0.86,0.22,0.86,0.0,0.0,81.58,42.577,37.71,81.323,3,AKURAT,TRUE,TARGET,0.4,
62,Manual Presisi,Manual Presisi,25.0,2,ManualPresisi_SP25_trial02.txt,27.38,2.38,9.53,2.38,9.53,2.38,9.53,32.51,32.248,24.798,NA,4,OVERSHOOT,TRUE,TARGET,0.4,
63,Manual Presisi,Manual Presisi,25.0,3,ManualPresisi_SP25_trial03.txt,32.6,7.6,30.4,7.6,30.4,7.6,30.4,38.96,38.448,30.998,NA,6,OVERSHOOT,TRUE,TARGET,0.4,
64,Manual Presisi,Manual Presisi,25.0,4,ManualPresisi_SP25_trial04.txt,30.12,5.12,20.46,5.12,20.46,5.12,20.46,20.37,19.85,12.658,NA,3,OVERSHOOT,TRUE,TARGET,0.4,
65,Manual Presisi,Manual Presisi,25.0,5,ManualPresisi_SP25_trial05.txt,24.9,-0.1,-0.4,0.1,0.4,0.0,0.0,40.25,39.738,32.288,39.996,6,AKURAT,TRUE,TARGET,0.4,
66,Manual Presisi,Manual Presisi,25.0,6,ManualPresisi_SP25_trial06.txt,27.72,2.72,10.87,2.72,10.87,2.72,10.87,45.16,44.904,40.553,NA,8,OVERSHOOT,TRUE,TARGET,0.4,
67,Manual Presisi,Manual Presisi,25.0,7,ManualPresisi_SP25_trial07.txt,24.67,-0.33,-1.34,0.33,1.34,0.0,0.0,51.88,44.643,40.293,48.0,6,AKURAT,TRUE,TARGET,0.4,
68,Manual Presisi,Manual Presisi,25.0,8,ManualPresisi_SP25_trial08.txt,24.88,-0.12,-0.47,0.12,0.47,0.0,0.0,60.92,41.546,37.196,54.203,5,AKURAT,TRUE,TARGET,0.4,
69,Manual Presisi,Manual Presisi,25.0,9,ManualPresisi_SP25_trial09.txt,24.84,-0.16,-0.65,0.16,0.65,0.0,0.0,69.19,63.245,55.795,66.862,10,AKURAT,TRUE,TARGET,0.4,
70,Manual Presisi,Manual Presisi,25.0,10,ManualPresisi_SP25_trial10.txt,24.77,-0.23,-0.91,0.23,0.91,0.0,0.0,83.66,60.147,49.597,79.006,10,AKURAT,TRUE,TARGET,0.4,
71,Manual Presisi,Manual Presisi,30.0,1,ManualPresisi_SP30_trial01.txt,31.11,1.11,3.69,1.11,3.69,1.11,3.69,72.8,72.283,63.283,72.541,11,AKURAT,TRUE,TARGET,0.4,
72,Manual Presisi,Manual Presisi,30.0,2,ManualPresisi_SP30_trial02.txt,30.14,0.14,0.47,0.14,0.47,0.14,0.47,52.4,37.93,30.48,50.071,4,AKURAT,TRUE,TARGET,0.4,
