======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 25.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 24.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 5
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
=== DATA START ===
DATA,100,0.00,25.00,100.0,70.4,33,Z1,2.500,250.000,0
DATA,218,0.01,24.99,100.0,63.2,32,Z1,4.999,-0.111,0
DATA,476,0.88,24.12,96.5,61.2,32,Z1,7.411,-8.687,0
DATA,735,1.03,23.97,95.9,61.3,32,Z1,9.808,-1.543,0
DATA,993,1.04,23.96,95.9,61.7,32,Z1,12.204,-0.019,0
DATA,1251,1.04,23.96,95.9,62.1,32,Z1,14.600,-0.015,0
DATA,1509,1.02,23.98,95.9,62.5,32,Z1,16.998,0.189,0
DATA,1768,1.00,24.00,96.0,62.9,32,Z1,19.398,0.163,0
DATA,2026,1.03,23.97,95.9,63.2,32,Z1,21.795,-0.255,0
DATA,2284,1.08,23.92,95.7,63.4,32,Z1,24.187,-0.559,0
DATA,2542,4.79,20.21,80.9,53.4,30,Z1,26.208,-37.022,0
DATA,2801,5.71,19.29,77.2,52.2,30,Z1,28.138,-9.227,0
DATA,3059,5.63,19.37,77.5,52.9,30,Z1,30.000,0.788,0
DATA,3317,5.62,19.38,77.5,52.9,30,Z1,30.000,0.059,0
DATA,3575,5.69,19.31,77.3,52.8,30,Z1,30.000,-0.629,0
DATA,3834,5.62,19.38,77.5,53.0,30,Z1,30.000,0.633,0
DATA,4092,5.63,19.37,77.5,52.9,30,Z1,30.000,-0.078,0
DATA,4350,5.73,19.27,77.1,52.6,30,Z1,30.000,-0.992,0
DATA,4608,7.49,17.51,70.0,47.7,29,Z1,30.000,-17.621,0
DATA,4867,9.05,15.95,63.8,43.9,28,Z1,30.000,-15.613,0
DATA,5125,8.97,16.03,64.1,44.6,28,Z1,30.000,0.814,0
DATA,5383,8.99,16.01,64.1,44.5,28,Z1,30.000,-0.137,0
DATA,5641,9.02,15.98,63.9,44.4,28,Z1,30.000,-0.329,0
DATA,5900,8.98,16.02,64.1,44.6,28,Z1,30.000,0.396,0
DATA,6158,9.02,15.98,63.9,44.4,28,Z1,30.000,-0.366,0
DATA,6416,9.11,15.89,63.6,44.2,28,Z1,30.000,-0.925,0
DATA,6675,9.29,15.71,62.8,43.7,28,Z1,30.000,-1.798,0
DATA,6933,9.37,15.63,62.5,43.6,28,Z1,30.000,-0.773,0
DATA,7191,9.45,15.55,62.2,43.3,28,Z1,30.000,-0.891,0
DATA,7449,9.44,15.56,62.2,43.4,28,Z1,30.000,0.126,0
DATA,7708,9.40,15.60,62.4,43.5,28,Z1,30.000,0.403,0
DATA,7966,9.29,15.71,62.8,43.8,28,Z1,30.000,1.114,0
DATA,8224,9.31,15.69,62.7,43.7,28,Z1,30.000,-0.244,0
DATA,8482,9.19,15.81,63.2,44.1,28,Z1,30.000,1.261,0
DATA,8741,9.17,15.83,63.3,44.1,28,Z1,30.000,0.148,0
DATA,8999,9.22,15.78,63.1,43.9,28,Z1,30.000,-0.492,0
BRIDGING #1 @9.28g hammer
DATA,9257,9.28,15.72,62.9,43.8,28,Z1,30.000,-0.522,1
DATA,9516,9.35,15.65,62.6,43.6,28,Z1,30.000,-0.747,1
DATA,9773,9.34,15.66,62.7,43.7,28,Z1,30.000,0.144,1
DATA,10032,9.40,15.60,62.4,43.5,28,Z1,30.000,-0.614,1
DATA,10290,9.62,15.38,61.5,42.9,28,Z1,30.000,-2.257,1
DATA,10548,10.02,14.98,59.9,41.8,28,Z1,30.000,-3.933,1
DATA,10806,10.01,14.99,59.9,42.0,28,Z1,30.000,0.033,1
DATA,11064,10.09,14.91,59.7,41.8,28,Z1,30.000,-0.725,1
DATA,11323,10.01,14.99,59.9,42.0,28,Z1,30.000,0.721,1
DATA,11581,9.99,15.01,60.0,42.0,28,Z1,30.000,0.211,1
DATA,11839,9.94,15.06,60.2,42.2,28,Z1,30.000,0.507,1
DATA,12097,9.88,15.12,60.5,42.3,28,Z1,30.000,0.625,1
DATA,12356,10.10,14.90,59.6,41.7,28,Z1,30.000,-2.168,1
DATA,12614,10.05,14.95,59.8,41.9,28,Z1,30.000,0.485,1
DATA,12872,9.92,15.08,60.3,42.2,28,Z1,30.000,1.225,1
DATA,13130,10.16,14.84,59.3,41.5,28,Z1,30.000,-2.405,1
DATA,13389,10.36,14.64,58.6,41.0,28,Z1,30.000,-1.950,1
DATA,13647,10.18,14.82,59.3,41.6,28,Z1,30.000,1.754,1
DATA,13905,10.00,15.00,60.0,42.1,28,Z1,30.000,1.842,1
DATA,14163,10.06,14.94,59.8,41.8,28,Z1,30.000,-0.607,1
DATA,14422,10.06,14.94,59.7,41.8,28,Z1,30.000,-0.018,1
DATA,14680,10.03,14.97,59.9,41.9,28,Z1,30.000,0.336,1
DATA,14938,10.01,14.99,60.0,42.0,28,Z1,30.000,0.189,1
DATA,15196,10.04,14.96,59.8,41.9,28,Z1,30.000,-0.303,1
BRIDGING #2 @10.02g hammer
DATA,15455,10.02,14.98,59.9,41.9,28,Z1,30.000,0.166,2
DATA,15713,9.97,15.03,60.1,42.1,28,Z1,30.000,0.507,2
DATA,15971,10.07,14.93,59.7,41.8,28,Z1,30.000,-0.992,2
DATA,16229,10.16,14.84,59.4,41.6,28,Z1,30.000,-0.873,2
DATA,16487,10.43,14.57,58.3,40.9,27,Z1,30.000,-2.660,2
DATA,16745,12.27,12.73,50.9,35.8,26,Z1,30.000,-18.457,2
DATA,17004,12.71,12.29,49.2,35.1,26,Z2,30.000,-4.406,2
DATA,17262,12.76,12.24,48.9,35.1,26,Z2,30.000,-0.525,2
DATA,17520,12.72,12.28,49.1,35.2,26,Z2,30.000,0.477,2
DATA,17778,12.69,12.31,49.2,35.3,26,Z2,30.000,0.226,2
DATA,18037,12.69,12.31,49.3,35.3,26,Z2,30.000,0.074,2
DATA,18295,12.73,12.27,49.1,35.2,26,Z2,30.000,-0.433,2
DATA,18553,12.77,12.23,48.9,35.1,26,Z2,30.000,-0.385,2
DATA,18811,12.73,12.27,49.1,35.2,26,Z2,30.000,0.381,2
DATA,19070,12.76,12.24,49.0,35.1,26,Z2,30.000,-0.266,2
DATA,19328,12.82,12.18,48.7,34.9,26,Z2,30.000,-0.673,2
DATA,19586,12.77,12.23,48.9,35.1,26,Z2,30.000,0.548,2
DATA,19844,12.76,12.24,49.0,35.1,26,Z2,30.000,0.129,2
DATA,20102,12.74,12.26,49.0,35.2,26,Z2,30.000,0.163,2
DATA,20361,12.78,12.22,48.9,35.0,26,Z2,30.000,-0.440,2
DATA,20619,12.78,12.22,48.9,35.1,26,Z2,30.000,0.063,2
DATA,20877,12.81,12.19,48.8,35.0,26,Z2,30.000,-0.292,2
DATA,21136,12.78,12.22,48.9,35.1,26,Z2,30.000,0.311,2
DATA,21394,12.78,12.22,48.9,35.0,26,Z2,30.000,-0.041,2
BRIDGING #3 @12.77g hammer
DATA,21652,12.77,12.23,48.9,35.1,26,Z2,30.000,0.133,3
DATA,21910,12.77,12.23,48.9,35.1,26,Z2,30.000,-0.022,3
DATA,22168,12.78,12.22,48.9,35.1,26,Z2,30.000,-0.070,3
DATA,22427,12.77,12.23,48.9,35.1,26,Z2,30.000,0.041,3
DATA,22685,13.09,11.91,47.6,34.2,26,Z2,30.000,-3.185,3
DATA,22943,14.26,10.74,42.9,31.0,25,Z2,30.000,-11.720,3
DATA,23201,14.08,10.92,43.7,31.9,26,Z2,30.000,1.850,3
DATA,23459,14.09,10.91,43.6,31.8,26,Z2,30.000,-0.144,3
DATA,23718,14.10,10.90,43.6,31.8,26,Z2,30.000,-0.055,3
DATA,23976,14.11,10.89,43.6,31.7,26,Z2,30.000,-0.129,3
DATA,24234,14.10,10.90,43.6,31.8,26,Z2,30.000,0.107,3
DATA,24492,14.20,10.80,43.2,31.5,26,Z2,30.000,-0.969,3
DATA,24750,14.28,10.72,42.9,31.3,26,Z2,30.000,-0.788,3
DATA,25009,14.30,10.70,42.8,31.2,26,Z2,30.000,-0.289,3
DATA,25267,14.31,10.69,42.8,31.2,26,Z2,30.000,-0.048,3
DATA,25525,14.31,10.69,42.8,31.2,26,Z2,30.000,-0.007,3
DATA,25783,14.43,10.57,42.3,30.9,25,Z2,30.000,-1.217,3
DATA,26042,14.28,10.72,42.9,31.4,26,Z2,30.000,1.565,3
DATA,26300,14.26,10.74,43.0,31.4,26,Z2,30.000,0.174,3
DATA,26558,14.23,10.77,43.1,31.4,26,Z2,30.000,0.237,3
DATA,26817,14.22,10.78,43.1,31.5,26,Z2,30.000,0.155,3
DATA,27075,14.29,10.71,42.9,31.3,26,Z2,30.000,-0.680,3
DATA,27333,14.51,10.49,42.0,30.7,25,Z2,30.000,-2.246,3
DATA,27591,14.42,10.58,42.3,31.0,25,Z2,30.000,0.899,3
BRIDGING #4 @14.39g hammer
DATA,27849,14.39,10.61,42.4,31.0,26,Z2,30.000,0.296,4
DATA,28108,14.36,10.64,42.6,31.1,26,Z2,30.000,0.348,4
DATA,28366,14.41,10.59,42.4,31.0,25,Z2,30.000,-0.537,4
DATA,28624,14.42,10.58,42.3,30.9,25,Z2,30.000,-0.114,4
DATA,28882,15.14,9.86,39.4,28.9,25,Z2,30.000,-7.200,4
DATA,29140,18.61,6.39,25.6,19.4,23,Z2,30.000,-34.680,4
DATA,29399,21.76,3.24,13.0,11.7,22,Z3,30.000,-31.487,4
--------------------------------------------
STOP       : TARGET
Setpoint   : 25.0g
Massa akhir: 26.19g
Error akhir: 1.19g
Error%     : 4.8%
Durasi     : 31119ms
Bridging   : 4x
STATUS     : AKURAT
=== SUMMARY TRIAL ===
Controller: Fixed PID
TrialNo: 5
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
FinalMass_g: 26.19
FinalError_g: 1.19
FinalError_pct: 4.78
Duration_ms: 31119
Duration_s: 31.12
TimeTo90_ms: 29657
RiseTime_10_90_ms: 27115
TimeToTolerance_ms: 29657
SettlingTime_ms: 29657
SettlingTol_pct: 5.00
SettlingTol_g: 1.25
MaxMass_g: 26.19
MaxOvershoot_g: 1.19
MaxOvershoot_pct: 4.78
BridgingCount: 4
Status: AKURAT
Valid: TRUE
StopReason: TARGET
=== TRIAL END ===
--------------------------------------------
r=reset | g=ulangi | c=parameter
