======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 25.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 24.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 3
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
=== DATA START ===
DATA,100,0.00,25.00,100.0,70.4,33,Z1,2.500,250.000,0
DATA,218,0.00,25.00,100.0,63.2,32,Z1,5.000,0.000,0
DATA,476,1.16,23.84,95.4,60.4,31,Z1,7.384,-11.569,0
DATA,735,2.09,22.91,91.6,58.5,31,Z1,9.676,-9.308,0
DATA,993,2.00,23.00,92.0,59.3,31,Z1,11.975,0.858,0
DATA,1251,1.97,23.03,92.1,59.7,31,Z1,14.279,0.344,0
DATA,1509,1.95,23.05,92.2,60.1,31,Z1,16.584,0.189,0
DATA,1768,1.96,23.04,92.2,60.4,31,Z1,18.888,-0.133,0
DATA,2026,2.02,22.98,91.9,60.6,31,Z1,21.185,-0.610,0
DATA,2284,2.11,22.89,91.6,60.7,31,Z1,23.475,-0.840,0
DATA,2542,6.43,18.57,74.3,48.9,29,Z1,25.332,-43.219,0
DATA,2801,7.47,17.53,70.1,47.6,29,Z1,27.085,-10.381,0
DATA,3059,7.35,17.65,70.6,48.5,29,Z1,28.850,1.147,0
DATA,3317,7.34,17.66,70.7,48.7,29,Z1,30.000,0.170,0
DATA,3575,7.38,17.62,70.5,48.5,29,Z1,30.000,-0.403,0
DATA,3834,7.37,17.63,70.5,48.6,29,Z1,30.000,0.070,0
DATA,4092,7.36,17.64,70.6,48.6,29,Z1,30.000,0.115,0
DATA,4350,7.33,17.67,70.7,48.7,29,Z1,30.000,0.237,0
DATA,4608,7.47,17.53,70.1,48.3,29,Z1,30.000,-1.361,0
DATA,4867,8.72,16.28,65.1,44.8,28,Z1,30.000,-12.464,0
DATA,5125,9.82,15.18,60.7,42.1,28,Z1,30.000,-11.010,0
DATA,5383,9.70,15.30,61.2,42.8,28,Z1,30.000,1.158,0
DATA,5641,9.73,15.27,61.1,42.7,28,Z1,30.000,-0.300,0
DATA,5900,9.73,15.27,61.1,42.7,28,Z1,30.000,0.022,0
DATA,6158,9.71,15.29,61.2,42.7,28,Z1,30.000,0.170,0
DATA,6416,9.71,15.29,61.2,42.7,28,Z1,30.000,0.000,0
DATA,6674,9.90,15.10,60.4,42.2,28,Z1,30.000,-1.890,0
DATA,6932,10.00,15.00,60.0,42.0,28,Z1,30.000,-1.018,0
DATA,7191,9.98,15.02,60.1,42.1,28,Z1,30.000,0.241,0
DATA,7449,10.02,14.98,59.9,41.9,28,Z1,30.000,-0.377,0
DATA,7707,9.98,15.02,60.1,42.1,28,Z1,30.000,0.344,0
DATA,7965,9.99,15.01,60.0,42.0,28,Z1,30.000,-0.089,0
DATA,8224,10.02,14.98,59.9,41.9,28,Z1,30.000,-0.289,0
DATA,8482,9.98,15.02,60.1,42.1,28,Z1,30.000,0.403,0
DATA,8740,10.40,14.60,58.4,40.9,27,Z1,30.000,-4.229,0
DATA,8998,11.06,13.94,55.8,39.2,27,Z1,30.000,-6.574,0
DATA,9257,11.05,13.95,55.8,39.4,27,Z1,30.000,0.096,0
DATA,9515,11.06,13.94,55.8,39.4,27,Z1,30.000,-0.067,0
DATA,9773,11.02,13.98,55.9,39.5,27,Z1,30.000,0.385,0
DATA,10031,11.01,13.99,56.0,39.5,27,Z1,30.000,0.078,0
DATA,10290,11.03,13.97,55.9,39.4,27,Z1,30.000,-0.185,0
DATA,10548,11.02,13.98,55.9,39.5,27,Z1,30.000,0.107,0
DATA,10806,11.04,13.96,55.9,39.4,27,Z1,30.000,-0.174,0
DATA,11064,10.99,14.01,56.1,39.6,27,Z1,30.000,0.503,0
DATA,11323,11.00,14.00,56.0,39.5,27,Z1,30.000,-0.126,0
DATA,11581,10.99,14.01,56.0,39.5,27,Z1,30.000,0.048,0
DATA,11839,11.01,13.99,55.9,39.5,27,Z1,30.000,-0.200,0
DATA,12098,11.07,13.93,55.7,39.3,27,Z1,30.000,-0.555,0
BRIDGING #1 @11.11g hammer
DATA,12356,11.11,13.89,55.6,39.2,27,Z1,30.000,-0.388,1
DATA,12614,11.15,13.85,55.4,39.1,27,Z1,30.000,-0.403,1
DATA,12872,11.17,13.83,55.3,39.1,27,Z1,30.000,-0.207,1
DATA,13130,11.15,13.85,55.4,39.1,27,Z1,30.000,0.144,1
DATA,13388,12.50,12.50,50.0,35.4,26,Z1,30.000,-13.441,1
DATA,13647,13.51,11.49,45.9,32.9,26,Z2,30.000,-10.159,1
DATA,13905,13.37,11.63,46.5,33.6,26,Z2,30.000,1.391,1
DATA,14163,13.42,11.58,46.3,33.4,26,Z2,30.000,-0.496,1
DATA,14421,13.41,11.59,46.4,33.5,26,Z2,30.000,0.148,1
DATA,14680,13.31,11.69,46.8,33.8,26,Z2,30.000,1.003,1
DATA,14938,13.39,11.61,46.4,33.5,26,Z2,30.000,-0.840,1
DATA,15196,13.42,11.58,46.3,33.4,26,Z2,30.000,-0.307,1
DATA,15454,13.53,11.47,45.9,33.1,26,Z2,30.000,-1.069,1
DATA,15713,13.46,11.54,46.2,33.4,26,Z2,30.000,0.725,1
DATA,15971,13.32,11.68,46.7,33.7,26,Z2,30.000,1.358,1
DATA,16229,13.25,11.75,47.0,33.9,26,Z2,30.000,0.725,1
DATA,16487,13.27,11.73,46.9,33.8,26,Z2,30.000,-0.181,1
DATA,16746,13.37,11.63,46.5,33.5,26,Z2,30.000,-1.014,1
DATA,17004,13.49,11.51,46.0,33.2,26,Z2,30.000,-1.202,1
DATA,17262,13.50,11.50,46.0,33.2,26,Z2,30.000,-0.137,1
DATA,17520,13.55,11.45,45.8,33.1,26,Z2,30.000,-0.514,1
DATA,17779,13.58,11.42,45.7,33.1,26,Z2,30.000,-0.218,1
DATA,18037,13.57,11.43,45.7,33.1,26,Z2,30.000,0.044,1
DATA,18295,13.71,11.29,45.2,32.7,26,Z2,30.000,-1.343,1
BRIDGING #2 @13.70g hammer
DATA,18553,13.70,11.30,45.2,32.8,26,Z2,30.000,0.107,2
DATA,18812,13.63,11.37,45.5,32.9,26,Z2,30.000,0.644,2
DATA,19070,13.61,11.39,45.6,33.0,26,Z2,30.000,0.24,2
DATA,19328,13.63,11.37,45.5,32.9,26,Z2,30.000,-0.159,2
DATA,19586,14.25,10.75,43.0,31.2,26,Z2,30.000,-6.193,2
DATA,19844,15.32,9.68,38.7,28.4,25,Z2,30.000,-10.770,2
DATA,20102,15.33,9.67,38.7,28.7,25,Z2,30.000,-0.092,2
DATA,20361,15.28,9.72,38.9,28.8,25,Z2,30.000,0.507,2
DATA,20619,15.33,9.67,38.7,28.7,25,Z2,30.000,-0.444,2
DATA,20877,15.34,9.66,38.6,28.6,25,Z2,30.000,-0.163,2
DATA,21135,15.31,9.69,38.8,28.7,25,Z2,30.000,0.366,2
DATA,21394,15.54,9.46,37.9,28.1,25,Z2,30.000,-2.297,2
DATA,21652,15.71,9.29,37.1,27.7,25,Z2,30.000,-1.776,2
DATA,21910,15.73,9.27,37.1,27.7,25,Z2,30.000,-0.166,2
DATA,22168,15.69,9.31,37.2,27.8,25,Z2,30.000,0.422,2
DATA,22427,15.67,9.33,37.3,27.8,25,Z2,30.000,0.178,2
DATA,22685,15.70,9.30,37.2,27.7,25,Z2,30.000,-0.285,2
DATA,22943,15.74,9.26,37.0,27.6,25,Z2,30.000,-0.462,2
DATA,23201,16.86,8.14,32.5,24.5,24,Z2,30.000,-11.180,2
DATA,23459,17.61,7.39,29.6,22.8,24,Z2,30.000,-7.455,2
DATA,23718,17.56,7.44,29.7,23.1,24,Z2,30.000,0.433,2
DATA,23976,17.59,7.41,29.6,23.0,24,Z2,30.000,-0.251,2
DATA,24234,17.57,7.43,29.7,23.1,24,Z2,30.000,0.192,2
DATA,24492,17.55,7.45,29.8,23.1,24,Z2,30.000,0.215,2
DATA,24751,17.57,7.43,29.7,23.1,24,Z2,30.000,-0.181,2
DATA,25009,17.58,7.42,29.7,23.0,24,Z2,30.000,-0.118,2
DATA,25267,17.97,7.03,28.1,22.0,24,Z2,30.000,-3.859,2
DATA,25525,18.32,6.68,26.7,21.1,24,Z2,30.000,-3.537,2
DATA,25784,18.35,6.65,26.6,21.1,24,Z2,30.000,-0.355,2
DATA,26042,18.30,6.70,26.8,21.3,24,Z2,30.000,0.577,2
DATA,26300,18.27,6.73,26.9,21.3,24,Z2,30.000,0.289,2
DATA,26558,18.30,6.70,26.8,21.2,24,Z2,30.000,-0.314,2
DATA,26817,18.27,6.73,26.9,21.3,24,Z2,30.000,0.292,2
DATA,27075,18.28,6.72,26.9,21.3,24,Z2,30.000,-0.140,2
DATA,27333,18.54,6.46,25.8,20.6,23,Z2,30.000,-2.557,2
DATA,27591,18.56,6.44,25.7,20.6,23,Z2,30.000,-0.229,2
DATA,27850,18.57,6.43,25.7,20.6,23,Z2,30.000,-0.089,2
DATA,28108,18.56,6.44,25.8,20.6,23,Z2,30.000,0.093,2
DATA,28366,18.60,6.40,25.6,20.5,23,Z2,30.000,-0.400,2
DATA,28624,18.57,6.43,25.7,20.6,23,Z2,30.000,0.281,2
DATA,28883,18.56,6.44,25.7,20.6,23,Z2,30.000,0.111,2
DATA,29141,18.58,6.42,25.7,20.5,23,Z2,30.000,-0.166,2
DATA,29399,18.55,6.45,25.8,20.6,23,Z2,30.000,0.289,2
DATA,29657,18.55,6.45,25.8,20.6,23,Z2,30.000,0.037,2
DATA,29916,18.57,6.43,25.7,20.6,23,Z2,30.000,-0.218,2
DATA,30174,18.58,6.42,25.7,20.5,23,Z2,30.000,-0.144,2
DATA,30432,18.57,6.43,25.7,20.6,23,Z2,30.000,0.114,2
DATA,30690,18.59,6.41,25.7,20.5,23,Z2,30.000,-0.133,2
BRIDGING #3 @18.60g hammer
DATA,30949,18.60,6.40,25.6,20.5,23,Z2,30.000,0.174,3
DATA,31207,18.60,6.40,25.6,20.5,23,Z2,30.000,0.007,3
DATA,31465,18.58,6.42,25.7,20.5,23,Z2,30.000,0.170,3
DATA,31723,18.59,6.41,25.7,20.5,23,Z2,30.000,-0.018,3
DATA,31981,18.99,6.01,24.0,19.4,23,Z2,30.000,-4.018,3
DATA,32239,19.24,5.76,23.0,18.8,23,Z2,30.000,-2.538,3
DATA,32498,19.17,5.83,23.3,19.1,23,Z2,30.000,0.703,3
DATA,32756,19.21,5.79,23.2,19.0,23,Z2,30.000,-0.403,3
DATA,33014,19.20,5.80,23.2,19.0,23,Z2,30.000,0.115,3
DATA,33272,19.22,5.78,23.1,18.9,23,Z2,30.000,-0.174,3
DATA,33531,19.25,5.75,23.0,18.9,23,Z2,30.000,-0.292,3
DATA,33789,19.18,5.82,23.3,19.1,23,Z2,30.000,0.659,3
DATA,34047,19.23,5.77,23.1,18.9,23,Z2,30.000,-0.459,3
DATA,34305,19.32,5.68,22.7,18.7,23,Z2,30.000,-0.895,3
DATA,34563,19.32,5.68,22.7,18.7,23,Z2,30.000,0.011,3
DATA,34822,19.25,5.75,23.0,18.9,23,Z2,30.000,0.681,3
DATA,35080,19.19,5.81,23.2,19.0,23,Z2,30.000,0.577,3
DATA,35338,19.21,5.79,23.2,19.0,23,Z2,30.000,-0.159,3
DATA,35596,19.35,5.65,22.6,18.6,23,Z2,30.000,-1.484,3
DATA,35855,19.45,5.55,22.2,18.3,23,Z2,30.000,-0.984,3
DATA,36113,19.50,5.50,22.0,18.2,23,Z2,30.000,-0.518,3
DATA,36371,19.56,5.44,21.7,18.1,23,Z2,30.000,-0.592,3
DATA,36629,19.46,5.54,22.2,18.4,23,Z2,30.000,1.062,3
DATA,36888,19.46,5.54,22.2,18.3,23,Z2,30.000,-0.026,3
BRIDGING #4 @19.50g hammer
DATA,37146,19.50,5.50,22.0,18.2,23,Z2,30.000,-0.370,4
DATA,37404,19.44,5.56,22.2,18.4,23,Z2,30.000,0.562,4
DATA,37662,19.50,5.50,22.0,18.2,23,Z2,30.000,-0.610,4
DATA,37920,19.37,5.63,22.5,18.6,23,Z2,30.000,1.310,4
DATA,38179,19.75,5.25,21.0,17.5,23,Z2,30.000,-3.803,4
DATA,38437,20.40,4.60,18.4,15.8,22,Z2,30.000,-6.530,4
DATA,38695,20.46,4.54,18.2,15.8,22,Z2,30.000,-0.529,4
DATA,38953,20.52,4.48,17.9,15.7,22,Z2,30.000,-0.633,4
DATA,39211,20.53,4.47,17.9,15.7,22,Z2,30.000,-0.126,4
DATA,39470,20.51,4.49,17.9,15.7,22,Z2,30.00,0.8,
DATA,39728,20.56,4.44,17.8,15.6,22,Z2,30.000,-0.411,4
DATA,39986,20.53,4.47,17.9,15.7,22,Z2,30.000,0.270,4
DATA,40244,20.55,4.45,17.8,15.6,22,Z2,30.000,-0.207,4
DATA,40503,20.52,4.48,17.9,15.7,22,Z2,30.000,0.270,4
DATA,40761,20.49,4.51,18.0,15.8,22,Z2,30.000,0.281,4
DATA,41019,20.50,4.50,18.0,15.8,22,Z2,30.000,-0.026,4
DATA,41277,20.53,4.47,17.9,15.7,22,Z2,30.000,-0.315,4
DATA,41536,20.51,4.49,17.9,15.7,22,Z2,30.000,0.148,4
DATA,41794,20.52,4.48,17.9,15.7,22,Z2,30.000,-0.089,4
DATA,42052,20.57,4.43,17.7,15.6,22,Z2,30.000,-0.514,4
DATA,42310,20.52,4.48,17.9,15.7,22,Z2,30.000,0.488,4
DATA,42568,20.49,4.51,18.0,15.8,22,Z2,30.000,0.307,4
DATA,42827,20.52,4.48,17.9,15.7,22,Z2,30.000,-0.270,4
DATA,43085,20.56,4.44,17.8,15.6,22,Z2,30.000,-0.392,4
BRIDGING #5 @20.55g hammer
DATA,43343,20.55,4.45,17.8,15.6,22,Z2,30.000,0.059,5
DATA,43602,20.50,4.50,18.0,15.8,22,Z2,30.000,0.511,5
DATA,43860,20.51,4.49,18.0,15.7,22,Z2,30.000,-0.030,5
DATA,44118,20.52,4.48,17.9,15.7,22,Z2,30.000,-0.137,5
DATA,44376,20.60,4.40,17.6,15.5,22,Z2,30.000,-0.766,5
DATA,44634,20.77,4.23,16.9,15.0,22,Z2,30.000,-1.720,5
DATA,44892,20.78,4.22,16.9,15.1,22,Z2,30.000,-0.085,5
DATA,45150,20.76,4.24,17.0,15.1,22,Z2,30.000,0.189,5
DATA,45409,20.74,4.26,17.0,15.2,22,Z2,30.000,0.189,5
DATA,45667,20.70,4.30,17.2,15.3,22,Z2,30.000,0.396,5
DATA,45925,20.70,4.30,17.2,15.2,22,Z2,30.000,-0.022,5
DATA,46183,20.70,4.30,17.2,15.2,22,Z2,30.000,0.000,5
BRIDGING #6 @20.76g hammer
DATA,46442,20.76,4.24,17.0,15.1,22,Z2,30.000,-0.544,6
DATA,46700,20.76,4.24,16.9,15.1,22,Z2,30.000,-0.082,6
DATA,46958,20.71,4.29,17.2,15.2,22,Z2,30.000,0.537,6
DATA,47216,20.77,4.23,16.9,15.1,22,Z2,30.000,-0.577,6
DATA,47474,20.78,4.22,16.9,15.1,22,Z2,30.000,-0.093,6
DATA,47732,20.91,4.09,16.4,14.7,22,Z2,30.000,-1.313,6
DATA,47991,20.94,4.06,16.2,14.6,22,Z2,30.000,-0.292,6
DATA,48249,20.88,4.12,16.5,14.8,22,Z2,30.000,0.588,6
DATA,48507,20.89,4.11,16.5,14.8,22,Z2,30.000,-0.074,6
DATA,48765,20.92,4.08,16.3,14.7,22,Z2,30.000,-0.296,6
DATA,49024,20.92,4.08,16.3,14.7,22,Z2,30.000,0.011,6
DATA,49282,20.92,4.08,16.3,14.7,22,Z2,30.000,-0.089,6
BRIDGING #7 @20.97g hammer
DATA,49540,20.97,4.03,16.1,14.6,22,Z2,30.000,-0.481,7
DATA,49798,20.96,4.04,16.2,14.6,22,Z2,30.000,0.174,7
DATA,50056,20.96,4.04,16.2,14.6,22,Z2,30.000,-0.026,7
DATA,50315,20.95,4.05,16.2,14.6,22,Z2,30.000,0.063,7
DATA,50573,21.43,3.57,14.3,13.3,22,Z3,30.000,-4.806,7
DATA,50831,23.33,1.67,6.7,8.1,21,Z3,30.000,-19.008,7
DATA,51089,23.41,1.59,6.3,8.4,21,Z3,30.000,-0.803,7
DATA,51347,23.41,1.59,6.4,8.5,21,Z3,30.000,0.041,7
DATA,51605,23.42,1.58,6.3,8.4,21,Z3,30.000,-0.133,7
DATA,51864,23.34,1.66,6.7,8.7,21,Z3,30.000,0.866,7
DATA,52122,23.42,1.58,6.3,8.4,21,Z3,30.000,-0.870,7
DATA,52380,23.38,1.62,6.5,8.6,21,Z3,30.000,0.426,7
DATA,52638,23.42,1.58,6.3,8.4,21,Z3,30.000,-0.370,7
DATA,52897,23.44,1.56,6.2,8.4,21,Z3,30.000,-0.244,7
DATA,53155,23.41,1.59,6.4,8.5,21,Z3,30.000,0.366,7
DATA,53413,23.44,1.56,6.2,8.4,21,Z3,30.000,-0.396,7
DATA,53671,23.43,1.57,6.3,8.4,21,Z3,30.000,0.159,7
DATA,53930,23.42,1.58,6.3,8.4,21,Z3,30.000,0.078,7
DATA,54188,23.58,1.42,5.7,8.0,21,Z3,30.000,-1.561,7
DATA,54446,23.65,1.35,5.4,7.9,21,Z3,30.000,-0.707,7
DATA,54704,23.61,1.39,5.6,8.0,21,Z3,30.000,0.388,7
DATA,54962,23.57,1.43,5.7,8.1,21,Z3,30.000,0.414,7
DATA,55221,23.66,1.34,5.3,7.8,21,Z3,30.000,-0.951,7
DATA,55479,23.61,1.39,5.6,8.0,21,Z3,30.000,0.540,7
DATA,55737,23.70,1.30,5.2,7.7,21,Z3,30.000,-0.958,7
DATA,55996,23.66,1.34,5.4,7.9,21,Z3,30.000,0.451,7
DATA,56254,23.70,1.30,5.2,7.7,21,Z3,30.000,-0.426,7
DATA,56512,23.68,1.32,5.3,7.8,21,Z3,30.000,0.211,7
DATA,56770,23.68,1.32,5.3,7.8,21,Z3,30.000,0.019,7
