======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 25.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 24.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 8
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
=== DATA START ===
DATA,100,0.00,25.00,100.0,70.4,33,Z1,2.500,250.000,0
DATA,218,0.00,25.00,100.0,63.2,32,Z1,5.000,0.000,0
DATA,476,0.66,24.34,97.4,61.8,32,Z1,7.434,-6.578,0
DATA,735,0.92,24.08,96.3,61.6,32,Z1,9.842,-2.668,0
DATA,993,0.89,24.11,96.4,62.1,32,Z1,12.252,0.311,0
DATA,1251,0.85,24.15,96.6,62.6,32,Z1,14.668,0.451,0
DATA,1509,0.82,24.18,96.7,63.0,32,Z1,17.085,0.244,0
DATA,1768,0.81,24.19,96.8,63.4,32,Z1,19.504,0.115,0
DATA,2026,0.81,24.19,96.7,63.8,32,Z1,21.923,-0.007,0
DATA,2284,0.78,24.22,96.9,64.2,32,Z1,24.345,0.374,0
DATA,2542,1.77,23.23,92.9,61.8,32,Z1,26.669,-9.893,0
DATA,2801,2.32,22.68,90.7,60.9,31,Z1,28.936,-5.557,0
DATA,3059,2.23,22.77,91.1,61.5,32,Z1,30.000,0.925,0
DATA,3317,2.22,22.78,91.1,61.4,32,Z1,30.000,0.052,0
DATA,3575,2.22,22.78,91.1,61.5,32,Z1,30.000,0.055,0
DATA,3834,2.20,22.80,91.2,61.5,32,Z1,30.000,0.133,0
DATA,4092,2.19,22.81,91.2,61.5,32,Z1,30.000,0.159,0
DATA,4350,2.21,22.79,91.2,61.5,32,Z1,30.000,-0.170,0
DATA,4608,2.41,22.59,90.3,60.9,31,Z1,30.000,-2.094,0
DATA,4866,2.53,22.47,89.9,60.6,31,Z1,30.000,-1.136,0
DATA,5125,2.46,22.54,90.2,60.9,31,Z1,30.000,0.729,0
DATA,5383,2.49,22.51,90.1,60.8,31,Z1,30.000,-0.314,0
DATA,5641,2.51,22.49,89.9,60.7,31,Z1,30.000,-0.281,0
DATA,5899,2.50,22.50,90.0,60.7,31,Z1,30.000,0.100,0
BRIDGING #1 @2.50g hammer
DATA,6158,2.50,22.50,90.0,60.8,31,Z1,30.000,0.078,1
DATA,6416,2.53,22.47,89.9,60.7,31,Z1,30.000,-0.311,1
DATA,6674,2.47,22.53,90.1,60.8,31,Z1,30.000,0.584,1
DATA,6932,2.52,22.48,89.9,60.7,31,Z1,30.000,-0.544,1
DATA,7190,2.53,22.47,89.9,60.7,31,Z1,30.000,-0.096,1
DATA,7448,2.57,22.43,89.7,60.6,31,Z1,30.000,-0.385,1
DATA,7707,2.56,22.44,89.8,60.6,31,Z1,30.000,0.155,1
DATA,7965,2.60,22.40,89.6,60.5,31,Z1,30.000,-0.433,1
DATA,8223,2.60,22.40,89.6,60.5,31,Z1,30.000,-0.011,1
DATA,8481,2.54,22.46,89.8,60.7,31,Z1,30.000,0.618,1
DATA,8739,2.54,22.46,89.8,60.7,31,Z1,30.000,0.011,1
DATA,8998,2.56,22.44,89.7,60.6,31,Z1,30.000,-0.251,1
BRIDGING #2 @2.56g hammer
DATA,9256,2.56,22.44,89.8,60.6,31,Z1,30.000,0.018,2
DATA,9514,2.62,22.38,89.5,60.4,31,Z1,30.000,-0.599,2
DATA,9772,2.64,22.36,89.4,60.4,31,Z1,30.000,-0.215,2
DATA,10030,2.50,22.50,90.0,60.8,31,Z1,30.000,1.462,2
DATA,10288,2.58,22.42,89.7,60.5,31,Z1,30.000,-0.851,2
DATA,10547,2.62,22.38,89.5,60.4,31,Z1,30.000,-0.418,2
DATA,10805,2.66,22.34,89.4,60.3,31,Z1,30.000,-0.355,2
DATA,11063,2.59,22.41,89.6,60.5,31,Z1,30.000,0.670,2
DATA,11321,2.62,22.38,89.5,60.4,31,Z1,30.000,-0.252,2
DATA,11580,2.66,22.34,89.4,60.3,31,Z1,30.000,-0.444,2
DATA,11838,2.60,22.40,89.6,60.5,31,Z1,30.000,0.596,2
DATA,12096,2.62,22.38,89.5,60.5,31,Z1,30.000,-0.152,2
BRIDGING #3 @2.62g hammer
DATA,12354,2.62,22.38,89.5,60.5,31,Z1,30.000,0.008,3
DATA,12613,2.63,22.37,89.5,60.4,31,Z1,30.000,-0.144,3
DATA,12870,2.57,22.43,89.7,60.6,31,Z1,30.000,0.647,3
DATA,13129,2.53,22.47,89.9,60.7,31,Z1,30.000,0.333,3
DATA,13387,2.59,22.41,89.6,60.5,31,Z1,30.000,-0.610,3
DATA,13645,3.83,21.17,84.7,57.1,31,Z1,30.000,-12.356,3
DATA,13903,3.93,21.07,84.3,57.1,31,Z1,30.000,-1.010,3
DATA,14161,3.87,21.13,84.5,57.3,31,Z1,30.000,0.562,3
DATA,14420,3.86,21.14,84.5,57.3,31,Z1,30.000,0.118,3
DATA,14678,3.83,21.17,84.7,57.4,31,Z1,30.000,0.322,3
DATA,14936,3.76,21.24,84.9,57.6,31,Z1,30.000,0.670,3
DATA,15194,4.66,20.34,81.3,55.1,30,Z1,30.000,-8.997,3
DATA,15453,5.42,19.58,78.3,53.2,30,Z1,30.000,-7.521,3
DATA,15711,5.18,19.82,79.3,54.1,30,Z1,30.000,2.338,3
DATA,15969,5.13,19.87,79.5,54.2,30,Z1,30.000,0.562,3
DATA,16227,5.19,19.81,79.2,54.0,30,Z1,30.000,-0.673,3
DATA,16485,5.14,19.86,79.4,54.2,30,Z1,30.000,0.492,3
DATA,16744,5.06,19.94,79.8,54.4,30,Z1,30.000,0.829,3
DATA,17002,5.36,19.64,78.6,53.5,30,Z1,30.000,-2.949,3
DATA,17260,5.32,19.68,78.7,53.7,30,Z1,30.000,0.392,3
DATA,17518,5.24,19.76,79.0,53.9,30,Z1,30.000,0.740,3
DATA,17777,5.02,19.98,79.9,54.5,30,Z1,30.000,2.242,3
DATA,18035,5.13,19.87,79.5,54.1,30,Z1,30.000,-1.162,3
DATA,18293,5.13,19.87,79.5,54.2,30,Z1,30.000,-0.004,3
BRIDGING #4 @5.26g hammer
DATA,18551,5.26,19.74,79.0,53.8,30,Z1,30.000,-1.269,4
DATA,18810,5.13,19.87,79.5,54.2,30,Z1,30.000,1.321,4
DATA,19068,5.33,19.67,78.7,53.6,30,Z1,30.000,-1.994,4
DATA,19326,5.34,19.66,78.7,53.7,30,Z1,30.000,-0.063,4
DATA,19584,5.34,19.66,78.6,53.6,30,Z1,30.000,-0.048,4
DATA,19842,6.25,18.75,75.0,51.1,30,Z1,30.000,-9.060,4
DATA,20100,6.28,18.72,74.9,51.3,30,Z1,30.000,-0.370,4
DATA,20359,6.29,18.71,74.8,51.3,30,Z1,30.000,-0.052,4
DATA,20617,6.33,18.67,74.7,51.2,30,Z1,30.000,-0.374,4
DATA,20875,6.28,18.72,74.9,51.3,30,Z1,30.000,0.474,4
DATA,21133,6.16,18.84,75.4,51.6,30,Z1,30.000,1.176,4
DATA,21391,7.13,17.87,71.5,48.9,29,Z1,30.000,-9.711,4
DATA,21650,7.26,17.74,71.0,48.8,29,Z1,30.000,-1.295,4
DATA,21908,7.25,17.75,71.0,48.9,29,Z1,30.000,0.074,4
DATA,22166,7.20,17.80,71.2,49.0,29,Z1,30.000,0.496,4
DATA,22425,7.27,17.73,70.9,48.8,29,Z1,30.000,-0.670,4
DATA,22683,7.26,17.74,71.0,48.9,29,Z1,30.000,0.108,4
DATA,22941,7.30,17.70,70.8,48.7,29,Z1,30.000,-0.433,4
DATA,23199,7.45,17.55,70.2,48.3,29,Z1,30.000,-1.447,4
DATA,23457,8.68,16.32,65.3,44.9,28,Z1,30.000,-12.327,4
DATA,23716,8.93,16.07,64.3,44.6,28,Z1,30.000,-2.538,4
DATA,23974,9.05,15.95,63.8,44.3,28,Z1,30.000,-1.158,4
DATA,24232,8.98,16.02,64.1,44.6,28,Z1,30.000,0.673,4
DATA,24490,9.00,16.00,64.0,44.5,28,Z1,30.000,-0.155,4
DATA,24749,9.01,15.99,64.0,44.5,28,Z1,30.000,-0.129,4
DATA,25007,9.03,15.97,63.9,44.4,28,Z1,30.000,-0.170,4
DATA,25265,10.26,14.74,59.0,41.0,27,Z1,30.000,-12.297,4
DATA,25523,11.69,13.31,53.3,37.4,27,Z1,30.000,-14.273,4
DATA,25782,12.19,12.81,51.2,36.4,27,Z1,30.000,-5.072,4
DATA,26040,12.19,12.81,51.2,36.5,27,Z1,30.000,0.029,4
DATA,26298,12.19,12.81,51.2,36.5,27,Z1,30.000,-0.029,4
DATA,26556,12.18,12.82,51.3,36.6,27,Z1,30.000,0.152,4
DATA,26815,12.16,12.84,51.4,36.6,27,Z1,30.000,0.222,4
DATA,27073,12.19,12.81,51.3,36.5,27,Z1,30.000,-0.303,4
DATA,27331,12.48,12.52,50.1,35.7,26,Z1,30.000,-2.956,4
DATA,27589,12.64,12.36,49.4,35.4,26,Z2,30.000,-1.561,4
DATA,27847,12.62,12.38,49.5,35.5,26,Z2,30.000,0.174,4
DATA,28106,12.59,12.41,49.6,35.5,26,Z2,30.000,0.296,4
DATA,28364,12.62,12.38,49.5,35.4,26,Z2,30.000,-0.303,4
DATA,28622,12.59,12.41,49.6,35.5,26,Z2,30.000,0.277,4
DATA,28880,12.62,12.38,49.5,35.4,26,Z2,30.000,-0.241,4
DATA,29139,12.59,12.41,49.6,35.5,26,Z2,30.000,0.248,4
DATA,29397,12.67,12.33,49.3,35.3,26,Z2,30.000,-0.729,4
DATA,29655,12.69,12.31,49.3,35.3,26,Z2,30.000,-0.219,4
DATA,29913,12.68,12.32,49.3,35.3,26,Z2,30.000,0.115,4
DATA,30172,12.71,12.29,49.2,35.2,26,Z2,30.000,-0.300,4
DATA,30430,12.70,12.30,49.2,35.3,26,Z2,30.000,0.104,4
DATA,30688,12.69,12.31,49.2,35.3,26,Z2,30.000,0.015,4
BRIDGING #5 @12.72g hammer
DATA,30946,12.72,12.28,49.1,35.2,26,Z2,30.000,-0.281,5
DATA,31205,12.70,12.30,49.2,35.3,26,Z2,30.000,0.211,5
DATA,31463,12.76,12.24,49.0,35.1,26,Z2,30.000,-0.555,5
DATA,31721,12.76,12.24,49.0,35.1,26,Z2,30.000,0.007,5
DATA,31979,13.56,11.44,45.8,32.9,26,Z2,30.000,-8.047,5
DATA,32237,15.94,9.06,36.2,26.4,25,Z2,30.000,-23.844,5
DATA,32495,15.68,9.32,37.3,27.9,25,Z2,30.000,2.686,5
DATA,32754,15.78,9.22,36.9,27.5,25,Z2,30.000,-1.017,5
DATA,33012,15.82,9.18,36.7,27.4,25,Z2,30.000,-0.414,5
DATA,33270,15.84,9.16,36.6,27.4,25,Z2,30.000,-0.207,5
DATA,33528,15.81,9.19,36.7,27.5,25,Z2,30.000,0.266,5
DATA,33786,16.31,8.69,34.8,26.1,25,Z2,30.000,-4.928,5
DATA,34045,16.63,8.37,33.5,25.3,24,Z2,30.000,-3.222,5
DATA,34303,16.58,8.42,33.7,25.6,24,Z2,30.000,0.444,5
DATA,34561,16.76,8.24,33.0,25.0,24,Z2,30.000,-1.757,5
DATA,34819,16.85,8.15,32.6,24.9,24,Z2,30.000,-0.855,5
DATA,35078,16.83,8.17,32.7,24.9,24,Z2,30.000,0.114,5
DATA,35336,16.82,8.18,32.7,25.0,24,Z2,30.000,0.159,5
DATA,35594,16.78,8.22,32.9,25.1,24,Z2,30.000,0.370,5
DATA,35852,17.26,7.74,30.9,23.7,24,Z2,30.000,-4.821,5
DATA,36111,17.23,7.77,31.1,23.9,24,Z2,30.000,0.281,5
DATA,36369,17.28,7.72,30.9,23.8,24,Z2,30.000,-0.426,5
DATA,36627,17.40,7.60,30.4,23.5,24,Z2,30.000,-1.258,5
DATA,36885,17.31,7.69,30.7,23.7,24,Z2,30.000,0.907,5
DATA,37144,17.34,7.66,30.7,23.7,24,Z2,30.000,-0.233,5
DATA,37402,17.19,7.81,31.2,24.1,24,Z2,30.000,1.461,5
DATA,37660,17.60,7.40,29.6,22.9,24,Z2,30.000,-4.114,5
DATA,37918,17.83,7.17,28.7,22.4,24,Z2,30.000,-2.283,5
DATA,38177,17.95,7.05,28.2,22.1,24,Z2,30.000,-1.191,5
DATA,38435,17.83,7.17,28.7,22.5,24,Z2,30.000,1.191,5
DATA,38693,17.68,7.32,29.3,22.8,24,Z2,30.000,1.491,5
DATA,38951,17.71,7.29,29.1,22.7,24,Z2,30.000,-0.340,5
DATA,39210,17.86,7.14,28.6,22.3,24,Z2,30.000,-1.432,5
DATA,39468,17.78,7.22,28.9,22.6,24,Z2,30.000,0.777,5
DATA,39726,18.11,6.89,27.6,21.6,24,Z2,30.000,-3.263,5
DATA,39984,18.26,6.74,26.9,21.3,24,Z2,30.000,-1.587,5
DATA,40243,18.38,6.62,26.5,21.0,24,Z2,30.000,-1.114,5
DATA,40501,18.23,6.77,27.1,21.5,24,Z2,30.000,1.461,5
DATA,40759,18.06,6.94,27.7,21.9,24,Z2,30.000,1.669,5
DATA,41017,18.13,6.87,27.5,21.7,24,Z2,30.000,-0.684,5
DATA,41276,18.21,6.79,27.2,21.5,24,Z2,30.000,-0.781,5
DATA,41534,18.15,6.85,27.4,21.6,24,Z2,30.000,0.614,5
DATA,41792,18.40,6.60,26.4,20.9,23,Z2,30.000,-2.468,5
DATA,42050,18.75,6.25,25.0,20.0,23,Z2,30.000,-3.570,5
DATA,42309,18.77,6.23,24.9,20.1,23,Z2,30.000,-0.163,5
DATA,42567,18.73,6.27,25.1,20.2,23,Z2,30.000,0.388,5
DATA,42825,18.71,6.29,25.2,20.2,23,Z2,30.000,0.189,5
DATA,43083,18.69,6.31,25.3,20.3,23,Z2,30.000,0.241,5
BRIDGING #6 @18.74g hammer
DATA,43342,18.74,6.26,25.0,20.1,23,Z2,30.000,-0.551,6
DATA,43600,18.70,6.30,25.2,20.3,23,Z2,30.000,0.403,6
DATA,43858,18.66,6.34,25.4,20.4,23,Z2,30.000,0.422,6
DATA,44116,18.65,6.35,25.4,20.4,23,Z2,30.000,0.070,6
DATA,44374,18.97,6.03,24.1,19.5,23,Z2,30.000,-3.182,6
DATA,44632,19.53,5.47,21.9,18.0,23,Z2,30.000,-5.612,6
DATA,44891,19.51,5.49,22.0,18.2,23,Z2,30.000,0.196,6
DATA,45149,19.49,5.51,22.0,18.3,23,Z2,30.000,0.207,6
DATA,45407,19.52,5.48,21.9,18.2,23,Z2,30.000,-0.248,6
DATA,45665,19.50,5.50,22.0,18.2,23,Z2,30.000,0.115,6
DATA,45924,19.51,5.49,21.9,18.2,23,Z2,30.000,-0.096,6
DATA,46182,19.58,5.42,21.7,18.0,23,Z2,30.000,-0.636,6
DATA,46440,19.58,5.42,21.7,18.0,23,Z2,30.000,-0.059,6
DATA,46698,19.57,5.43,21.7,18.1,23,Z2,30.000,0.174,6
DATA,46956,19.53,5.47,21.9,18.2,23,Z2,30.000,0.326,6
DATA,47215,19.57,5.43,21.7,18.1,23,Z2,30.000,-0.315,6
DATA,47473,19.56,5.44,21.8,18.1,23,Z2,30.000,0.089,6
DATA,47731,19.59,5.41,21.6,18.0,23,Z2,30.000,-0.325,6
DATA,47989,21.31,3.69,14.7,13.2,22,Z3,30.000,-17.251,6
DATA,48248,22.26,2.74,11.0,11.1,22,Z3,30.000,-9.463,6
DATA,48506,22.25,2.75,11.0,11.4,22,Z3,30.000,0.111,6
DATA,48764,22.23,2.77,11.1,11.4,22,Z3,30.000,0.152,6
DATA,49022,22.18,2.82,11.3,11.6,22,Z3,30.000,0.544,6
DATA,49281,22.19,2.81,11.2,11.5,22,Z3,30.000,-0.137,6
DATA,49539,22.21,2.79,11.2,11.5,22,Z3,30.000,-0.133,6
DATA,49797,22.19,2.81,11.2,11.5,22,Z3,30.000,0.155,6
DATA,50055,22.46,2.54,10.2,10.8,21,Z3,30.000,-2.712,6
DATA,50314,22.48,2.52,10.1,10.8,21,Z3,30.000,-0.219,6
DATA,50572,22.59,2.41,9.6,10.5,21,Z3,30.000,-1.043,6
DATA,50830,22.57,2.43,9.7,10.6,21,Z3,30.000,0.222,6
DATA,51088,22.59,2.41,9.6,10.5,21,Z3,30.000,-0.218,6
DATA,51347,22.58,2.42,9.7,10.6,21,Z3,30.000,0.078,6
DATA,51605,22.59,2.41,9.6,10.5,21,Z3,30.000,-0.126,6
DATA,51863,22.56,2.44,9.7,10.6,21,Z3,30.000,0.281,6
DATA,52121,22.61,2.39,9.6,10.5,21,Z3,30.000,-0.433,6
DATA,52379,22.59,2.41,9.6,10.5,21,Z3,30.000,0.170,6
DATA,52638,22.57,2.43,9.7,10.6,21,Z3,30.000,0.178,6
DATA,52896,22.53,2.47,9.9,10.7,21,Z3,30.000,0.396,6
DATA,53154,22.47,2.53,10.1,10.9,21,Z3,30.000,0.666,6
DATA,53412,22.35,2.65,10.6,11.2,22,Z3,30.000,1.173,6
DATA,53671,22.32,2.68,10.7,11.2,22,Z3,30.000,0.266,6
DATA,53929,22.47,2.53,10.1,10.8,21,Z3,30.000,-1.417,6
DATA,54187,22.67,2.33,9.3,10.3,21,Z3,30.000,-2.094,6
DATA,54445,22.76,2.24,9.0,10.1,21,Z3,30.000,-0.877,6
DATA,54704,22.58,2.42,9.7,10.6,21,Z3,30.000,1.816,6
DATA,54962,22.64,2.36,9.4,10.4,21,Z3,30.000,-0.622,6
DATA,55220,22.78,2.22,8.9,10.0,21,Z3,30.000,-1.354,6
DATA,55478,22.71,2.29,9.2,10.2,21,Z3,30.000,0.695,6
DATA,55737,22.72,2.28,9.1,10.2,21,Z3,30.000,-0.133,6
DATA,55995,22.77,2.23,8.9,10.1,21,Z3,30.000,-0.436,6
DATA,56253,22.80,2.20,8.8,10.0,21,Z3,30.000,-0.344,6
DATA,56511,22.71,2.29,9.2,10.2,21,Z3,30.000,0.884,6
DATA,56770,22.60,2.40,9.6,10.5,21,Z3,30.000,1.117,6
DATA,57028,22.47,2.53,10.1,10.9,21,Z3,30.000,1.284,6
