======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 25.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 24.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 9
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
=== DATA START ===
DATA,100,0.20,24.80,99.2,69.8,33,Z1,2.480,248.032,0
DATA,218,0.11,24.89,99.6,63.0,32,Z1,4.969,0.847,0
DATA,476,0.97,24.03,96.1,60.9,31,Z1,7.372,-8.590,0
DATA,734,2.44,22.56,90.2,57.4,31,Z1,9.628,-14.673,0
DATA,992,2.27,22.73,90.9,58.7,31,Z1,11.901,1.687,0
DATA,1251,2.26,22.74,91.0,59.0,31,Z1,14.175,0.089,0
DATA,1509,2.22,22.78,91.1,59.4,31,Z1,16.454,0.455,0
DATA,1767,2.19,22.81,91.2,59.8,31,Z1,18.735,0.274,0
DATA,2025,2.19,22.81,91.2,60.2,31,Z1,21.016,-0.037,0
DATA,2284,2.22,22.78,91.1,60.4,31,Z1,23.294,-0.244,0
DATA,2542,3.08,21.92,87.7,58.4,31,Z1,25.486,-8.624,0
DATA,2800,4.10,20.90,83.6,56.1,31,Z1,27.576,-10.226,0
DATA,3058,3.99,21.01,84.0,57.0,31,Z1,29.677,1.110,0
DATA,3317,3.97,21.03,84.1,57.1,31,Z1,30.000,0.152,0
DATA,3575,3.96,21.04,84.1,57.1,31,Z1,30.000,0.108,0
DATA,3833,3.99,21.01,84.0,57.0,31,Z1,30.000,-0.248,0
DATA,4091,3.94,21.06,84.2,57.2,31,Z1,30.000,0.444,0
DATA,4350,4.01,20.99,84.0,57.0,31,Z1,30.000,-0.666,0
DATA,4608,5.39,19.61,78.4,53.1,30,Z1,30.000,-13.792,0
DATA,4866,7.28,17.72,70.9,48.2,29,Z1,30.000,-18.868,0
DATA,5124,7.21,17.79,71.2,49.0,29,Z1,30.000,0.666,0
DATA,5383,7.20,17.80,71.2,49.0,29,Z1,30.000,0.152,0
DATA,5641,7.24,17.76,71.0,48.9,29,Z1,30.000,-0.477,0
DATA,5899,7.19,17.81,71.2,49.0,29,Z1,30.000,0.503,0
DATA,6157,7.23,17.77,71.1,48.9,29,Z1,30.000,-0.341,0
DATA,6416,7.26,17.74,71.0,48.9,29,Z1,30.000,-0.292,0
DATA,6674,8.49,16.51,66.0,45.4,28,Z1,30.000,-12.353,0
DATA,6932,10.60,14.40,57.6,39.9,27,Z1,30.000,-21.080,0
DATA,7190,10.40,14.60,58.4,41.0,28,Z1,30.000,1.957,0
DATA,7449,10.31,14.69,58.8,41.3,28,Z1,30.000,0.984,0
DATA,7707,10.33,14.67,58.7,41.2,28,Z1,30.000,-0.289,0
DATA,7965,10.37,14.63,58.5,41.1,28,Z1,30.000,-0.329,0
DATA,8224,10.33,14.67,58.7,41.2,28,Z1,30.000,0.348,0
DATA,8482,10.36,14.64,58.6,41.1,28,Z1,30.000,-0.263,0
DATA,8740,11.28,13.72,54.9,38.5,27,Z1,30.000,-9.201,0
DATA,8998,12.03,12.97,51.9,36.7,27,Z1,30.000,-7.551,0
DATA,9257,11.91,13.09,52.4,37.3,27,Z1,30.000,1.269,0
DATA,9515,11.92,13.08,52.3,37.2,27,Z1,30.000,-0.163,0
DATA,9773,11.92,13.08,52.3,37.2,27,Z1,30.000,0.026,0
DATA,10031,11.93,13.07,52.3,37.2,27,Z1,30.000,-0.103,0
DATA,10290,11.95,13.05,52.2,37.1,27,Z1,30.000,-0.200,0
DATA,10548,11.94,13.06,52.2,37.2,27,Z1,30.000,0.103,0
DATA,10806,12.95,12.05,48.2,34.3,26,Z2,30.000,-10.096,0
DATA,11064,13.45,11.55,46.2,33.2,26,Z2,30.000,-5.013,0
DATA,11323,13.37,11.63,46.5,33.6,26,Z2,30.000,0.832,0
DATA,11581,13.40,11.60,46.4,33.5,26,Z2,30.000,-0.277,0
DATA,11839,13.41,11.59,46.4,33.5,26,Z2,30.000,-0.119,0
DATA,12097,13.40,11.60,46.4,33.5,26,Z2,30.000,0.037,0
DATA,12356,13.38,11.62,46.5,33.6,26,Z2,30.000,0.270,0
DATA,12614,13.39,11.61,46.4,33.5,26,Z2,30.000,-0.119,0
DATA,12872,13.62,11.38,45.5,32.9,26,Z2,30.000,-2.342,0
DATA,13130,13.93,11.07,44.3,32.1,26,Z2,30.000,-3.097,0
DATA,13389,13.96,11.04,44.2,32.1,26,Z2,30.000,-0.237,0
DATA,13647,13.99,11.01,44.0,32.0,26,Z2,30.000,-0.344,0
DATA,13905,14.05,10.95,43.8,31.9,26,Z2,30.000,-0.607,0
DATA,14164,13.83,11.17,44.7,32.5,26,Z2,30.000,2.227,0
DATA,14422,13.86,11.14,44.5,32.3,26,Z2,30.000,-0.359,0
DATA,14680,13.98,11.02,44.1,32.0,26,Z2,30.000,-1.121,0
DATA,14938,14.13,10.87,43.5,31.6,26,Z2,30.000,-1.502,0
DATA,15197,14.28,10.72,42.9,31.3,26,Z2,30.000,-1.543,0
DATA,15455,14.31,10.69,42.7,31.2,26,Z2,30.000,-0.314,0
DATA,15713,14.30,10.70,42.8,31.3,26,Z2,30.000,0.137,0
DATA,15971,14.25,10.75,43.0,31.4,26,Z2,30.000,0.503,0
DATA,16230,14.26,10.74,43.0,31.4,26,Z2,30.000,-0.096,0
DATA,16488,14.31,10.69,42.8,31.2,26,Z2,30.000,-0.533,0
DATA,16746,14.30,10.70,42.8,31.3,26,Z2,30.000,0.155,0
DATA,17004,14.25,10.75,43.0,31.4,26,Z2,30.000,0.477,0
DATA,17263,14.63,10.37,41.5,30.3,25,Z2,30.000,-3.862,0
DATA,17521,14.66,10.34,41.4,30.3,25,Z2,30.000,-0.233,0
DATA,17779,14.53,10.47,41.9,30.7,25,Z2,30.000,1.310,0
DATA,18038,14.50,10.50,42.0,30.8,25,Z2,30.000,0.289,0
DATA,18296,14.45,10.55,42.2,30.9,25,Z2,30.000,0.466,0
BRIDGING #1 @14.44g hammer
DATA,18554,14.44,10.56,42.2,30.9,25,Z2,30.000,0.118,1
DATA,18813,14.52,10.48,41.9,30.7,25,Z2,30.000,-0.784,1
DATA,19071,14.48,10.52,42.1,30.8,25,Z2,30.000,0.422,1
DATA,19329,14.50,10.50,42.0,30.7,25,Z2,30.000,-0.248,1
DATA,19587,15.14,9.86,39.4,29.0,25,Z2,30.000,-6.371,1
